Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
Election May Hinge on Latino Turnout,"  Many Hispanic voters say their views on Mr. Romney were shaped during the Republican primaries, when he took a hard line on immigration issues, vowing to veto the Dream Act and offering support for ""self-deportation.""",1124611298,Newspapers," Nicholas, Peter
Peter
Peter Nicholas
Nicholas
Peter Nicholas , Colleen McCain Nelson
Colleen McCain Nelson",,," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2803399661 , 73458752 , 117310 , WSJO , WSJOWSJO20121101000020121101e8b1001rx", News," Nov 1, 2012",, English, English, n/a," New York, N.Y.","Nov 1, 2012",Wall Street Journal (Online),2012,https://search.proquest.com/docview/1124611298?accountid=14496,,,, n/a,," Hispanic Americans , Presidential elections , Candidates , Political campaigns , Voter behavior , Nevada , Colorado , Las Vegas Nevada",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Election+May+Hinge+on+Latino+Turnout&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2012-11-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Nicholas%2C+Peter%3BColleen+McCain+Nelson&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Business Migrating From Western Union,  The money-transfer company reported third-quarter sales late Tuesday that fell short of analysts' estimates and cautioned that full-year results will be lower than what it had forecast in July.,1124690589,Newspapers," Lahart, Justin
Justin
Justin Lahart
Lahart
Justin Lahart",," MoneyGram International Inc
522320 , Western Union Financial Services Inc
522320 , Western Union Financial Services Inc
522320"," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2803534101 , 73464322 , 7510 , WSJ , DWJNJ000000020121101e8b10001r", News," Nov 1, 2012",0099-9660, English, English, C.10," New York, N.Y.","Nov 1, 2012",Wall Street Journal,2012,https://search.proquest.com/docview/1124690589?accountid=14496," 3100 Capital & debt management , 8100 Financial services industry , 9173 Latin America , 9190 United States"," 3100 Capital & debt management , 8100 Financial services industry , 9173 Latin America , 9190 United States"," 3100 Capital & debt management , 8100 Financial services industry , 9173 Latin America , 9190 United States", C.10," 3100 Capital & debt management , 8100 Financial services industry , 9173 Latin America , 9190 United States"," Wire transfer , Transfer of funds , Aliens , Electronic funds transfer systems--EFTS , Union of Soviet Socialist Republics--USSR , Europe , Mexico",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Business+Migrating+From+Western+Union&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2012-11-01&amp;volume=&amp;issue=&amp;spage=C.10&amp;au=Lahart%2C+Justin&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Election 2012: Election May Hinge On Latino Turnout,"  Many Hispanic voters say their views on Mr. Romney were shaped during the Republican primaries, when he took a hard line on immigration issues, vowing to veto the Dream Act and offering support for ""self-deportation.""",1124774033,Newspapers," Nicholas, Peter
Peter
Peter Nicholas
Nicholas
Peter Nicholas , Colleen McCain Nelson
Colleen McCain Nelson",,," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2803588351 , 73464322 , 7510 , WSJ , DWJNJ000000020121101e8b10002r", News," Nov 1, 2012",0099-9660, English, English, A.1," New York, N.Y.","Nov 1, 2012",Wall Street Journal,2012,https://search.proquest.com/docview/1124774033?accountid=14496,,,, A.1,," Hispanic Americans , Presidential elections , Candidates , Political campaigns , Voter behavior , Hispanic Americans , Presidential elections , Nevada , Colorado , Las Vegas Nevada , Obama, Barack",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Election+2012%3A+Election+May+Hinge+On+Latino+Turnout&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2012-11-01&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Nicholas%2C+Peter%3BColleen+McCain+Nelson&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Myanmar Faces Pressure to Find Solution to Crisis,  Political analysts warn that Myanmar's reform-minded government's efforts to find a long-lasting remedy to the violence are hampered by deep-seated racial and religious prejudices in some parts of the country that are resurfacing after the former military regime relinquished power last year after decades of rule.,1124843854,Newspapers," Hookway, James
James
James Hookway
Hookway
James Hookway",," United Nations--UN
928120"," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2803798471 , 73458752 , 117310 , WSJO , WSJOWSJO20121101000020121028e8as0015p", News," Nov 1, 2012",, English, English, n/a," New York, N.Y.","Nov 1, 2012",Wall Street Journal (Online),2012,https://search.proquest.com/docview/1124843854?accountid=14496,,,, n/a,," Human rights , Violence , Bangladesh , Myanmar (Burma)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Myanmar+Faces+Pressure+to+Find+Solution+to+Crisis&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2012-11-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Hookway%2C+James&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
The Third Coast,"  While the other two coasts struggle with economic stagnation and dysfunctional politics, the Third Coast--the urbanized, broadly coastal region spanning the Gulf from Brownsville, Texas, to greater Tampa--is emerging as a center of industry, innovation, and economic growth.",1124992758,Newspapers," Kotkin, Joel
Joel
Joel Kotkin
Kotkin
Joel Kotkin",,," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2803859971 , 73458752 , 117310 , WSJO , WSJOWSJO20121101000020121101e8b100796", News," Nov 1, 2012",, English, English, n/a," New York, N.Y.","Nov 1, 2012",Wall Street Journal (Online),2012,https://search.proquest.com/docview/1124992758?accountid=14496,,,, n/a,," Steel industry , California , Louisiana , St James Parish Louisiana , Texas",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Third+Coast&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2012-11-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Kotkin%2C+Joel&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Innovative Immigrants,"  [...]while both Barack Obama and Mitt Romney have lauded entrepreneurship, innovation and ""job creation,"" neither candidate has made comprehensive immigration reform an issue, despite immigrants' crucial role in those fields. Consider the striking roster of 20th-century immigrants who led the development of fields like movies and information technology: the Hollywood studios MGM, Warner Brothers, United Artists, Paramount and Universal; the Silicon Valley companies Intel, eBay, Google, Yahoo and Sun Microsystems.\n",1125302458,Newspapers," McCRAW, THOMAS K
THOMAS
THOMAS K McCRAW
McCRAW
K
THOMAS K. McCRAW", NYTIAO," Goldman Sachs Group Inc
523110
523120"," Copyright New York Times Company Nov 2, 2012"," 2804215481 , 73476772 , 7818 , NYTIAO , NYT , 798274-20121102", Commentary," Nov 2, 2012",0362-4331, English, English, A.27," New York, N.Y.","Nov 2, 2012",New York Times,2012,https://search.proquest.com/docview/1125302458?accountid=14496,,,, A.27,," Aliens , Immigration policy , Presidential elections , United States--US , Obama, Barack , Romney, W Mitt",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Innovative+Immigrants%3A+%5BOp-Ed%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2012-11-02&amp;volume=&amp;issue=&amp;spage=A.27&amp;au=McCRAW%2C+THOMAS+K&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
"CAMPAIGN 2012; Romney has his back to the wall in Florida; In a must-win state for the Republican where he once held an edge, polls are now even and Latino votes vital.","  Even as the lion's share of attention in the presidential campaign goes to the battleground of Ohio and the storm-battered states of the Mid-Atlantic, the outcome to the south, in the nation's largest swing state, now seems very much in doubt. Obama carried the state in 2008 by just over 236,000 votes. Because the recession largely shut down white migration here from other states as the black and Puerto Rican population grew, the electorate has grown more diverse.",1125324475,Newspapers," Lauter, David
David
David Lauter
Lauter
David Lauter",,, (Copyright (c) 2012 Los Angeles Times)," 2804396261 , 73480562 , 7683 , ANGE , LATM120035261", News," Nov 2, 2012",0458-3035, English, English, A.1," Los Angeles, Calif.","Nov 2, 2012",Los Angeles Times,2012,https://search.proquest.com/docview/1125324475?accountid=14496,,,, A.1,," Candidates , Political campaigns , Voter behavior , Election results , Polls & surveys , Presidential elections , Ohio , Florida , Obama, Barack , Romney, W Mitt",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=CAMPAIGN+2012%3B+Romney+has+his+back+to+the+wall+in+Florida%3B+In+a+must-win+state+for+the+Republican+where+he+once+held+an+edge%2C+polls+are+now+even+and+Latino+votes+vital.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2012-11-02&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Lauter%2C+David&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
Asian Immigrant Experience Defies Easy Comparisons,"  By suggesting that Asian-Americans and American Jews are in some sort of contest for the status of most threatening, overachieving ethnic minority group, author Lee Siegel not only reinforces the most common and pervasive stereotypes of both groups, but he also insults those Americans who look beyond ethnicity in their perceptions of their fellow citizens ( Review, Oct. 27).",1125396870,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2805082311 , 73470872 , 117310 , WSJO , WSJOWSJO20121102000020121102e8b2006y2", News," Nov 2, 2012",, English, English, n/a," New York, N.Y.","Nov 2, 2012",Wall Street Journal (Online),2012,https://search.proquest.com/docview/1125396870?accountid=14496,,,, n/a,," Minority & ethnic groups , Asian Americans , Success , Jews , Stereotypes , Cho, Margaret , Lin, Jeremy , Allen, Woody , Einstein, Albert (1879-1955)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Asian+Immigrant+Experience+Defies+Easy+Comparisons&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2012-11-02&amp;volume=&amp;issue=&amp;spage=&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Vote for the Sound Money Ticket; Insufficient attention to the principles of the founding financiers is the source of our broken public finances,"  In ""The Founders and Finance,"" Thomas K. McCraw, an emeritus professor of business history at the Harvard Business School, celebrates the contributions of men who chose to become Americans, as distinct from those whose parents gave them no choice in the matter. A signer of the Declaration of Independence (1776), the Articles of Confederation (1778) and the Constitution (1787), he achieved, as Mr. McCraw notes, a documentary hat trick duplicated only by Roger Sherman of Connecticut.",1125421355,Newspapers," Grant, James
James
James Grant
Grant
James Grant",," Citigroup Inc
551111 , Congress
921120 , Harvard Business School
611310"," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2805158111 , 73470872 , 117310 , WSJO , WSJOWSJO20121102000020121102e8b200795", News," Nov 2, 2012",, English, English, n/a," New York, N.Y.","Nov 2, 2012",Wall Street Journal (Online),2012,https://search.proquest.com/docview/1125421355?accountid=14496,,,, n/a,," American history , Presidents , Philadelphia Pennsylvania , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Vote+for+the+Sound+Money+Ticket%3B+Insufficient+attention+to+the+principles+of+the+founding+financiers+is+the+source+of+our+broken+public+finances&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2012-11-02&amp;volume=&amp;issue=&amp;spage=&amp;au=Grant%2C+James&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
"In Corner of Myanmar, Muslims Seek Relief; A Port-Town Ghetto Springs Up as Checkpoints, Violence Hem In Rohingyas; Clashes Threaten Economic, Democratic Gains","  The Rohingyas, which number around 800,000, comprise less than 1% of Myanmar's total population, but around a fifth of the people in Rakhine state, where tensions with local Buddhists run deep. Since 1982, the government doesn't classify the Rohingyas as citizens, considering them to be illegal migrants from Bangladesh despite many Rohingya families having lived in the area for several generations.",1125421419,Newspapers," Hookway, James
James
James Hookway
Hookway
James Hookway",," United Nations--UN
928120"," (c) 2012 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2805158641 , 73470872 , 117310 , WSJO , WSJOWSJO20121102000020121102e8b2008n5", News," Nov 2, 2012",, English, English, n/a," New York, N.Y.","Nov 2, 2012",Wall Street Journal (Online),2012,https://search.proquest.com/docview/1125421419?accountid=14496,,,, n/a,," Ports , Myanmar (Burma)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=In+Corner+of+Myanmar%2C+Muslims+Seek+Relief%3B+A+Port-Town+Ghetto+Springs+Up+as+Checkpoints%2C+Violence+Hem+In+Rohingyas%3B+Clashes+Threaten+Economic%2C+Democratic+Gains&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2012-11-02&amp;volume=&amp;issue=&amp;spage=&amp;au=Hookway%2C+James&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
