Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
Lawmakers Urged to Pass Higher Wage,"  New York City Mayor Bill de Blasio on Tuesday pushed the state Legislature to approve an increase in the state minimum wage ""whenever it first can be done,"" a request that comes as labor advocates and some elected officials encourage Gov. Andrew Cuomo to call a special legislative session before the year's end.",1622555936,Newspapers," Vilensky, Mike
Mike
Mike Vilensky
Vilensky
Mike Vilensky , Michael Howard Saul
Michael Howard Saul",,," (c) 2014 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3491724121 , 91677382 , 7510 , WSJ , DWJNJ000000020141112eabc00025", News," Nov 12, 2014",0099-9660, English, English, A.17," New York, N.Y.","Nov 12, 2014",Wall Street Journal,2014,https://search.proquest.com/docview/1622555936?accountid=14496," 9190 United States , 1210 Politics & political behavior , 4320 Legislation"," 9190 United States , 1210 Politics & political behavior , 4320 Legislation"," 9190 United States , 1210 Politics & political behavior , 4320 Legislation", A.17," 9190 United States , 1210 Politics & political behavior , 4320 Legislation"," Minimum wage , Legislation -- New York , New York , de Blasio, Bill , Cuomo, Andrew M",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Lawmakers+Urged+to+Pass+Higher+Wage&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2014-11-12&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Vilensky%2C+Mike%3BMichael+Howard+Saul&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
"More Mosques Try to Attract Younger Muslims; Family Activities, Wider Roles for Women Mark a Cultural Shift","  [...]Ms. Haddad, a 40-year-old after-school director at a charter school, attends Roswell Community Masjid, a mosque in a single-floor brick building where children are taken on rafting trips and where, among other things, Ms. Haddad serves as a Girl Scout troop leader. A 2011 study by Ihsan Bagby, University of Kentucky associate professor of Islamic Studies, found that two-thirds of the roughly 2,100 U.S. mosques separate men from women during services and prayers.",1625026816,Newspapers," Mehrotra, Karishma
Karishma
Karishma Mehrotra
Mehrotra
Karishma Mehrotra",," University of Kentucky
611310 , Pew Research Center for the People & the Press
541720"," (c) 2014 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3495716961 , 91723982 , 117310 , WSJO , WSJOWSJO20141114000020141114eabe006hk", News," Nov 14, 2014",, English, English, n/a," New York, N.Y.","Nov 14, 2014",Wall Street Journal (Online),2014,https://search.proquest.com/docview/1625026816?accountid=14496,,,, n/a,," Muslims , Mosques & temples , Islam , Youth organizations , Women , Prayer , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=More+Mosques+Try+to+Attract+Younger+Muslims%3B+Family+Activities%2C+Wider+Roles+for+Women+Mark+a+Cultural+Shift&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2014-11-14&amp;volume=&amp;issue=&amp;spage=&amp;au=Mehrotra%2C+Karishma&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Building Bridges Where Needed on Chicago's South Side,"  Over the previous months, Dr. Nashashibi, 42, and his nonprofit group, the Inner-City Muslim Action Network, had helped Mr. Kayad with a number of enhancements: installing a cooler so he could stock fresh produce, serving free smoothies during Ramadan, sponsoring a performance by a Muslim percussion ensemble and hosting a voter-registration drive. The corner stores just happened to be one especially visible example of Dr. Nashashibi's larger mission of addressing the deeply complex relations between blacks and Muslims, with the countervailing trends of admiring Islam as the religion of Malcolm X and Mos Def and yet resenting Muslim immigrants as mercantile middlemen profiting off the slums.",1625069621,Newspapers," Freedman, Samuel G
Samuel
Samuel G Freedman
Freedman
G
Samuel G. Freedman", NYTIAO," University of Chicago
611310 , Chicago Theological Seminary
611310 , Inner-City Muslim Action Network
813311"," Copyright New York Times Company Nov 15, 2014"," 3495980881 , 91764652 , 7818 , NYTIAO , NYT , 336823-20141115", Commentary," Nov 15, 2014",0362-4331, English, English, A.16," New York, N.Y.","Nov 15, 2014",New York Times,2014,https://search.proquest.com/docview/1625069621?accountid=14496,,,, A.16,," Muslims , Palestinians , Islamic life & ethics , Minority & ethnic groups , Hip hop music , African Americans , Social responsibility , Chicago Illinois , Nashashibi, Rami",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Building+Bridges+Where+Needed+on+Chicago%27s+South+Side%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2014-11-15&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=Freedman%2C+Samuel+G&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
U.S. News: Mosques Reach Out to Young,"  A 2011 study by Ihsan Bagby, University of Kentucky associate professor of Islamic Studies, found that two-thirds of the roughly 2,100 U.S. mosques separate men from women during services and prayers.",1625069666,Newspapers," Mehrotra, Karishma
Karishma
Karishma Mehrotra
Mehrotra
Karishma Mehrotra",," University of Kentucky
611310 , Pew Research Center for the People & the Press
541720"," (c) 2014 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3495984131 , 91765632 , 7510 , WSJ , DWJNJ000000020141115eabf0001r", News," Nov 15, 2014",0099-9660, English, English, A.6," New York, N.Y.","Nov 15, 2014",Wall Street Journal,2014,https://search.proquest.com/docview/1625069666?accountid=14496," 9190 United States , 1220 Social trends & culture"," 9190 United States , 1220 Social trends & culture"," 9190 United States , 1220 Social trends & culture", A.6," 9190 United States , 1220 Social trends & culture"," Muslims , Islam , Youth organizations , Mosques & temples , United States--US , Roswell Georgia",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Mosques+Reach+Out+to+Young&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2014-11-15&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Mehrotra%2C+Karishma&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
The Great Betrayal,"  [...]we now have a clearer sense of just how anti-democratically this president may be willing to proceed. [...]there can be no legal bar to applying discretion, granting protections and issuing work permits to roughly half the illegal-immigrant population.",1625163232,Newspapers," Douthat, Ross
Ross
Ross Douthat
Douthat
Ross Douthat", NYTIAO," Congress
921120"," Copyright New York Times Company Nov 16, 2014"," 3496676601 , 91779452 , 7818 , NYTIAO , NYT , 366447-20141116", Commentary," Nov 16, 2014",0362-4331, English, English, SR.9," New York, N.Y.","Nov 16, 2014",New York Times,2014,https://search.proquest.com/docview/1625163232?accountid=14496,,,, SR.9,," Aliens , Immigration policy , Public policy , Legal arguments , United States--US , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=The+Great+Betrayal%3A+Commentary&amp;title=New+York+Times&amp;issn=03624331&amp;date=2014-11-16&amp;volume=&amp;issue=&amp;spage=SR.9&amp;au=Douthat%2C+Ross&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Unexpected Texas,"  [...]for that matter, which Texas do its visitors expect to find when they're visiting? (It ranked sixth last year among states as an overseas tourist draw, according to the United States Department of Commerce.) I would submit, as a proud native, that Texas is no longer what it, and we, think it is, even after the state G.O.P.'s total domination in the midterm elections. Concomitant with these demographic shifts are political realities that were unimaginable two decades ago. Since 2010, Houston's mayor has been Annise Parker, a gay woman.",1625163444,Newspapers," Draper, Robert
Robert
Robert Draper
Draper
Robert Draper", NYTIAO," Texas Monthly
511120 , University of Texas
611310"," Copyright New York Times Company Nov 16, 2014"," 3496676041 , 91779452 , 7818 , NYTIAO , NYT , 154970-20141116", NEWSPAPER," Nov 16, 2014",0362-4331, English, English, TR.1," New York, N.Y.","Nov 16, 2014",New York Times,2014,https://search.proquest.com/docview/1625163444?accountid=14496,,,, TR.1,," Cities , Local elections , Texas , Obama, Barack , Grieder, Erica",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Unexpected+Texas%3A+%5BTravel+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2014-11-16&amp;volume=&amp;issue=&amp;spage=TR.1&amp;au=Draper%2C+Robert&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Invoking 'I-Word' Upsets Rights Groups in Colorado,"  The national debate over the use of the term ""illegal immigrant,"" which has become anathema to people who support relaxed immigration rules, has fixed on an unlikely lightning rod: the liberal-minded, pro-immigrant owner of a Mexican restaurant chain. Mr. Turner seemed to have stumbled on a political tripwire he had not known existed, drawing ire from local and national immigrant rights groups that say his use of the word in connection with a person's name is derogatory and offensive.",1625282814,Newspapers," Turkewitz, Julie
Julie
Julie Turkewitz
Turkewitz
Julie Turkewitz", NYTIAO," Illegal Petes
722513"," Copyright New York Times Company Nov 17, 2014"," 3497475041 , 91793632 , 7818 , NYTIAO , NYT , 337420-20141117", News," Nov 17, 2014",0362-4331, English, English, A.13," New York, N.Y.","Nov 17, 2014",New York Times,2014,https://search.proquest.com/docview/1625282814?accountid=14496,,,, A.13,," Aliens , Names , Restaurants , Racism , Colorado , Turner, Pete",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Invoking+%27I-Word%27+Upsets+Rights+Groups+in+Colorado%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2014-11-17&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Turkewitz%2C+Julie&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
"THE INCARCERATION INDUSTRY; A CITY OF CELLS?; Jails mean money in Adelanto, which considers another one",  [...]critics question the wisdom of expanding the city's incarceration industry at a time when the number of inmates is falling nationally and changes to state and federal laws could reduce demand for jail beds.,1625462132,Newspapers," Linthicum, Kate
Kate
Kate Linthicum
Linthicum
Kate Linthicum",,, (Copyright (c) 2014 Los Angeles Times)," 3498813591 , 91822802 , 7683 , ANGE , LATM140033048", News," Nov 18, 2014",0458-3035, English, English, AA.1," Los Angeles, Calif.","Nov 18, 2014",Los Angeles Times,2014,https://search.proquest.com/docview/1625462132?accountid=14496,,,, AA.1,," Cities , Criminal sentences , Prisons , Municipal finance , Area planning & development -- Adelanto California , Adelanto California , Los Angeles County California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=THE+INCARCERATION+INDUSTRY%3B+A+CITY+OF+CELLS%3F%3B+Jails+mean+money+in+Adelanto%2C+which+considers+another+one&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2014-11-18&amp;volume=&amp;issue=&amp;spage=AA.1&amp;au=Linthicum%2C+Kate&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
Berlin After the Wall: A Microcosm of the World's Chaotic Change,"  For some of the same reasons that big corporations fled the city -- inept government, lack of infrastructure, Detroit-size debts and ""the fact that there still isn't a Whole Foods where you can choose six different types of bananas,"" as Mr. Schaefer half-jokingly put it -- Two distinct Germanys during the Cold War have yielded not to what leaders in the Western political class feared after reunification but to a single, fuzzier, more reticent nation in a world that has become not safer and flatter -- as the fall of the wall promised -- but more violent, tribal, fractured and unpredictable.\n",1625531837,Newspapers," Kimmelman, Michael
Michael
Michael Kimmelman
Kimmelman
Michael Kimmelman", NYTIAO,," Copyright New York Times Company Nov 18, 2014"," 3499033471 , 91822502 , 7818 , NYTIAO , NYT , 342459-20141118", News," Nov 18, 2014",0362-4331, English, English, A.1," New York, N.Y.","Nov 18, 2014",New York Times,2014,https://search.proquest.com/docview/1625531837?accountid=14496,,,, A.1,," Cities , Reunification , Anniversaries , Cold War , Social change , East Germany , Berlin Germany",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Berlin+After+the+Wall%3A+A+Microcosm+of+the+World%27s+Chaotic+Change%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2014-11-18&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Kimmelman%2C+Michael&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Undocumented Immigrant Population Levels Off in U.S.; More People Have Been Leaving the U.S. for Mexico Than Coming From There,"  Since 2007, there have been more people leaving the U.S. for Mexico than coming here from Mexico, Mr. Passel said.",1625603954,Newspapers," Jordan, Miriam
Miriam
Miriam Jordan
Jordan
Miriam Jordan",," Pew Research Center for the People & the Press
541720 , University of Southern California
611310"," (c) 2014 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3499412201 , 91814112 , 117310 , WSJO , WSJOWSJO20141118000020141118eabi004pm", News," Nov 18, 2014",, English, English, n/a," New York, N.Y.","Nov 18, 2014",Wall Street Journal (Online),2014,https://search.proquest.com/docview/1625603954?accountid=14496,,,, n/a,," Aliens , Population , Recessions , Mexico , Central America , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Undocumented+Immigrant+Population+Levels+Off+in+U.S.%3B+More+People+Have+Been+Leaving+the+U.S.+for+Mexico+Than+Coming+From+There&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2014-11-18&amp;volume=&amp;issue=&amp;spage=&amp;au=Jordan%2C+Miriam&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
