Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
"Donald Trump Promises Tax Cuts, Offset by Robust Growth; Skeptics in both parties question whether policies will deliver predicted GDP and employment gains","  In his speech, Mr. Trump said the new plan--which includes proposals such as collapsing the seven individual tax brackets into three, and lowering the corporate tax rate to 15% from 35%--would simplify the tax code, though it came days after a separate proposal to help families defray child-care costs that would add new complexity to the tax system.",1819564637,Newspapers," Timiraos, Nick
Timiraos
Nick
Nick Timiraos; Richard Rubin , Rubin, Richard
Rubin
Richard , Timiraos, Nick
Timiraos
Nick
Nick Timiraos , Rubin, Richard
Rubin
Richard
Richard Rubin",," Congressional Budget Office--CBO
921120"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4182920351 , 107790772 , 117310 , WSJO , WSJOWSJO20160916000020160915ec9f0070w", News," Sep 16, 2016",, English, English, n/a," New York, N.Y.","Sep 16, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1819564637?accountid=14496, n/a," Tax cuts , Tax rates , Nominations , Budget deficits , Economic growth , Gross Domestic Product--GDP , McCain, John , Bush, George W",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Donald+Trump+Promises+Tax+Cuts%2C+Offset+by+Robust+Growth%3B+Skeptics+in+both+parties+question+whether+policies+will+deliver+predicted+GDP+and+employment+gains&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=&amp;au=Timiraos%2C+Nick%3BRubin%2C+Richard&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
THE NATION; Arizona weakens immigration law; A settlement ends the practice of requiring police to ask people for their papers.,"  Arizona Atty. Gen. Mark Brnovich issued an informal opinion as part of the settlement that instructs police officers to ignore the provision in the law that requires them to investigate a ""reasonable suspicion"" that a person is in the country illegally -- an element of the law that immigrant rights groups warned would lead to racial profiling.",1819587210,Newspapers," Duara, Nigel
Duara
Nigel
Nigel Duara , Duara, Nigel
Duara
Nigel
Nigel Duara",,, (Copyright (c) 2016 Los Angeles Times)," 4183052181 , 107797992 , 7683 , ANGE , LATM2016091624840", News," Sep 16, 2016",0458-3035, English, English, A.6," Los Angeles, Calif.","Sep 16, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1819587210?accountid=14496, A.6," Immigration policy , Law enforcement , Aliens , Litigation , Settlements & damages , Arizona"," ARIZONA , IMMIGRANTS , LAW , POLICE , IDENTIFICATION",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=THE+NATION%3B+Arizona+weakens+immigration+law%3B+A+settlement+ends+the+practice+of+requiring+police+to+ask+people+for+their+papers.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Duara%2C+Nigel&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Will overtime law bear fruit for farmworkers?; Union hails historic shift; growers say it could cost jobs,"  [...]if the Central Valley has been able to maintain its high level of productivity, farmers and ranchers said, it has been without the help of the governor or the state Legislature, who over the last decade have tightened regulations on labor, water control and air quality, even as they struggle through a drought. The expansion of farmworker overtime is just the latest hit to their bottom line, several growers said, coming months after Brown signed into law a gradual increase of the minimum wage.",1819587622,Newspapers," Ulloa, Jazmine
Ulloa
Jazmine
Jazmine Ulloa , Ulloa, Jazmine
Ulloa
Jazmine
Jazmine Ulloa",,, (Copyright (c) 2016 Los Angeles Times)," 4183051791 , 107797992 , 7683 , ANGE , LATM2016091624880", News," Sep 16, 2016",0458-3035, English, English, A.1," Los Angeles, Calif.","Sep 16, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1819587622?accountid=14496, A.1," Farmworkers , Agriculture , Bills , Labor unions , Farms , California"," CALIFORNIA , LAW , FARM LABOR , OVERTIME PAY , UNIONS , FARMERS , EMPLOYMENT",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Will+overtime+law+bear+fruit+for+farmworkers%3F%3B+Union+hails+historic+shift%3B+growers+say+it+could+cost+jobs&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Ulloa%2C+Jazmine&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Trump revises his tax, growth plans; His updated economic strategy leaves many questions unanswered.","  In attempting to appeal to lower- and middle-income Americans, Trump called for an expanded earned income tax credit and tax savings for child-care expenses.",1819588348,Newspapers," Lee, Don
Lee
Don
Don Lee , Bierman, Noah
Bierman
Noah
Noah Bierman , Lee, Don
Lee
Don
Don Lee , Bierman, Noah
Bierman
Noah
Noah Bierman",,, (Copyright (c) 2016 Los Angeles Times)," 4183052201 , 107797992 , 7683 , ANGE , LATM2016091624838", News," Sep 16, 2016",0458-3035, English, English, C.1," Los Angeles, Calif.","Sep 16, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1819588348?accountid=14496, C.1," Tax credits , Tax cuts , Tax rates , Political campaigns , Economic growth , Growth models , United States--US"," TRUMP, DONALD J , PRESIDENTIAL ELECTIONS (2016) , PRESIDENTIAL CANDIDATES , ECONOMY , TAXES , POLITICAL CAMPAIGNS",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Trump+revises+his+tax%2C+growth+plans%3B+His+updated+economic+strategy+leaves+many+questions+unanswered.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=C.1&amp;au=Lee%2C+Don%3BBierman%2C+Noah&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The smartest way to secure our borders: Visa reform,  [...]a reformed visa system should allow foreign students educated at U.S.colleges and universities to obtain work visas and contribute their talents here after graduation.,1819618077,Newspapers," Noorani, Ali
Noorani
Ali
Ali Noorani , Noorani, Ali
Noorani
Ali
Ali Noorani",," Congress
921120"," (Copyright The Washington Post Company, Sep 16, 2016)"," 4183112821 , 107798802 , 7653 , TWP , WPXXWP20160916ThesmartestwaytosecureourbordersVisarefo1eac87ea", Editorial," Sep 16, 2016",0190-8286, English, English, A.15," Washington, D.C.","Sep 16, 2016",The Washington Post,2016,https://search.proquest.com/docview/1819618077?accountid=14496, A.15," Dairy industry , Passports & visas , Milk , Shortages , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+smartest+way+to+secure+our+borders%3A+Visa+reform&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Noorani%2C+Ali&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump bullish as race tightens,"  In the interview, conducted late Wednesday aboard his private plane as it idled on the tarmac here, Trump suggested he is not eager to change his pitch or his positions even as he works to reach out to minority voters, many of whom are deeply offended by his long-refuted suggestion that Obama is not a U.S. citizen.",1819618108,Newspapers," Costa, Robert
Costa
Robert
Robert Costa , Costa, Robert
Costa
Robert
Robert Costa",,," (Copyright The Washington Post Company, Sep 16, 2016)"," 4183112181 , 107798802 , 7653 , TWP , WPXXWP20160916Trumpbullishasracetightens48913162", News," Sep 16, 2016",0190-8286, English, English, A.13," Washington, D.C.","Sep 16, 2016",The Washington Post,2016,https://search.proquest.com/docview/1819618108?accountid=14496, A.13," Nominations , Polls & surveys , Candidates , Political campaigns , Presidential elections , United States--US , Cooper, Anderson", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump+bullish+as+race+tightens&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Costa%2C+Robert&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"In Democratic territory, Montgomery Republicans are anxious and angry","  Higgs, whose nomination to Maryland's Public Service Commission stalled last year after Democratic lawmakers objected to some old tweets (""newsflash Illegal alien immigrants now to be referred to as #UndocumentedDemocrats""), said that although the party has no formal relationship with Help Save Maryland, the organization is a welcome presence.",1819618113,Newspapers," Turque, Bill
Turque
Bill
Bill Turque , Turque, Bill
Turque
Bill
Bill Turque",," Republican Party
813940"," (Copyright The Washington Post Company, Sep 16, 2016)"," 4183112741 , 107798802 , 7653 , TWP , WPXXWP20160916InDemocraticterritoryMontgomeryRepublicab44cf504", News," Sep 16, 2016",0190-8286, English, English, B.4," Washington, D.C.","Sep 16, 2016",The Washington Post,2016,https://search.proquest.com/docview/1819618113?accountid=14496, B.4," Candidates , Violent crime , Aliens , Immigration policy , Local elections , State elections", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=In+Democratic+territory%2C+Montgomery+Republicans+are+anxious+and+angry&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=B.4&amp;au=Turque%2C+Bill&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Arizona Recommends Limits to a Rigid Immigration Law,"  ""When the state takes such an aggressive lead on questions of immigration enforcement, it's not just bad for the community,"" Lisa Urias, executive board member of the Arizona Hispanic Chamber of Commerce, a plaintiff in the lawsuit.",1819619073,Newspapers," Santos, Fernanda
Santos
Fernanda
Fernanda Santos , Santos, Fernanda
Santos
Fernanda
Fernanda Santos", NYTIAO," American Civil Liberties Union--ACLU
541110
813311"," Copyright New York Times Company Sep 16, 2016"," 4183118831 , 107797952 , 7818 , NYTIAO , NYT , 487929-20160916", News," Sep 16, 2016",0362-4331, English, English, A.19," New York, N.Y.","Sep 16, 2016",New York Times,2016,https://search.proquest.com/docview/1819619073?accountid=14496, A.19," Settlements & damages , Attorneys general , Law enforcement , Aliens , Immigration policy , State laws , Arizona , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Arizona+Recommends+Limits+to+a+Rigid+Immigration+Law%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Santos%2C+Fernanda&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Election 2016: Trump Is Heavy but in Good Health,"  Republican presidential nominee Donald Trump is overweight and taking a drug to lower his cholesterol, but is otherwise in good health, according to a letter from his doctor that his campaign released Thursday.",1819678237,Newspapers," Bender, Michael C
Bender
C
Michael
Michael C. Bender , Bender, Michael C
Bender
C
Michael
Michael C. Bender",,," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4183255981 , 107799782 , 7510 , WSJ , DWJNJ000000020160916ec9g0002m", News," Sep 16, 2016",0099-9660, English, English, A.4," New York, N.Y.","Sep 16, 2016",Wall Street Journal,2016,https://search.proquest.com/docview/1819678237?accountid=14496, A.4," Health , Presidential elections , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Election+2016%3A+Trump+Is+Heavy+but+in+Good+Health&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Bender%2C+Michael+C&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"The Great Unraveling: Social Erosion Fuels Unease --- In U.S. cities where jobs have fled, the decline of social institutions produces support for Trump","  In Berks County, once famous for the Reading Railroad stop on the Monopoly board game, social ills have been exacerbated by a 30% decline in manufacturing jobs and 6% fall in inflation-adjusted median income since 1995.",1819678300,Newspapers," Davis, Bob
Davis
Bob
Bob Davis; Gary Fields , Fields, Gary
Fields
Gary , Davis, Bob
Davis
Bob
Bob Davis , Fields, Gary
Fields
Gary
Gary Fields",,," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4183256221 , 107799782 , 7510 , WSJ , DWJNJ000000020160916ec9g0002o", News," Sep 16, 2016",0099-9660, English, English, A.1," New York, N.Y.","Sep 16, 2016",Wall Street Journal,2016,https://search.proquest.com/docview/1819678300?accountid=14496, A.1," Families & family life , Drug overdose , Social conditions & trends , Presidential elections , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Great+Unraveling%3A+Social+Erosion+Fuels+Unease+---+In+U.S.+cities+where+jobs+have+fled%2C+the+decline+of+social+institutions+produces+support+for+Trump&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2016-09-16&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Davis%2C+Bob%3BFields%2C+Gary&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
