Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
"Dissidents Silenced, GOP Convention Turns Attacks on Clinton; Move by some delegates to change convention rules highlights the divisions within the party","  CLEVELAND--On the first night of Donald Trump's convention, Republicans assailed Hillary Clinton for the 2012 attack on Benghazi, illegal immigration and recent killings of police officers they said were the result of societal breakdowns caused by feckless leadership in Washington. [...]Mr. Trump's campaign and its Republican National Committee allies presided over the most chaotic scene at a national party convention in generations, with hundreds of delegates shouting for a roll-call vote to disrupt his forthcoming nomination and one state delegation walking off the floor.",1805168946,Newspapers," Epstein, Reid J
Epstein
J
Reid
Reid J. Epstein , Epstein, Reid J
Epstein
J
Reid
Reid J. Epstein",," Republican Party
813940 , NBC News Channel
515120"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4120681881 , 106519782 , 117310 , WSJO , WSJOWSJO20160719000020160718ec7i00a3y", News," Jul 19, 2016",, English, English, n/a," New York, N.Y.","Jul 19, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1805168946?accountid=14496, n/a," Nominations , Leadership , Political conventions , Political campaigns , Presidents , Benghazi Libya , Kasich, John R , Clinton, Hillary",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Dissidents+Silenced%2C+GOP+Convention+Turns+Attacks+on+Clinton%3B+Move+by+some+delegates+to+change+convention+rules+highlights+the+divisions+within+the+party&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=&amp;au=Epstein%2C+Reid+J&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Republicans Face a Fundamental Question as Donald Trump Remakes Party; Republicans at their national convention face a central issue: Is the GOP in the midst of a long-term identity change?,"  Accumulated results from all Wall Street Journal/NBC News polling done in the first half of 2016 show Americans with no college education now make up a larger share of Republicans than of Democrats. There was a time, in the decades after Franklin Roosevelt created a Democratic Party in his own image, when working-class whites in rural America were heavily Democratic--indeed, were a backbone of the Democratic Party.",1805175364,Newspapers," Seib, Gerald F
Seib
F
Gerald
Gerald F. Seib , Seib, Gerald F
Seib
F
Gerald
Gerald F. Seib",," Democratic Party
813940 , US Chamber of Commerce
813910 , Bloomberg News
519110"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4120722241 , 106519782 , 117310 , WSJO , WSJOWSJO20160719000020160718ec7i007hh", News," Jul 19, 2016",, English, English, n/a," New York, N.Y.","Jul 19, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1805175364?accountid=14496, n/a," Nominations , Political parties , Conventions , Election results , Populism , Manafort, Paul , Reagan, Ronald Wilson",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Republicans+Face+a+Fundamental+Question+as+Donald+Trump+Remakes+Party%3B+Republicans+at+their+national+convention+face+a+central+issue%3A+Is+the+GOP+in+the+midst+of+a+long-term+identity+change%3F&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=&amp;au=Seib%2C+Gerald+F&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"REPUBLICAN NATIONAL CONVENTION; ANALYSIS; Mixed signals and missed chances; On the first night of the GOP convention, the party fails to send a convincing message.","  Other speakers used language and images of the sort that have tormented the Republican Party in its efforts to expand its reach among general election voters, who are less conservative and less white than those who dominate GOP primaries. Part of the problem for Republican convention planners is that most of Trump's plans remain on the drawing board.",1805190219,Newspapers," Decker, Cathleen
Decker
Cathleen
Cathleen Decker , Decker, Cathleen
Decker
Cathleen
Cathleen Decker",," Republican Party
813940", (Copyright (c) 2016 Los Angeles Times)," 4120850211 , 106531002 , 7683 , ANGE , LATM2016071919461", News," Jul 19, 2016",0458-3035, English, English, B.1," Los Angeles, Calif.","Jul 19, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1805190219?accountid=14496, B.1," Political conventions , Aliens , Political campaigns , Presidential elections"," News analysis , REPUBLICAN NATIONAL CONVENTION , PRESIDENTIAL ELECTIONS (2016)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=REPUBLICAN+NATIONAL+CONVENTION%3B+ANALYSIS%3B+Mixed+signals+and+missed+chances%3B+On+the+first+night+of+the+GOP+convention%2C+the+party+fails+to+send+a+convincing+message.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Decker%2C+Cathleen&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"REPUBLICAN NATIONAL CONVENTION; OUTSIDE THE HALL; Heat, sweat and paranoia in Ohio","  Men in suits and women in dresses (I suspect this is not how most Clevelanders normally dress) drift past black metal fencing that surrounds the arena, the mayor's office, the city's convention center. For the last week, almost everyone who finds out I'm going to be covering the protests outside the Republican National Convention has asked me a version of the same question:",1805190263,Newspapers," Pearce, Matt
Pearce
Matt
Matt Pearce , Pearce, Matt
Pearce
Matt
Matt Pearce",,, (Copyright (c) 2016 Los Angeles Times)," 4120850241 , 106531002 , 7683 , ANGE , LATM2016071919458", News," Jul 19, 2016",0458-3035, English, English, B.1," Los Angeles, Calif.","Jul 19, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1805190263?accountid=14496, B.1," Political conventions , Suicide bombings"," REPUBLICAN NATIONAL CONVENTION , PRESIDENTIAL ELECTIONS (2016)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=REPUBLICAN+NATIONAL+CONVENTION%3B+OUTSIDE+THE+HALL%3B+Heat%2C+sweat+and+paranoia+in+Ohio&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Pearce%2C+Matt&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Alabamian vaults from the GOP sidelines to center stage,"  The nomination to the federal district court came four years later - but any hope for a smooth confirmation by the Republican-led Senate was quickly dashed as the Judiciary Committee heard from Sessions's former colleagues about his past remarks. J. Gerald Hebert, then a Justice Department lawyer based in Washington, recalled visiting the Mobile office while working on voting rights cases and listening as Sessions sounded off on his view of black civil rights groups, at one point calling the NAACP a ""commie pinko organization,"" as Hebert recalled in a recent interview.",1805191147,Newspapers," Stanley-Becker, Isaac
Stanley-Becker
Isaac
Isaac Stanley-Becker , Stanley-Becker, Isaac
Stanley-Becker
Isaac
Isaac Stanley-Becker",," Republican Party
813940 , National Association for the Advancement of Colored People
813311"," (Copyright The Washington Post Company, Jul 19, 2016)"," 4120856671 , 106532132 , 7653 , TWP , WPXXWP20160719AlabamianvaultsfromtheGOPsidelinestocent1fc04d14", News," Jul 19, 2016",0190-8286, English, English, A.7," Washington, D.C.","Jul 19, 2016",The Washington Post,2016,https://search.proquest.com/docview/1805191147?accountid=14496, A.7," Presidential elections , Immigration policy , Civil rights , Political campaigns , Voting rights , Public prosecutors , United States--US , Alabama", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Alabamian+vaults+from+the+GOP+sidelines+to+center+stage&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=A.7&amp;au=Stanley-Becker%2C+Isaac&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Truck attack in Nice adds to string of plots' brutal simplicity,"  The attacks in Belgium, Paris, Istanbul and Baghdad over the past year have employed a mix of firearms and explosives on other vulnerable targets including soccer stadiums, neighborhood markets, concert venues and the open spaces at the airport in Brussels where travelers could congregate without undergoing security checks.",1805191378,Newspapers," Miller, Greg
Miller
Greg
Greg Miller , Miller, Greg
Miller
Greg
Greg Miller",,," (Copyright The Washington Post Company, Jul 19, 2016)"," 4120856601 , 106532132 , 7653 , TWP , WPXXWP20160719TruckattackinNiceaddstostringofplotsbrutcd89c01c", News," Jul 19, 2016",0190-8286, English, English, A.11," Washington, D.C.","Jul 19, 2016",The Washington Post,2016,https://search.proquest.com/docview/1805191378?accountid=14496, A.11," Vehicles , Counterterrorism , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Truck+attack+in+Nice+adds+to+string+of+plots%27+brutal+simplicity&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=Miller%2C+Greg&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Wendell Anderson, Minnesota Leader Whose Ambition Cost Him, Dies at 83","  Besides his efforts to improve education in his six years as governor, Mr. Anderson oversaw the enactment of a state minimum wage, legislation to protect the environment and enforce federal safety standards for workers, and state investments in affordable housing. Gov. Mark Dayton, a fellow member of the Minnesota Democratic-Farmer-Labor Party, said in a statement that Mr. Anderson would be remembered most for reaching a bipartisan agreement with the State Legislature that ""won national acclaim by replacing regressive local property taxes with more-progressive state taxes, increasing funding for K-12 education and reducing disparities between property-rich and property-poor school districts.""",1805194275,Newspapers," Roberts, Sam
Roberts
Sam
Sam Roberts , Roberts, Sam
Roberts
Sam
Sam Roberts", NYTIAO," University of Minnesota
611310 , Senate
921120 , Minnesota Public Radio
515112 , Minnesota Democratic Farmer Labor Party
813940 , Time Inc
511120"," Copyright New York Times Company Jul 19, 2016"," 4120861171 , 106530422 , 7818 , NYTIAO , NYT , 365041-20160719"," Obituary (Obit) , Biography"," Jul 19, 2016",0362-4331, English, English, B.12," New York, N.Y.","Jul 19, 2016",New York Times,2016,https://search.proquest.com/docview/1805194275?accountid=14496, B.12," States , Education , Alzheimers disease , School districts , Governors , Minnesota , Carter, Jimmy",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Wendell+Anderson%2C+Minnesota+Leader+Whose+Ambition+Cost+Him%2C+Dies+at+83%3A+%5BObituary+%28Obit%29%3B+Biography%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=B.12&amp;au=Roberts%2C+Sam&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
BUSINESS BEAT; Survey raises suspicions,"  The official-looking letter from Congressional Monitor gets right to the point: ""The United States Congress is currently debating the vital issues of immigration reform, veterans' healthcare and government spending levels."" In light of the recent televised gun violence do you think Congress should: (A) Let the states and communities decide what action is best (B) Ban high-capacity magazines (C) Increase mental health care and treatment of mental illness (D) Do nothing Notably lacking among those choices is gun control.",1805201498,Newspapers," Lazarus, David
Lazarus
David
DAVID LAZARUS , Lazarus, David
Lazarus
David
DAVID LAZARUS",," Corporation Service Co
541611 , Berman & Co
541810
541910 , Congress
921120", (Copyright (c) 2016 Los Angeles Times)," 4120866631 , 106531002 , 7683 , ANGE , LATM20160719019424", News," Jul 19, 2016",0458-3035, English, English, C.2," Los Angeles, Calif.","Jul 19, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1805201498?accountid=14496, C.2," Post offices , Firearms , Firearm laws & regulations , Web sites", Column,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=BUSINESS+BEAT%3B+Survey+raises+suspicions&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=C.2&amp;au=Lazarus%2C+David&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The Republican Divide,"  Instead the Republicans gathered in Cleveland this week are divided and anxious about nominating perhaps the only presidential candidate who could lose to Hillary Clinton. Republicans have also done better than advertised in Congress, given the obstacle of a Democratic President. Since taking the Senate in 2014, Republicans have put the repeal of ObamaCare and three separate Environmental Protection Agency regulations on President Obama's desk.",1805202532,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous , Anonymous
Anonymous
Anonymous
Anonymous",," Republican Party
813940"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4120893241 , 106532422 , 7510 , WSJ , DWJNJ000000020160719ec7j0000w", Editorial," Jul 19, 2016",0099-9660, English, English, A.12," New York, N.Y.","Jul 19, 2016",Wall Street Journal,2016,https://search.proquest.com/docview/1805202532?accountid=14496, A.12," Presidential elections , Candidates , Editorials , Cleveland Ohio , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Republican+Divide&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=A.12&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump's Best Path to Victory,"  If this were a typical presidential election, the logical first step would be to pick the most likely combination of states to put the Trump campaign over the 270 threshold. Pennsylvania hasn't gone for a Republican presidential candidate since 1988, and Wisconsin since 1984.",1805202711,Newspapers," Brabender, John
Brabender
John
John Brabender , Brabender, John
Brabender
John
John Brabender",," Republican Party
813940"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4120893191 , 106532422 , 7510 , WSJ , DWJNJ000000020160719ec7j0000r", Commentary," Jul 19, 2016",0099-9660, English, English, A.13," New York, N.Y.","Jul 19, 2016",Wall Street Journal,2016,https://search.proquest.com/docview/1805202711?accountid=14496, A.13," Political campaigns , Presidential elections , Voter behavior , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Trump%27s+Best+Path+to+Victory&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2016-07-19&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Brabender%2C+John&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
