Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,documentFeatures,startPage,subjectTerms,subjects,FindACopy,Database
Imagining the Wall,,1890712762,Newspapers," Ito, Robert
Ito
Robert
Robert Ito",," Copyright New York Times Company Apr 23, 2017"," 244201-20170423 , 244201-20170423 , 7818 , PQ_7818_Apr232017", News," Apr 23, 2017",0362-4331, English, English, AR.18," New York, N.Y.","Apr 23, 2017",New York Times,2017,https://search.proquest.com/docview/1890712762?accountid=14496,, AR.18," Deserts , Art galleries & museums , Boundaries , Documentary films , Motion picture directors & producers , Border patrol , Fences , Mexico , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Imagining+the+Wall%3A+%5BArts+and+Leisure+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=AR.18&amp;au=Ito%2C+Robert&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump Policy Impact on Real Estate Still Unclear,,1890713003,Newspapers," Kim Velsey
Kim Velsey"," Real Capital Analytics Inc
541910"," Copyright New York Times Company Apr 23, 2017"," 697443-20170423 , 697443-20170423 , 7818 , PQ_7818_Apr232017", News," Apr 23, 2017",0362-4331, English, English, RE.8," New York, N.Y.","Apr 23, 2017",New York Times,2017,https://search.proquest.com/docview/1890713003?accountid=14496,, RE.8," Commercial real estate , Immigration policy , Local elections , Presidents , Foreign investment , Passports & visas , Sales , Securities markets , Identification documents , United States--US , New York , Canada , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Trump+Policy+Impact+on+Real+Estate+Still+Unclear%3A+%5BReal+Estate+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=RE.8&amp;au=Kim+Velsey&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"John Noonan, Federal Judge For 3 Decades, Dies at 90",,1890713336,Newspapers," Roberts, Sam
Roberts
Sam
Sam Roberts",," Copyright New York Times Company Apr 23, 2017"," 552666-20170423 , 552666-20170423 , 7818 , PQ_7818_Apr232017", Obituary (Obit); Biography," Apr 23, 2017",0362-4331, English, English, A.25," New York, N.Y.","Apr 23, 2017",New York Times,2017,https://search.proquest.com/docview/1890713336?accountid=14496,, A.25," Immigration policy , Capital punishment , Freedom of religion , Trials , Supreme Court decisions , Colleges & universities , Theology , Federal court decisions , Birth control , Assisted suicide , Aliens , Reagan, Ronald Wilson , California , Michigan , Oregon , San Francisco California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=John+Noonan%2C+Federal+Judge+For+3+Decades%2C+Dies+at+90%3A+%5BObituary+%28Obit%29%3B+Biography%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.25&amp;au=Roberts%2C+Sam&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump polls at record lows,,1890713771,Newspapers," Balz, Dan
Dan
Dan Balz
Balz
Dan Balz , Clement, Scott
Scott
Scott Clement
Clement
Scott Clement"," Republican Party
813940 , Democratic Party
813940"," (Copyright The Washington Post Company, Apr 23, 2017)"," WPXXWP20170423Trumppollsatrecordlowsa513a466 , WPXXWP20170423Trumppollsatrecordlowsa513a466 , 7653 , PQ_7653_Apr232017", News," Apr 23, 2017",0190-8286, English, English, A.1," Washington, D.C.","Apr 23, 2017",The Washington Post,2017,https://search.proquest.com/docview/1890713771?accountid=14496,, A.1," Polls & surveys , Political campaigns , Election results , Health care policy , Government spending , Voter behavior , United States--US , Trump, Donald J", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump+polls+at+record+lows&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Balz%2C+Dan%3BClement%2C+Scott&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
DHS effort to root out a Trump critic sparks an investigation,,1890713866,Newspapers," Timberg, Craig
Craig
Craig Timberg
Timberg
Craig Timberg"," Twitter Inc
519130 , US Citizenship & Immigration Services
928120"," (Copyright The Washington Post Company, Apr 23, 2017)"," WPXXWP20170423DHSefforttorootoutaTrumpcriticsparksaninbc59bdd4 , WPXXWP20170423DHSefforttorootoutaTrumpcriticsparksaninbc59bdd4 , 7653 , PQ_7653_Apr232017", News," Apr 23, 2017",0190-8286, English, English, A.24," Washington, D.C.","Apr 23, 2017",The Washington Post,2017,https://search.proquest.com/docview/1890713866?accountid=14496,, A.24," Social networks , National security , Immigration , Freedom of speech , Wyden, Ron", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=DHS+effort+to+root+out+a+Trump+critic+sparks+an+investigation&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.24&amp;au=Timberg%2C+Craig&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump slams '100 days' but is chasing wins,,1890713876,Newspapers," Wagner, John
John
John Wagner
Wagner
John Wagner"," Associated Press
519110 , Republican Party
813940 , Democratic Party
813940"," (Copyright The Washington Post Company, Apr 23, 2017)"," WPXXWP20170423Trumpslams100daysbutischasingwinsa627e86a , WPXXWP20170423Trumpslams100daysbutischasingwinsa627e86a , 7653 , PQ_7653_Apr232017", News," Apr 23, 2017",0190-8286, English, English, A.4," Washington, D.C.","Apr 23, 2017",The Washington Post,2017,https://search.proquest.com/docview/1890713876?accountid=14496,, A.4," Social networks , Tax rates , Presidents , Patient Protection & Affordable Care Act 2010-US , Health care policy , Tax cuts , Legislators , Corporate taxes , Reporters", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump+slams+%27100+days%27+but+is+chasing+wins&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Wagner%2C+John&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Sessions makes immigration demand,,1890713896,Newspapers," Zapotosky, Matt
Zapotosky
Matt
Matt Zapotosky",," (Copyright The Washington Post Company, Apr 23, 2017)"," WPXXWP20170423Sessionsmakesimmigrationdemandf0e53d3a , WPXXWP20170423Sessionsmakesimmigrationdemandf0e53d3a , 7653 , PQ_7653_Apr232017", News," Apr 23, 2017",0190-8286, English, English, A.3," Washington, D.C.","Apr 23, 2017",The Washington Post,2017,https://search.proquest.com/docview/1890713896?accountid=14496,, A.3," Immigration policy , Government grants , Compliance , Attorneys general , Cooperation , Enforcement , County executives , Law , Executive orders , Crime prevention , Raids , Violent crime , Murders & murder attempts , Aliens , Cities , Cook County Illinois , Chicago Illinois , New York , Miami-Dade County Florida , California", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Sessions+makes+immigration+demand&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Zapotosky%2C+Matt&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
We're not teaching the A-B-C's of civics. That's a problem.,,1890713915,Newspapers," King, Colbert I
King
I
Colbert
Colbert I King"," Century Foundation
541720"," (Copyright The Washington Post Company, Apr 23, 2017)"," WPXXWP20170423WerenotteachingtheABCsofcivicsThatsaprobdb21f9ea , WPXXWP20170423WerenotteachingtheABCsofcivicsThatsaprobdb21f9ea , 7653 , PQ_7653_Apr232017", Editorial," Apr 23, 2017",0190-8286, English, English, A.23," Washington, D.C.","Apr 23, 2017",The Washington Post,2017,https://search.proquest.com/docview/1890713915?accountid=14496,, A.23," Public schools , Writers , Democracy , Values , Education , Trump, Donald J , Mexico , Russia , United States--US , Amin Dada, Idi , Putin, Vladimir", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=We%27re+not+teaching+the+A-B-C%27s+of+civics.+That%27s+a+problem.&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.23&amp;au=King%2C+Colbert+I&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The right way to secure the border,,1890713918,Newspapers," Nazario, Sonia
Nazario
Sonia
Sonia Nazario",," Copyright Los Angeles Times Apr 23, 2017"," 7683 , PQ_7683_Apr232017 , LATMLATM201704239820 , LATMLATM201704239820", Opinions," Apr 23, 2017",0458-3035, English, English, A.23," Los Angeles, Calif.","Apr 23, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1890713918?accountid=14496,, A.23," Organized crime , Violence , Prevention programs , Mexico , Honduras , United States--US , Guatemala , El Salvador , Rio Grande",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=The+right+way+to+secure+the+border&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.23&amp;au=Nazario%2C+Sonia&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Why scientists march in District, 600 other cities",,1890713930,Newspapers," Achenbach, Joel
Achenbach
Joel
Joel Achenbach , Guarino, Ben
Guarino
Ben
Ben Guarino , Kaplan, Sarah
Kaplan
Sarah
Sarah Kaplan"," American Geophysical Union
813920 , American Chemical Society
813920 , National Aeronautics & Space Administration--NASA
927110"," (Copyright The Washington Post Company, Apr 23, 2017)"," WPXXWP20170423WhyscientistsmarchinDistrict600othercitia6ba69ce , WPXXWP20170423WhyscientistsmarchinDistrict600othercitia6ba69ce , 7653 , PQ_7653_Apr232017", News," Apr 23, 2017",0190-8286, English, English, A.4," Washington, D.C.","Apr 23, 2017",The Washington Post,2017,https://search.proquest.com/docview/1890713930?accountid=14496,, A.4," Biologists , Science , Politics , Society , Public health , Researchers , Biology , Astronauts , Women , Holt, Rush , Michigan", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Why+scientists+march+in+District%2C+600+other+cities&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-04-23&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Achenbach%2C+Joel%3BGuarino%2C+Ben%3BKaplan%2C+Sarah&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
