Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Shield for immigrant adults rescinded,,1910566649,Newspapers," Sacchetti, Maria
Sacchetti
Maria
Maria Sacchetti"," Coalition for Humane Immigrant Rights of Los Angeles
813311 , Massachusetts Institute of Technology
611310 , Department of Homeland Security
922120"," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618Shieldforimmigrantadultsrescinded76b0156c , WPXXWP20170618Shieldforimmigrantadultsrescinded76b0156c , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, A.3," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910566649?accountid=14496, A.3," Immigration policy , Deportation , National security , Enforcement , Families & family life , Presidents , Criminal records , Aliens , Texas , United States--US , Paxton, Ken , Kelly, John F", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Shield+for+immigrant+adults+rescinded&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Sacchetti%2C+Maria&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Rubio-Trump relations blossom even amid investigation,,1910566652,Newspapers," Sullivan, Sean
Sean
Sean Sullivan
Sullivan
Sean Sullivan , Wagner, John
John
John Wagner
Wagner
John Wagner , Demirjian, Karoun
Karoun
Karoun Demirjian
Demirjian
Karoun Demirjian"," Republican Party
813940 , Congress
921120 , Democratic Party
813940"," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618RubioTrumprelationsblossomevenamidinvest5c807118 , WPXXWP20170618RubioTrumprelationsblossomevenamidinvest5c807118 , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, A.8," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910566652?accountid=14496, A.8," Primaries & caucuses , Presidents , Collaboration , Legislators , Congressional committees , Cuba , Florida , Russia , Venezuela , Obama, Barack , Trump, Donald J", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Rubio-Trump+relations+blossom+even+amid+investigation&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=A.8&amp;au=Sullivan%2C+Sean%3BWagner%2C+John%3BDemirjian%2C+Karoun&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"On policy, Obama alumni struggle to adjust to a Trumpian world",,1910566850,Newspapers," Nakamura, David
David
David Nakamura
Nakamura
David Nakamura",," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618OnpolicyObamaalumnistruggletoadjusttoaTr5be30378 , WPXXWP20170618OnpolicyObamaalumnistruggletoadjusttoaTr5be30378 , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, A.9," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910566850?accountid=14496, A.9," Presidents , Bills , Diplomatic & consular services , Foreign policy , New Zealand , Cuba , New York , United States--US , Maine , Favreau, Jon , Obama, Barack , Trump, Donald J", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=On+policy%2C+Obama+alumni+struggle+to+adjust+to+a+Trumpian+world&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=A.9&amp;au=Nakamura%2C+David&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
A gap defined by values Alienation from cities grows in small towns,,1910567000,Newspapers," DelReal, Jose A
Jose
Jose A DelReal
DelReal
A
Jose A DelReal , Clement, Scott
Scott
Scott Clement
Clement
Scott Clement"," Republican Party
813940 , Democratic Party
813940"," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618AgapdefinedbyvaluesAlienationfromcitiesgd166c31e , WPXXWP20170618AgapdefinedbyvaluesAlienationfromcitiesgd166c31e , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, A.11," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910567000?accountid=14496, A.11," Polls & surveys , Population , Divisions , Economic conditions , Rural areas , Recessions , Local economy , Social identity , Values , Politics , Aliens , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=A+gap+defined+by+values+Alienation+from+cities+grows+in+small+towns&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=DelReal%2C+Jose+A%3BClement%2C+Scott&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Survey finds most Europeans favor the E.U. but want some autonomy back,,1910567027,Newspapers," Erickson, Amanda
Erickson
Amanda
Amanda Erickson"," Pew Research Center for the People & the Press
541720 , European Union
926110
928120"," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618SurveyfindsmostEuropeansfavortheEUbutwan36c5933c , WPXXWP20170618SurveyfindsmostEuropeansfavortheEUbutwan36c5933c , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, A.10," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910567027?accountid=14496, A.10," Polls & surveys , Population , Political parties , Colleges & universities , Negotiations , EU membership , Immigration , Italy , North Africa , Spain , Greece , Germany , United Kingdom--UK , Poland , Syria , Europe", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Survey+finds+most+Europeans+favor+the+E.U.+but+want+some+autonomy+back&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Erickson%2C+Amanda&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Why Perriello lost: Too little, too late",,1910567067,Newspapers," Nirappil, Fenit
Fenit
Fenit Nirappil
Nirappil
Fenit Nirappil"," Republican Party
813940 , Democratic Party
813940"," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618WhyPerriellolostToolittletoolate5f9ea30c , WPXXWP20170618WhyPerriellolostToolittletoolate5f9ea30c , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, C.1," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910567067?accountid=14496, C.1," Political campaigns , Governors , Progressivism , Political parties , Virginia , Sanders, Bernard", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Why+Perriello+lost%3A+Too+little%2C+too+late&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=C.1&amp;au=Nirappil%2C+Fenit&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Is the Western order becoming irrelevant?,,1910567198,Newspapers," Lozada, Carlos
Lozada
Carlos
Carlos Lozada",," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618IstheWesternorderbecomingirrelevant71fcfac8 , WPXXWP20170618IstheWesternorderbecomingirrelevant71fcfac8 , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, B.5," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910567198?accountid=14496, B.5," Cold War , Authoritarianism , Cooperation , Power , Books , World War II , Democracy , Liberalism , Leadership , Competition , Russia , United States--US , China , Europe", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Is+the+Western+order+becoming+irrelevant%3F&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=B.5&amp;au=Lozada%2C+Carlos&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump's Cuba shift? It's just a policy tweak.,,1910567219,Newspapers,," Congress
921120 , Patriotic Union of Cuba
813940"," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618TrumpsCubashiftItsjustapolicytweak6fb0ff02 , WPXXWP20170618TrumpsCubashiftItsjustapolicytweak6fb0ff02 , 7653 , PQ_7653_Jun182017", Editorial," Jun 18, 2017",0190-8286, English, English, A.20," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910567219?accountid=14496, A.20," Presidents , Embargoes & blockades , Politics , Cuba , United States--US , Venezuela , Obama, Barack", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump%27s+Cuba+shift%3F+It%27s+just+a+policy+tweak.&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=A.20&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
A risk to the community?,,1910567354,Newspapers," Miller, Michael E
Miller
E
Michael
Michael E Miller",," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618Arisktothecommunity96e136ce , WPXXWP20170618Arisktothecommunity96e136ce , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, C.1," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910567354?accountid=14496, C.1," Court hearings & proceedings , Minors , Violent crime , Border patrol , Immigration , Gangs , Honduras , United States--US , Kentucky", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=A+risk+to+the+community%3F&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=C.1&amp;au=Miller%2C+Michael+E&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
'Heroic' Capitol Police force that saved Scalise originally had just one member,,1910567706,Newspapers," Vargas, Theresa
Vargas
Theresa
Theresa Vargas"," Congress
921120 , Tyson Foods Inc
311612
311615"," (Copyright The Washington Post Company, Jun 18, 2017)"," WPXXWP20170618HeroicCapitolPoliceforcethatsavedScalisefd8380d6 , WPXXWP20170618HeroicCapitolPoliceforcethatsavedScalisefd8380d6 , 7653 , PQ_7653_Jun182017", News," Jun 18, 2017",0190-8286, English, English, C.5," Washington, D.C.","Jun 18, 2017",The Washington Post,2017,https://search.proquest.com/docview/1910567706?accountid=14496, C.5," Bombings , Police , Shootings , Politicians , Puerto Rico , Adams, John Quincy (1767-1848) , Virginia , Michigan", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=%27Heroic%27+Capitol+Police+force+that+saved+Scalise+originally+had+just+one+member&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-06-18&amp;volume=&amp;issue=&amp;spage=C.5&amp;au=Vargas%2C+Theresa&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
