Title,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Rubio is at crossroads if GOP goes through with tax plan,1976313324,Newspapers," Stein, Jeff
Stein
Jeff
Jeff Stein"," Republican Party
813940 , Senate
921120"," Copyright WP Company LLC d/b/a The Washington Post Dec 14, 2017"," WPXXWP20171214RubioisatcrossroadsifGOPgoesthroughwitht12558f94 , WPXXWP20171214RubioisatcrossroadsifGOPgoesthroughwitht12558f94 , 7653 , PQ_7653_Dec142017______", News," Dec 14, 2017",0190-8286, English, English,," Washington, D.C.","Dec 14, 2017",The Washington Post,2017,https://search.proquest.com/docview/1976313324?accountid=14496, A.17," Tax rates , Tax credits , Bills , Tax cuts , Low income groups , Corporate taxes , Leadership , Corker, Bob , Johnson, Ron , Lee, Mike , McConnell, Mitch , Alabama , Strange, Luther",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Rubio+is+at+crossroads+if+GOP+goes+through+with+tax+plan&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Stein%2C+Jeff&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Irish eye Republican tax plan - and shrug,1976315902,Newspapers," Pogatchnik, Shawn
Pogatchnik
Shawn
Shawn Pogatchnik , Long, Heather
Long
Heather
Heather Long"," Republican Party
813940 , Facebook Inc
518210
519130"," Copyright WP Company LLC d/b/a The Washington Post Dec 14, 2017"," WPXXWP20171214IrisheyeRepublicantaxplanandshrug8b8124f0 , WPXXWP20171214IrisheyeRepublicantaxplanandshrug8b8124f0 , 7653 , PQ_7653_Dec142017______", News," Dec 14, 2017",0190-8286, English, English,," Washington, D.C.","Dec 14, 2017",The Washington Post,2017,https://search.proquest.com/docview/1976315902?accountid=14496, A.1," Social networks , Tax rates , Foreign investment , Tax avoidance , Tax assessments , Workers , Recruitment , Corporate taxes , Ireland , United States--US , Europe",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Irish+eye+Republican+tax+plan+-+and+shrug&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Pogatchnik%2C+Shawn%3BLong%2C+Heather&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Already, our worst president",1976316488,Newspapers," Will, George F
Will
F
George
George F Will"," Senate
921120 , Supreme Court-US
922110 , Republican Party
813940 , Democratic Party
813940"," Copyright WP Company LLC d/b/a The Washington Post Dec 14, 2017"," WPXXWP20171214Alreadyourworstpresident3c245482 , WPXXWP20171214Alreadyourworstpresident3c245482 , 7653 , PQ_7653_Dec142017______", Editorial," Dec 14, 2017",0190-8286, English, English,," Washington, D.C.","Dec 14, 2017",The Washington Post,2017,https://search.proquest.com/docview/1976316488?accountid=14496, A.21," Congressional committees , Sanders, Sarah Huckabee , Lewis, Harry Sinclair (1885-1951) , Reagan, Ronald Wilson , Alabama , Netherlands , Russia , Bentley, Robert , Putin, Vladimir , Franken, Al",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Already%2C+our+worst+president&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=A.21&amp;au=Will%2C+George+F&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"To pay border wall bill, Trump would trim surveillance costs, freeze pay",1976318353,Newspapers," Miroff, Nick
Miroff
Nick
Nick Miroff",," Copyright WP Company LLC d/b/a The Washington Post Dec 14, 2017"," WPXXWP20171214TopayborderwallbillTrumpwouldtrimsurveil9f111840 , WPXXWP20171214TopayborderwallbillTrumpwouldtrimsurveil9f111840 , 7653 , PQ_7653_Dec142017______", News," Dec 14, 2017",0190-8286, English, English,," Washington, D.C.","Dec 14, 2017",The Washington Post,2017,https://search.proquest.com/docview/1976318353?accountid=14496, A.12," Immigration policy , Law enforcement , National security , Funding , Border security , Closed circuit television , Costs , Surveillance , Border patrol , Congressional committees , Mexico , United States--US , Rio Grande Valley , McCaskill, Claire",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=To+pay+border+wall+bill%2C+Trump+would+trim+surveillance+costs%2C+freeze+pay&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=A.12&amp;au=Miroff%2C+Nick&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Olympics: One Ski Jump; $1; Three Olympians? --- How the Chicago suburbs became a hotbed of American ski jumping,1976338952,Newspapers," Cohen, Ben
Ben
Ben Cohen
Cohen
Ben Cohen",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020171214edce00006 , DWJNJ000000020171214edce00006 , 7510 , PQ_7510_Dec142017______"," Opinions , Commentary"," Dec 14, 2017",0099-9660, English, English, A.16," New York, N.Y.","Dec 14, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1976338952?accountid=14496, A.16," Skiing , Fox River Grove Illinois",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Olympics%3A+One+Ski+Jump%3B+%241%3B+Three+Olympians%3F+---+How+the+Chicago+suburbs+became+a+hotbed+of+American+ski+jumping&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=Cohen%2C+Ben&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Bombing Suspect Hears Charges,1976350776,Newspapers," Ramey, Corinne
Corinne
Corinne Ramey
Ramey
Corinne Ramey",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," DWJNJ000000020171214edce0001h , DWJNJ000000020171214edce0001h , 7510 , PQ_7510_Dec142017______", News," Dec 14, 2017",0099-9660, English, English, n/a," New York, N.Y.","Dec 14, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1976350776?accountid=14496, n/a," Transportation terminals , Bombings , Manhattan New York",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Bombing+Suspect+Hears+Charges&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=&amp;au=Ramey%2C+Corinne&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Courting the King of New York City Politics; U.S. Rep. Joe Crowley, a Queens Democrat, doesn't have national recognition, but very little gets done in the city without his blessing",1976429385,Newspapers," Gay, Mara
Mara
Mara Gay
Gay
Mara Gay"," City Council-New York City NY
921120 , Congress
921120 , Republican Party
813940 , Democratic Party
813940"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20171214000020171214edce003pg , WSJOWSJO20171214000020171214edce003pg , 117310 , PQ_117310_Dec142017______", News," Dec 14, 2017",, English, English, n/a," New York, N.Y.","Dec 14, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1976429385?accountid=14496, n/a," Primaries & caucuses , Families & family life , Councils , Congressional elections , Cities , United States--US , Torres, Ritchie , Washington DC",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Courting+the+King+of+New+York+City+Politics%3B+U.S.+Rep.+Joe+Crowley%2C+a+Queens+Democrat%2C+doesn%27t+have+national+recognition%2C+but+very+little+gets+done+in+the+city+without+his+blessing&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=&amp;au=Gay%2C+Mara&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"The Trump Revolution; Donald Trump promised to upend Washington. He has cut regulations, seated conservative judges and oversaw a tax revamp. But he also alienated GOP leaders, faces multiple investigations and has made the nation more polarized.",1976566929,Newspapers,," Republican Party
813940 , Democratic Party
813940"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20171214000020171214edce004jx , WSJOWSJO20171214000020171214edce004jx , 117310 , PQ_117310_Dec142017______", News," Dec 14, 2017",, English, English, n/a," New York, N.Y.","Dec 14, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1976566929?accountid=14496, n/a," Social networks , Political campaigns , Tax rates , Presidential elections , Tax cuts , Political leadership , Taxes , Political advertising , United States--US , Obama, Barack , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Trump+Revolution%3B+Donald+Trump+promised+to+upend+Washington.+He+has+cut+regulations%2C+seated+conservative+judges+and+oversaw+a+tax+revamp.+But+he+also+alienated+GOP+leaders%2C+faces+multiple+investigations+and+has+made+the+nation+more+polarized.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
Who Owns the Dead Sea Scrolls? A Frankfurt exhibit is canceled as Germany refuses to promise it'll return them to Israel.,1977029805,Newspapers," Allen, Charlotte
Charlotte
Charlotte Allen
Allen
Charlotte Allen"," Israel Museum
712110 , Royal Ontario Museum
712110 , Palestinian National Authority
921190"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20171214000020171214edce007ya , WSJOWSJO20171214000020171214edce007ya , 117310 , PQ_117310_Dec142017______", News," Dec 14, 2017",, English, English, n/a," New York, N.Y.","Dec 14, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1977029805?accountid=14496, n/a," Palestinians , Manuscripts , Museums , Jews , Jordan , West Bank , Middle East , United States--US , Dead Sea , Israel , Germany",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Who+Owns+the+Dead+Sea+Scrolls%3F+A+Frankfurt+exhibit+is+canceled+as+Germany+refuses+to+promise+it%27ll+return+them+to+Israel.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-12-14&amp;volume=&amp;issue=&amp;spage=&amp;au=Allen%2C+Charlotte&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"U.S., Mexico skirt the wall in security talks; The two nations agree to work together to combat trans-border crime and terrorism.",1977001931,Newspapers," Wilkinson, Tracy
Tracy
Tracy Wilkinson
Wilkinson
Tracy Wilkinson",," Copyright Los Angeles Times Dec 15, 2017"," 7683 , PQ_7683_Dec152017 , LATMLATM2017121530128 , LATMLATM2017121530128", News," Dec 15, 2017",0458-3035, English, English, A.4," Los Angeles, Calif.","Dec 15, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1977001931?accountid=14496, A.4," North American Free Trade Agreement , Cooperation , Drug trafficking , Sullivan, John , Mexico , Mattis, James , United States--US , Nielsen, Kirstjen , Canada , Sessions, Jeff , Pence, Mike , Videgaray, Luis , Tillerson, Rex W , Osorio Chong, Miguel Angel"," MEXICO , UNITED STATES , FOREIGN RELATIONS , DRUG TRAFFICKING , SECURITY",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=U.S.%2C+Mexico+skirt+the+wall+in+security+talks%3B+The+two+nations+agree+to+work+together+to+combat+trans-border+crime+and+terrorism.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-12-15&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Wilkinson%2C+Tracy&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
