Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
"Senator Says Trump Open to Comprehensive Immigration Overhaul; White House disputes Sen. Joe Manchin's characterization, saying President opposes 2013 'Gang of Eight' bill backed by most Democrats",,1866405626,Newspapers," Meckler, Laura
Laura
Laura Meckler
Meckler
Laura Meckler; Kristina Peterson , Peterson, Kristina
Kristina
Kristina Peterson
Peterson"," Republican Party
813940 , Congress
921120 , Democratic Party
813940"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170210000020170209ed29009c7 , WSJOWSJO20170210000020170209ed29009c7 , 117310 , PQ_117310_Feb102017", News," Feb 10, 2017",, English, English, n/a," New York, N.Y.","Feb 10, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1866405626?accountid=14496, n/a," Immigration policy , Presidents , Bills , China , Grassley, Charles E , Priebus, Reince , Bennet, Michael , United States--US , Cornyn, John",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Senator+Says+Trump+Open+to+Comprehensive+Immigration+Overhaul%3B+White+House+disputes+Sen.+Joe+Manchin%27s+characterization%2C+saying+President+opposes+2013+%27Gang+of+Eight%27+bill+backed+by+most+Democrats&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=&amp;au=Meckler%2C+Laura%3BPeterson%2C+Kristina&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
U.S. News: Trump Changes Tune on Ex-Im Bank,"  President Donald Trump changed his position on the U.S. Export-Import Bank, saying at a lunch with U.S. senators he backs the revival of an institution GOP leaders worked to close, and he appeared to soften his position on a comprehensive immigration bill, said Democratic senators who met with him and others familiar with the meeting.",1866463137,Newspapers," Meckler, Laura
Meckler
Laura
Laura Meckler , Meckler, Laura
Meckler
Laura
Laura Meckler"," Republican Party
813940 , Export-Import Bank of the United States
522298"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312976541 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a0001n", News," Feb 10, 2017",0099-9660, English, English, A.2," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866463137?accountid=14496, A.2," Export import banks , Immigration policy , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Trump+Changes+Tune+on+Ex-Im+Bank&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.2&amp;au=Meckler%2C+Laura&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
In Defense Of Main Street,"  Beginning in 2005, Ross Douthat and Reihan Salam began championing a ""Sam's Club Conservatism"" that would focus on the needs of working-class voters with policies like expanding child tax credits, cutting payroll taxes for lower-income workers and even providing wage subsidies. The Republican Party has for some years now been the Sam's Club party, in the sense that Republicans have opposed the regulations and union power that push prices up.",1866463177,Newspapers," Glaeser, Edward
Glaeser
Edward
Edward Glaeser , Glaeser, Edward
Glaeser
Edward
Edward Glaeser",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312976491 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a0001i", Book Review," Feb 10, 2017",0099-9660, English, English, A.13," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866463177?accountid=14496, A.13," Books , Smick, David M",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=In+Defense+Of+Main+Street&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Glaeser%2C+Edward&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News: U.S. Watch,  Laura Kusisto --- POSTAL SERVICE Revenue Declined In Latest Quarter The U.S. Postal Service reported a revenue drop for the quarter ended Dec. 31 as a continuing decline in first-class-mail volume and the expiration of a rate increase offset a surge in e-commerce parcels.,1866463925,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous , Anonymous
Anonymous
Anonymous
Anonymous"," National Association of Realtors
813910 , Pew Research Center for the People & the Press
541720"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312976901 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a00022", News," Feb 10, 2017",0099-9660, English, English, A.2," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866463925?accountid=14496, A.2," Immigration , Prices , Aliens , Metropolitan areas , Postal & delivery services , United States--US , Los Angeles California , New York , Yun, Lawrence",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+U.S.+Watch&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.2&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News -- Analysis: Ruling Showcases Checks and Balances,  The three-judge panel at the Ninth U.S. Circuit Court of Appeals in San Francisco also delivered a withering blow to a central pillar of Mr. Trump's political agenda -- national security -- just three weeks into his administration. The three-judge panel at the Ninth U.S. Circuit Court of Appeals in San Francisco also delivered a withering blow to a central pillar of Mr. Trump's political agenda -- national security -- just three weeks into his administration.,1866463987,Newspapers," Bender, Michael C
Bender
C
Michael
Michael C. Bender; Janet Hook; Peter Nicholas , Hook, Janet
Hook
Janet , Nicholas, Peter
Nicholas
Peter , Bender, Michael C
Bender
C
Michael
Michael C. Bender , Hook, Janet
Hook
Janet
Janet Hook , Nicholas, Peter
Nicholas
Peter
Peter Nicholas"," US Court of Appeals-Ninth Circuit
922110"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312978141 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a0002g", Commentary," Feb 10, 2017",0099-9660, English, English, A.1," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866463987?accountid=14496, A.5," Discretionary power , Constitutional law , Federal court decisions , Executive orders , Political power , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News+--+Analysis%3A+Ruling+Showcases+Checks+and+Balances&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Bender%2C+Michael+C%3BHook%2C+Janet%3BNicholas%2C+Peter&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. News: Court Asserts Its Role in Review of President Order,"  While the court seemed to warm to the states' due process claims in its unanimous, 29-page opinion, the three-judge panel made a point of deferring its decision on the ""serious allegations"" of religious discrimination until later in the case. While the court seemed to warm to the states' due process claims in its unanimous, 29-page opinion, the three-judge panel made a point of deferring its decision on the ""serious allegations"" of religious discrimination until later in the case.",1866463997,Newspapers," Palazzolo, Joe
Palazzolo
Joe
Joe Palazzolo , Palazzolo, Joe
Palazzolo
Joe
Joe Palazzolo"," US Court of Appeals-Ninth Circuit
922110"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312978191 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a0002m", News," Feb 10, 2017",0099-9660, English, English, A.5," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866463997?accountid=14496, A.5," Constitutional law , Federal court decisions , National security , Executive orders , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Court+Asserts+Its+Role+in+Review+of+President+Order&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Palazzolo%2C+Joe&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
World-Wide,"  An appeals court panel ruled against Trump's executive order on immigration and refugees, saying such a travel ban shouldn't go into effect while courts consider whether it goes too far in limiting travelers to the U.S. --- Trump, in a phone call with Xi, affirmed the ""One China"" policy that has long served as the underpinning of Sino-U.S. relations. An appeals court panel ruled against Trump's executive order on immigration and refugees, saying such a travel ban shouldn't go into effect while courts consider whether it goes too far in limiting travelers to the U.S. --- Trump, in a phone call with Xi, affirmed the ""One China"" policy that has long served as the underpinning of Sino-U.S. relations.",1866464002,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous , Anonymous
Anonymous
Anonymous
Anonymous"," Republican Party
813940 , Department of Health & Human Services
923120 , Export-Import Bank of the United States
522298"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312978171 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a0002k", News," Feb 10, 2017",0099-9660, English, English, A.1," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866464002?accountid=14496, A.1," Immigration , Travel , Medicaid , Executive orders , Japan , Germany , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World-Wide&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Trump's Wild Start Churns World Politics --- U.S. president an issue in elections in Germany, France, Mexico, Korea","  The same weekend, a rising likely candidate in Mexico's presidential elections next year, leftist leader Andres Manuel Lopez Obrador, is embarking on a tour of half a dozen U.S. cities in an attempt to cement his lead in the polls following a nationalist backlash in his country against Mr. Trump's policy proposals and rhetoric on immigration.",1866464005,Newspapers," Lee, Carol E
Lee
E
Carol
Carol E. Lee; Anton Troianovski; Santiago Perez , Troianovski, Anton
Troianovski
Anton , Perez, Santiago
Perez
Santiago , Lee, Carol E
Lee
E
Carol
Carol E. Lee , Troianovski, Anton
Troianovski
Anton
Anton Troianovski , Perez, Santiago
Perez
Santiago
Santiago Perez",," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312978131 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a0002f", News," Feb 10, 2017",0099-9660, English, English, A.1," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866464005?accountid=14496, A.1," Immigration , Foreign policy , International relations-US , Elections , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Trump%27s+Wild+Start+Churns+World+Politics+---+U.S.+president+an+issue+in+elections+in+Germany%2C+France%2C+Mexico%2C+Korea&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Lee%2C+Carol+E%3BTroianovski%2C+Anton%3BPerez%2C+Santiago&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Court Deals Fresh Blow to Trump --- In unanimous ruling, judges say president's travel ban should remain suspended","  ""The government has not shown that the executive order provides what due process requires, such as notice and a hearing prior to restricting an individual's ability to travel,"" a three-judge panel of the U.S. Court of Appeals for the Ninth Circuit in San Francisco found.",1866464008,Newspapers," Devlin, Barrett
Devlin
Barrett
Devlin Barrett; Brent Kendall , Kendall, Brent
Kendall
Brent , Devlin, Barrett
Devlin
Barrett
Devlin Barrett , Kendall, Brent
Kendall
Brent
Brent Kendall"," US Court of Appeals-Ninth Circuit
922110"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4312978181 , 111053902 , 7510 , WSJ , DWJNJ000000020170210ed2a0002l", News," Feb 10, 2017",0099-9660, English, English, A.1," New York, N.Y.","Feb 10, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1866464008?accountid=14496, A.1," Federal court decisions , Presidents , Travel , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Court+Deals+Fresh+Blow+to+Trump+---+In+unanimous+ruling%2C+judges+say+president%27s+travel+ban+should+remain+suspended&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Devlin%2C+Barrett%3BKendall%2C+Brent&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
9 Republicans ditch Senate chamber,"Denied delay on vote, minority-party members walk out in exasperation Maryland's Republican senators knew they didn't have the votes to block a resolution that would give Attorney General Brian E. Frosh (D) more power to sue the federal government. The growing divide between Democratic and Republican lawmakers was also visible Tuesday on the House side, where Del. Patrick L. McDonough (R-Baltimore County) announced a bill that would allow Marylanders to sue elected officials in state...",1866471911,Newspapers," Wiggins, Ovetta
Ovetta
Ovetta Wiggins
Wiggins
Ovetta Wiggins , Hicks, Josh
Josh
Josh Hicks
Hicks
Josh Hicks"," Congress
921120 , Republican Party
813940 , Democratic Party
813940"," (Copyright The Washington Post Company, Feb 10, 2017)"," WPXXWP201702109RepublicansditchSenatechamber378d0954 , WPXXWP201702109RepublicansditchSenatechamber378d0954 , 7653 , PQ_7653_Feb102017", News," Feb 10, 2017",0190-8286, English, English, B.4," Washington, D.C.","Feb 10, 2017",The Washington Post,2017,https://search.proquest.com/docview/1866471911?accountid=14496, B.4," Immigration policy , Attorneys general , Legislatures , Aliens , Baltimore Maryland , Maryland , Chesapeake Bay", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=9+Republicans+ditch+Senate+chamber&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-02-10&amp;volume=&amp;issue=&amp;spage=B.4&amp;au=Wiggins%2C+Ovetta%3BHicks%2C+Josh&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
