Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
Does Europe Believe in International Law?,Many of President-elect Barack Obama's supporters hope he will scrap the Bush administration's skeptical attitude toward international law and take a more European approach. This is presumably to bring us in line with what these supporters ...,399080343,Newspapers," Goldsmith, Jack
Goldsmith
Jack
Jack Goldsmith , Posner, Eric
Posner
Eric
Eric Posner",," United Nations--UN
928120"," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1601554501 , 41156641 , 7510 , WSJ , WSJJ20081125000057", Commentary," Nov 25, 2008",0099-9660, English, English, A.15," New York, N.Y.","Nov 25, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399080343?accountid=14496,,,, A.15,," Politics , Treaties , International relations , International law , Europe",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Does+Europe+Believe+in+International+Law%3F&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-11-25&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Goldsmith%2C+Jack%3BPosner%2C+Eric&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Appeals Court Hears Uighur Detainees' Case; Justice Lawyer Urges Reversal of 'Unprecedented Order' to Free 17 Chinese Muslims,"The government ""has the authority to hold these men pending resettlement efforts,"" he told the three-judge panel of the U.S. Court of Appeals for the D.C. Circuit, calling Urbina's ruling ""an unprecedented order.""",410301321,Newspapers," Del Quentin Wilber - Washington Post Staff Writer
Del Quentin Wilber - Washington Post Staff Writer",," Guantanamo Bay Naval Base
928110"," Copyright The Washington Post Company Nov 25, 2008"," 1601324601 , 41150911 , 7653 , TWP , WPXX200811250E9ED53C", News," Nov 25, 2008",0190-8286, English, English, A.6," Washington, D.C.","Nov 25, 2008",The Washington Post,2008,https://search.proquest.com/docview/410301321?accountid=14496,,,, A.6,," Federal court decisions , Terrorism , Immigration policy , Minority & ethnic groups , Muslims , United States--US , Garre, Gregory G , Urbina, Ricardo M",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Appeals+Court+Hears+Uighur+Detainees%27+Case%3B+Justice+Lawyer+Urges+Reversal+of+%27Unprecedented+Order%27+to+Free+17+Chinese+Muslims&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-11-25&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Del+Quentin+Wilber+-+Washington+Post+Staff+Writer&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Inside the Times, Nov. 26, 2008",,433969528,Newspapers,, NYTIAO,," Copyright New York Times Company Nov 26, 2008"," 1601898521 , 41164701 , 7818 , NYTIAO , NYT , 295566-20081126", Summary," Nov 26, 2008",0362-4331, English, English, A.2," New York, N.Y.","Nov 26, 2008",New York Times,2008,https://search.proquest.com/docview/433969528?accountid=14496,,,, A.2,," Cancer , Search warrants , Criminal investigations , Biological & chemical terrorism , Arrests",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Inside+the+Times%2C+Nov.+26%2C+2008%3A+%5BSummary%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2008-11-26&amp;volume=&amp;issue=&amp;spage=A.2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Agents Seize Bookmark Said to Belong to Hitler,"""Artifacts of historical significance are not souvenirs for illegal sale to the highest bidder,"" Leigh Winchell, special agent in charge of Immigration and Customs Enforcement's office of investigations in Seattle, said in a statement.",410206814,Newspapers," Valdes, Manuel
Valdes
Manuel
Manuel Valdes",,," Copyright The Washington Post Company Nov 27, 2008"," 1602637781 , 41177751 , 7653 , TWP , WPXX200811270EA1AE8F", News," Nov 27, 2008",0190-8286, English, English, A.23," Washington, D.C.","Nov 27, 2008",The Washington Post,2008,https://search.proquest.com/docview/410206814?accountid=14496,,,, A.23,," Historic artifacts , Criminal investigations , Hitler, Adolf (1889-1945)",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Agents+Seize+Bookmark+Said+to+Belong+to+Hitler&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-11-27&amp;volume=&amp;issue=&amp;spage=A.23&amp;au=Valdes%2C+Manuel&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
MaryAnn Bartholomew Burley L ...,"Joe Holley Gerard ""Jerry"" Connors, 80, a retired contract specialist with the Federal Aviation Administration, died Nov. 22 at Holy Cross Hospital in Silver Spring of arterial fibrillation and acute renal failure. Assigned to the AMO staff in the District, Mr. Kelly represented the union before federal agencies that included the Maritime Administration, the Coast Guard and the Defense Department's Military Sealift Command and Transportation Command.",410207212,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," Copyright The Washington Post Company Nov 27, 2008"," 1602638391 , 41177751 , 7653 , TWP , WPXX200811270EA1AEB2", News," Nov 27, 2008",0190-8286, English, English, B.6," Washington, D.C.","Nov 27, 2008",The Washington Post,2008,https://search.proquest.com/docview/410207212?accountid=14496,,,, B.6,," Teachers , Catholic churches , Schools",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=MaryAnn+Bartholomew+Burley+L+...&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-11-27&amp;volume=&amp;issue=&amp;spage=B.6&amp;au=Anonymous&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Montgomery Community Events Nov. 27-Dec. 4, 2008","YOUTH ARTS PROGRAM, last chance for Washington area high school students to submit applications for a free, 10-week intensive arts learning program; create a body of artwork for college application portfolios; significant out-of-class work on projects is expected. TALKING BOOK CLUB, for people with low vision, a librarian leads a discussion of Sara Gruen's novel ""Water for Elephants,"" the story of a man who joins a second-rate circus during the Depression; call to request a ""talking book"" or large-print format. 11 a.m.-12:30 p.m., last Friday each month, Rockville Library, Readers' Cafe, 21 Maryland Ave., Rockville.",410252792,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," Copyright The Washington Post Company Nov 27, 2008"," 1602643361 , 41177751 , 7653 , TWP , WPXX200811270EA1AF3A", News," Nov 27, 2008",0190-8286, English, English, T.27," Washington, D.C.","Nov 27, 2008",The Washington Post,2008,https://search.proquest.com/docview/410252792?accountid=14496,,,, T.27,," Opera , Secondary school students , Musical performances , Children & youth , Books , Adults",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Montgomery+Community+Events+Nov.+27-Dec.+4%2C+2008&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-11-27&amp;volume=&amp;issue=&amp;spage=T.27&amp;au=Anonymous&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
ICE Will Screen Immigrants at Jail; County Gets Video Conferencing System,"The Fairfax County Sheriff's Office has been rejected for training and authorization to process illegal immigrants into the federal immigration system, but a better option has emerged, Sheriff Stan G. Barry said.",410267229,Newspapers," Jackman, Tom
Jackman
Tom
Tom Jackman , Sondhya Somashekhar - Washington Post Staff Writers
Sondhya Somashekhar - Washington Post Staff Writers",,," Copyright The Washington Post Company Nov 27, 2008"," 1602642941 , 41177751 , 7653 , TWP , WPXX200811270EA1AF19", News," Nov 27, 2008",0190-8286, English, English, FE.5," Washington, D.C.","Nov 27, 2008",The Washington Post,2008,https://search.proquest.com/docview/410267229?accountid=14496,,,, T.5,," Aliens , Teleconferencing , Criminal investigations , Immigration policy , Prisons , Virginia",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=ICE+Will+Screen+Immigrants+at+Jail%3B+County+Gets+Video+Conferencing+System&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-11-27&amp;volume=&amp;issue=&amp;spage=T.5&amp;au=Jackman%2C+Tom%3BSondhya+Somashekhar+-+Washington+Post+Staff+Writers&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Suspect Said He Planned to Rob Couple, Court Told; Man Charged in NW Slayings Stated He Torched Car, According to Documents","The man accused of killing a Northwest Washington couple last weekend has told investigators that he went to their home to rob them, tied one of the victims with a telephone cord and stole computer equipment from their house, according to a criminal complaint filed yesterday in D.C. Superior Court. Hernandez, a diminutive but stocky man with dark hair, a thin mustache and chin beard, said little as he stood in court yesterday wearing a white prison jumpsuit, gray booties and leg shackles.",410284709,Newspapers," Michael E Ruane - Washington Post Staff Writer
Michael E Ruane - Washington Post Staff Writer",,," Copyright The Washington Post Company Nov 27, 2008"," 1602637441 , 41177751 , 7653 , TWP , WPXX200811270EA1AE60", News," Nov 27, 2008",0190-8286, English, English, B.1," Washington, D.C.","Nov 27, 2008",The Washington Post,2008,https://search.proquest.com/docview/410284709?accountid=14496,,,, B.1,," Police , Criminal investigations , Accomplices , Murders & murder attempts , Washington DC , Hernandez, Peiro Fuentes",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Suspect+Said+He+Planned+to+Rob+Couple%2C+Court+Told%3B+Man+Charged+in+NW+Slayings+Stated+He+Torched+Car%2C+According+to+Documents&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-11-27&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Michael+E+Ruane+-+Washington+Post+Staff+Writer&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S. Africans in the spotlight,"Immigrants from Africa, who claim the son of a Harvard-educated Kenyan father and a white American mother as one of their own, are starting to draw attention, both for their strong presence at elite colleges -- where 13 percent of black students are first- or second-generation African immigrants -- and for the rise of high-profile individuals.",420775017,Newspapers," Schoenberg, Nara
Schoenberg
Nara
Nara Schoenberg",,, (Copyright 2008 by the Chicago Tribune)," 1602646261 , 41177841 , 7684 , CTRB , TRIB200811260717", News," Nov 27, 2008",1085-6706, English, English, 1.4," Chicago, Ill.","Nov 27, 2008",Chicago Tribune,2008,https://search.proquest.com/docview/420775017?accountid=14496,,,, 4,," Black students , Talk show hosts , Immigration , African Americans , United States--US , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=U.S.+Africans+in+the+spotlight%3A+Black+immigrants+feel+connection+to+President-elect+Obama%27s+story&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2008-11-27&amp;volume=&amp;issue=&amp;spage=4&amp;au=Schoenberg%2C+Nara&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
MEXICO UNDER SIEGE; War on drugs called a failure; A think tank's report urges the U.S. to focus on prevention and treatment in addition to targeting traffickers.,"The report urges the U.S. to take responsibility for stemming the transport of an estimated 2,000 guns a day across the border; to expand drug prevention programs in schools and redirect anti-drug messages to younger people by emphasizing cosmetic damage as well as health risks; and to greatly enhance drug courts, a system that incorporates treatment into prosecution.",422189132,Newspapers," Wilkinson, Tracy
Wilkinson
Tracy
Tracy Wilkinson",,, (Copyright (c) 2008 Los Angeles Times)," 1602581051 , 41175861 , 7683 , ANGE , LATM080056242", News," Nov 27, 2008",0458-3035, English, English, A.5," Los Angeles, Calif.","Nov 27, 2008",Los Angeles Times,2008,https://search.proquest.com/docview/422189132?accountid=14496,,,, A.5,," Drug prevention , Drug policy , Methamphetamines , Drug trafficking , United States--US , Mexico",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=MEXICO+UNDER+SIEGE%3B+War+on+drugs+called+a+failure%3B+A+think+tank%27s+report+urges+the+U.S.+to+focus+on+prevention+and+treatment+in+addition+to+targeting+traffickers.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2008-11-27&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Wilkinson%2C+Tracy&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
