Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
U.S. Team Is Hearing Cheers From the Stands and the States,"The rowdy crowds that lined the streets did not pelt the bus with balloons filled with goat urine or bombard the team with slurs and deafening music, as they sometimes do when the Americans play a World Cup qualifier in Central America. According to FIFA, more World Cup tickets were sold in the United States than in any country other than South Africa.",520576555,Newspapers," Marcus, Jeffrey
Marcus
Jeffrey
Jeffrey Marcus", NYTIAO," US National Soccer Team
713990"," Copyright New York Times Company Jun 26, 2010"," 2066827171 , 52984451 , 7818 , NYTIAO , NYT , 294098-20100626", Feature," Jun 26, 2010",0362-4331, English, English, D.1," New York, N.Y.","Jun 26, 2010",New York Times,2010,https://search.proquest.com/docview/520576555?accountid=14496,,,, D.1,," Tournaments & championships , Soccer , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=U.S.+Team+Is+Hearing+Cheers+From+the+Stands+and+the+States%3A+%5BSports+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2010-06-26&amp;volume=&amp;issue=&amp;spage=D.1&amp;au=Marcus%2C+Jeffrey&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
World Cup: Six American Players You Should Know,Mr. Onyewu doesn't appear to have recovered from a torn patellar tendon suffered in the final World Cup qualifier.,520731020,Newspapers," Futterman, Matthew
Futterman
Matthew
Matthew Futterman",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2066854591 , 52984831 , 7510 , WSJ , DWJNJ000000020100626e66q0001n", Feature," Jun 26, 2010",0099-9660, English, English, W.4," New York, N.Y.","Jun 26, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/520731020?accountid=14496,,,, W.4,," Coaches & managers , Athletes , Tournaments & championships , Soccer , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+Cup%3A+Six+American+Players+You+Should+Know&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-06-26&amp;volume=&amp;issue=&amp;spage=W.4&amp;au=Futterman%2C+Matthew&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"2 suspects in killing, 2 different accounts; Teens' interviews with police probing worker's death revealed in court","Douglas acknowledged taking part in the attack on Sanchez, an attempted robbery gone bad, and told police that Hale was also involved, Arrington testified.",520746587,Newspapers," Duggan, Paul
Duggan
Paul
Paul Duggan",,," Copyright The Washington Post Company Jun 26, 2010"," 2066861491 , 52984911 , 7653 , TWP , WPXX201006261338B91F", News," Jun 26, 2010",0190-8286, English, English, B.1," Washington, D.C.","Jun 26, 2010",The Washington Post,2010,https://search.proquest.com/docview/520746587?accountid=14496,,,, B.1,," Robbery , Trials , Criminal investigations , Murders & murder attempts , Washington DC",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=2+suspects+in+killing%2C+2+different+accounts%3B+Teens%27+interviews+with+police+probing+worker%27s+death+revealed+in+court&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2010-06-26&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Duggan%2C+Paul&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Deafening silence on Haiti; With the stroke of a pen, Mr. Obama could strengthen a lifeline.","With no dissent, the mayors called on President Obama and Homeland Security Secretary Janet Napolitano to ""promptly"" grant entry to 55,000 Haitian visa candidates with relatives in the United States, a measure that would result in tens or hundreds of millions of dollars in annual cash transfers flowing into Haiti's gasping economy. [...] what was the response from the administration, which has pledged to do all it can to alleviate the humanitarian suffering that befell Haiti in January's earthquake?",520756295,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," Copyright The Washington Post Company Jun 26, 2010"," 2066861561 , 52984911 , 7653 , TWP , WPXX201006261338B933", Editorial," Jun 26, 2010",0190-8286, English, English, A.14," Washington, D.C.","Jun 26, 2010",The Washington Post,2010,https://search.proquest.com/docview/520756295?accountid=14496,,,, A.14,," Aliens , Immigration policy , Earthquakes , National security , Editorials -- Immigration policy , United States--US , Haiti , Obama, Barack",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Deafening+silence+on+Haiti%3B+With+the+stroke+of+a+pen%2C+Mr.+Obama+could+strengthen+a+lifeline.&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2010-06-26&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Anonymous&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"In Little Ghana, a Big Celebration","Mr. Garbrah-Arthur watched the game from Papaye, a modest-sized Ghanaian restaurant at the corner sporting lace curtains, bright turquoise and black tables, and pale, striped wallpaper rising to a line of trimming patterned with palm trees. With the sound turned down on the TV, the crowd provided its own commentary, firing a stream of advice, opinions, arguments, and unvarnished and unprintable heckling, punctured by good-natured claps for stellar plays by either team and occasional bursts of song.",521198713,Newspapers,,,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2067201411 , 52983501 , 117310 , WSJO , WSJOWSJO0DB1A952D4EC9A9AC956216752015584SB10001424052748703485304575331442810660542", News," Jun 26, 2010",, English, English, n/a," New York, N.Y.","Jun 26, 2010",Wall Street Journal (Online),2010,https://search.proquest.com/docview/521198713?accountid=14496,,,, n/a,," Soccer , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=In+Little+Ghana%2C+a+Big+Celebration&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2010-06-26&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
LETTERS; What's behind the state's budget gap,,521216332,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,, (Copyright (c) 2010 Los Angeles Times)," 2067311071 , 52984571 , 7683 , ANGE , LATM100024407", News," Jun 27, 2010",0458-3035, English, English, A.31," Los Angeles, Calif.","Jun 27, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/521216332?accountid=14496,,,, A.31,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=LETTERS%3B+What%27s+behind+the+state%27s+budget+gap&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.31&amp;au=Anonymous&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
FEEDBACK,"Winmid From: latimes.com :: So 3.4 million U.S. viewers from this new ""middle class"" chose to watch fictionalized kids on ""Kate Plus 8"" instead of spending quality time with their own kids. True, the special effects were on the cheesy, low-budget side, but for a writing-directing debut, the film was an inventive take on the push-pull issues of immigration, an out-of-control military-industrial complex and environmental brinkmanship.",521226164,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,, (Copyright (c) 2010 Los Angeles Times)," 2067311851 , 52984571 , 7683 , ANGE , LATM100024436", General Information," Jun 27, 2010",0458-3035, English, English, D.2," Los Angeles, Calif.","Jun 27, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/521226164?accountid=14496,,,, D.2,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=FEEDBACK&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=D.2&amp;au=Anonymous&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
THE REGION; Book fair draws thousands; The Leimert Park Village event features works of 150 African American writers.,"American Dreams and Racial Realities, Paul Robinson, director of the Medical Geographic Information Systems Laboratory at Charles R. Drew University of Medicine and Science, presented a history of Los Angeles from its founding in 1781 by Spaniards of mostly African descent to the first decade of the 2000s, a time when the cultural fabric of American-born blacks is being challenged by new immigrants from the Caribbean and Africa.",521226621,Newspapers," Sahagun, Louis
Sahagun
Louis
Louis Sahagun",,, (Copyright (c) 2010 Los Angeles Times)," 2067311241 , 52984571 , 7683 , ANGE , LATM100024508", Feature," Jun 27, 2010",0458-3035, English, English, A.37," Los Angeles, Calif.","Jun 27, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/521226621?accountid=14496,,,, A.37,," Nonfiction , Books , Fairs & exhibitions , Los Angeles California",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=THE+REGION%3B+Book+fair+draws+thousands%3B+The+Leimert+Park+Village+event+features+works+of+150+African+American+writers.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.37&amp;au=Sahagun%2C+Louis&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Violence in Mexico Deters U.S. Universities,"From perfecting their use of the subjunctive in colonial Puebla to exploring the anthropological aspects of Tijuana's gritty underside, American college students have long used Mexico as a learning lab. The Mexican Solidarity Network, a Chicago nonprofit group that holds study-abroad programs in Mexico, recently canceled its Ciudad Juarez summer program, which was to begin this month, not for fear of bloodshed but because of a lack of interest.\n",521230924,Newspapers," Lacey, Marc
Lacey
Marc
Marc Lacey", NYTIAO,," Copyright New York Times Company Jun 27, 2010"," 2067346361 , 52993381 , 7818 , NYTIAO , NYT , 336726-20100627", News," Jun 27, 2010",0362-4331, English, English, A.4," New York, N.Y.","Jun 27, 2010",New York Times,2010,https://search.proquest.com/docview/521230924?accountid=14496,,,, A.4,," College students , College campuses , Americans abroad , Colleges & universities , Study abroad , Violence , Ciudad Juarez Mexico , United States--US , Mexico",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Violence+in+Mexico+Deters+U.S.+Universities%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Lacey%2C+Marc&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
U.S.-raised students fear deportation risk,Even though the president supports the Dream Act -- which would provide a path to legalization for illegal immigrants brought here as children who enroll either in college or the military -- his enforcement bureaucracy continues to pursue deportation cases against the increasing number of students who would be protected by it.,521235423,Newspapers," Dilanian, Ken
Dilanian
Ken
Ken Dilanian , Gorman, Anna
Gorman
Anna
Anna Gorman",,, (Copyright 2010 by the Chicago Tribune)," 2067397971 , 52999941 , 7684 , CTRB , TRIB201006260322", News," Jun 27, 2010",1085-6706, English, English, 1.10," Chicago, Ill.","Jun 27, 2010",Chicago Tribune,2010,https://search.proquest.com/docview/521235423?accountid=14496,,,, 10,," Aliens , Deportation , Immigration policy , Foreign students , United States--US",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=U.S.-raised+students+fear+deportation+risk%3A+Illegal+immigrants+stuck+in+limbo&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2010-06-27&amp;volume=&amp;issue=&amp;spage=10&amp;au=Dilanian%2C+Ken%3BGorman%2C+Anna&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
