Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
The Morning Brief: Product-Safety Bill Emerges in Congress,,399043338,Newspapers," Schuman, Joseph
Schuman
Joseph
Joseph Schuman",,," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1521068481 , 39874531 , 7510 , WSJ , WSJJ20080729000237", News," Jul 29, 2008",0099-9660, English, English, 0," New York, N.Y.","Jul 29, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399043338?accountid=14496,,,, n/a,,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Morning+Brief%3A+Product-Safety+Bill+Emerges+in+Congress%3A+Online+edition&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=&amp;au=Schuman%2C+Joseph&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"U.S. News: Former Justice Officials Showed Illegal Bias in Hires, Probe Finds",An internal Justice Department investigation concluded that former senior department officials violated federal law with a pattern of political and ideological bias in hiring at the nation's top law-enforcement agency.,399095208,Newspapers," Perez, Evan
Perez
Evan
Evan Perez",," Department of Justice
922130"," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1519306901 , 39874531 , 7510 , WSJ , WSJJ20080729000106", News," Jul 29, 2008",0099-9660, English, English, A.3," New York, N.Y.","Jul 29, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399095208?accountid=14496,,,, A.3,," Bias , Ideology , Hiring , Investigations , United States--US , Sampson, Kyle , Goodling, Monica M",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Former+Justice+Officials+Showed+Illegal+Bias+in+Hires%2C+Probe+Finds&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Perez%2C+Evan&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
World-Wide,An internal investigation concluded that former senior department officials relied on a pattern of political and ideological bias in hiring.,399095438,Newspapers,,,," (c) 2008 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 1519307051 , 39874531 , 7510 , WSJ , WSJJ20080729000144", News," Jul 29, 2008",0099-9660, English, English, A.1," New York, N.Y.","Jul 29, 2008",Wall Street Journal,2008,https://search.proquest.com/docview/399095438?accountid=14496,,,, A.1,," Terrorism , Presidential elections , Offshore drilling , Government contracts , Criminal investigations",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World-Wide&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Swarming to Arrest Honey Importers,"Customs' agents tested nine samples of honey whose shipping documents indicated that they were produced in and shipped through Russia, which isn't subject to anti-dumping duties.",410258536,Newspapers," Skrzycki, Cindy
Skrzycki
Cindy
Cindy Skrzycki",,," Copyright The Washington Post Company Jul 29, 2008"," 1519300071 , 39874461 , 7653 , TWP , WPXX200807290DFBB703", Commentary," Jul 29, 2008",0190-8286, English, English, D.1," Washington, D.C.","Jul 29, 2008",The Washington Post,2008,https://search.proquest.com/docview/410258536?accountid=14496,,,, D.1,," Shipping industry , Government documents , US imports , Honey , Anti dumping tariffs , United States--US , China",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Swarming+to+Arrest+Honey+Importers&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=D.1&amp;au=Skrzycki%2C+Cindy&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Looking to Beijing, With Pride; Chinese Americans Find Cultural Connection in Games","Months before the games, teachers in some of the dozens of Chinese-language weekend classes for children of the Washington area's more than 46,000 Chinese immigrants were already using Olympic-themed readings or reward stickers to capture students' attention.",410269208,Newspapers," NC Aizenman - Washington Post Staff Writer
NC Aizenman - Washington Post Staff Writer",,," Copyright The Washington Post Company Jul 29, 2008"," 1519299291 , 39874461 , 7653 , TWP , WPXX200807290DFBB61E", News," Jul 29, 2008",0190-8286, English, English, B.1," Washington, D.C.","Jul 29, 2008",The Washington Post,2008,https://search.proquest.com/docview/410269208?accountid=14496,,,, B.1,," Immigration , Asian Americans , Olympic games-2008 , Beijing China",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Looking+to+Beijing%2C+With+Pride%3B+Chinese+Americans+Find+Cultural+Connection+in+Games&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=NC+Aizenman+-+Washington+Post+Staff+Writer&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Another Blow To Justice,"Last month, we learned that political functionaries deputized by Attorneys General John Ashcroft and Alberto Gonzales had screened the best and the brightest coming out of law schools, judicial clerkships and other positions to weed out those who appeared to be Democrats or who might hold liberal ideas; favor was shown to Republicans, members of the Federalist Society, and those considered to be good and loyal conservatives. Even more appalling, others, including a counsel to Attorney General Gonzales, illegally selected individual line prosecutors -- who wield tremendous power over the reputations, liberty and livelihood of Americans -- using Internet searches on such keywords as ""Bush, Gore, Republican, Democrat, Clinton, spotted owl, abortion, gay, gun, and Florida recount"" to assess their political and policy views.",410271303,Newspapers," Gorelick, Jamie
Gorelick
Jamie
Jamie Gorelick",," Department of Justice
922130"," Copyright The Washington Post Company Jul 29, 2008"," 1519300041 , 39874461 , 7653 , TWP , WPXX200807290DFBB6F5", Commentary," Jul 29, 2008",0190-8286, English, English, A.17," Washington, D.C.","Jul 29, 2008",The Washington Post,2008,https://search.proquest.com/docview/410271303?accountid=14496,,,, A.17,," Attorneys general , Hiring , Bias",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Another+Blow+To+Justice&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Gorelick%2C+Jamie&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
VIRGINIA BRIEFING,"A group of parents whose children were reassigned to new attendance zones said, among other issues, that the School Board acted outside its legal authority by using such criteria as socioeconomic characteristics in its decision.",410274184,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," Copyright The Washington Post Company Jul 29, 2008"," 1519300191 , 39874461 , 7653 , TWP , WPXX200807290DFBB721", News," Jul 29, 2008",0190-8286, English, English, B.4," Washington, D.C.","Jul 29, 2008",The Washington Post,2008,https://search.proquest.com/docview/410274184?accountid=14496,,,, B.4,," Fires , Passengers , Judges & magistrates , Fire stations , Criminal investigations",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=VIRGINIA+BRIEFING&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=B.4&amp;au=Anonymous&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Internal Justice Dept. Report Cites Illegal Hiring Practices,"For nearly two years, a young political aide sought to cultivate a ""farm system"" for Republicans at the Justice Department, hiring scores of prosecutors and immigration judges who espoused conservative priorities and Christian lifestyle choices.",410281895,Newspapers," Carrie Johnson - Washington Post Staff Writer
Carrie Johnson - Washington Post Staff Writer",," Department of Justice
922130"," Copyright The Washington Post Company Jul 29, 2008"," 1519299751 , 39874461 , 7653 , TWP , WPXX200807290DFBB687", News," Jul 29, 2008",0190-8286, English, English, A.1," Washington, D.C.","Jul 29, 2008",The Washington Post,2008,https://search.proquest.com/docview/410281895?accountid=14496,,,, A.1,," Civil service , Professional misconduct , Bills , Investigations , Hiring , Bias , Goodling, Monica M",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Internal+Justice+Dept.+Report+Cites+Illegal+Hiring+Practices&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Carrie+Johnson+-+Washington+Post+Staff+Writer&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Justice audit finds politics affected jobs,"Top aides to former Atty. Gen. Alberto Gonzales employed a political and ideological litmus test to weed out candidates for career and other positions at the Justice Department, an internal report concluded Monday.",420728294,Newspapers," Schmitt, Richard B
Schmitt
B
Richard
Richard B Schmitt",," Gonzales
711130", (Copyright 2008 by the Chicago Tribune)," 1519314521 , 39874611 , 7684 , CTRB , TRIB200807290057", News," Jul 29, 2008",1085-6706, English, English, 3," Chicago, Ill.","Jul 29, 2008",Chicago Tribune,2008,https://search.proquest.com/docview/420728294?accountid=14496,,,, 3,, Professional responsibilities,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Achicagotribune&amp;atitle=Justice+audit+finds+politics+affected+jobs%3A+Gonzales+tried+to+halt+improper+practices&amp;title=Chicago+Tribune&amp;issn=10856706&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=3&amp;au=Schmitt%2C+Richard+B&amp;isbn=&amp;jtitle=Chicago+Tribune&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The Nation; Sex bias seen at Justice Dept.; An internal report says alleged homosexuality was used as a litmus test in hiring and firing.,"A former public affairs officer who became the Justice Department's liaison with the White House, Goodling testified under a grant of immunity before the House Judiciary Committee that she had ""crossed a line"" and allowed political and other impermissible factors to affect her hiring decisions. The latest disclosures include a finding that Goodling rejected the application of a career terrorism prosecutor for a job at Justice Department headquarters because his wife was active in local Democratic politics.",422177461,Newspapers," Schmitt, Richard B
Schmitt
B
Richard
Richard B. Schmitt",," Department of Justice
922130", (Copyright (c) 2008 Los Angeles Times)," 1519239351 , 39872741 , 7683 , ANGE , LATM080037015", News," Jul 29, 2008",0458-3035, English, English, A.1," Los Angeles, Calif.","Jul 29, 2008",Los Angeles Times,2008,https://search.proquest.com/docview/422177461?accountid=14496,,,, A.1,," Appointments & personnel changes , Gays & lesbians , Sexual orientation discrimination , United States--US , Gonzales, Alberto R",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=The+Nation%3B+Sex+bias+seen+at+Justice+Dept.%3B+An+internal+report+says+alleged+homosexuality+was+used+as+a+litmus+test+in+hiring+and+firing.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2008-07-29&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Schmitt%2C+Richard+B&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
