Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
"Back in Class, the Theme Is: We Will Succeed With Less","The state won nearly $700 million in the federal Race to the Top competition, and education leaders believe the money will lay the groundwork for an era of improved schooling by paying for better data systems to track student progress, more rigorous evaluations of teachers and new methods to train them. First try, 17 seconds. [...] try, 11 seconds.",749963553,Newspapers," SHARON OTTERMAN and JENNIFER MEDINA
SHARON OTTERMAN and JENNIFER MEDINA", NYTIAO," Department of Education-New York City NY
923110"," Copyright New York Times Company Sep 9, 2010"," 2133634741 , 54282721 , 7818 , NYTIAO , NYT , 942430-20100909", News," Sep 9, 2010",0362-4331, English, English, A.22," New York, N.Y.","Sep 9, 2010",New York Times,2010,https://search.proquest.com/docview/749963553?accountid=14496,,,, A.22,," Students , Standardized tests , School finance , Academic achievement , New York City New York",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Back+in+Class%2C+the+Theme+Is%3A+We+Will+Succeed+With+Less%3A+%5BMetropolitan+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2010-09-09&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=SHARON+OTTERMAN+and+JENNIFER+MEDINA&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Study Questions Impact of Amendment,"A repeal of the Fourteenth Amendment, which guarantees citizenship to anyone born in the United States, would cause big increases in the population of illegal immigrants in the country, said a report published Wednesday by the Migration Policy Institute, a nonpartisan research group.",749965102,Newspapers," Preston, Julia
Julia
Julia Preston
Preston
Julia Preston", NYTIAO," Migration Policy Institute
813940"," Copyright New York Times Company Sep 9, 2010"," 2133634681 , 54282721 , 7818 , NYTIAO , NYT , 940186-20100909", Brief," Sep 9, 2010",0362-4331, English, English, A.16," New York, N.Y.","Sep 9, 2010",New York Times,2010,https://search.proquest.com/docview/749965102?accountid=14496,,,, A.16,," Aliens , Citizenship , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Study+Questions+Impact+of+Amendment%3A+%5BBrief%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2010-09-09&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=Preston%2C+Julia&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
"NANTERRE JOURNAL; France's Palate Acquires a Taste for Halal Food, to the Delight of Its Muslims","Hal'Shop has 1,600 products, including traditional French dishes like boeuf carottes and cervelas de volaille; cans of foie gras; and bottles of Night Orient, an alcohol-free champagne made from grape pressings. ""[...] the halal market was reserved to workers over 55,"" said the supermarket's owner, Rachid Bakhalq.",749965222,Newspapers," MAIA de la BAUME
MAIA de la BAUME", NYTIAO,," Copyright New York Times Company Sep 9, 2010"," 2133633621 , 54282721 , 7818 , NYTIAO , NYT , 915726-20100909", News," Sep 9, 2010",0362-4331, English, English, A.10," New York, N.Y.","Sep 9, 2010",New York Times,2010,https://search.proquest.com/docview/749965222?accountid=14496,,,, A.10,," Muslims , Natural & organic foods , Ethnic foods , Halal food , Social conditions & trends -- France , France",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=NANTERRE+JOURNAL%3B+France%27s+Palate+Acquires+a+Taste+for+Halal+Food%2C+to+the+Delight+of+Its+Muslims%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2010-09-09&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=MAIA+de+la+BAUME&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
U.S. News: Birthright Repeal Likely to Increase Illegal Population,"Jon Feere, legal policy analyst at the Center for Immigration Studies, a right-leaning research group that favors more restrictive immigration policies, agreed that ""ending automatic birthright citizenship would not automatically end all illegal immigration.""",749967719,Newspapers," Jordan, Miriam
Miriam
Miriam Jordan
Jordan
Miriam Jordan",," Migration Policy Institute
813940"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2133668551 , 54283171 , 7510 , WSJ , DWJNJ000000020100909e6990002l", News," Sep 9, 2010",0099-9660, English, English, A.7," New York, N.Y.","Sep 9, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/749967719?accountid=14496," 9190 United States , 4300 Law , 1200 Social policy"," 9190 United States , 4300 Law , 1200 Social policy"," 9190 United States , 4300 Law , 1200 Social policy", A.7," 9190 United States , 4300 Law , 1200 Social policy"," Aliens , Studies , Demography , Constitutional amendments , Immigration policy , Citizenship , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Birthright+Repeal+Likely+to+Increase+Illegal+Population&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-09-09&amp;volume=&amp;issue=&amp;spage=A.7&amp;au=Jordan%2C+Miriam&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
World-Wide,A federal appeals court dismissed a lawsuit against a Boeing unit that allegedly helped the CIA move terror suspects overseas as part of its rendition program. ---,749970940,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2133692551 , 54283171 , 7510 , WSJ , DWJNJ000000020100909e6990003t", News," Sep 9, 2010",0099-9660, English, English, A.1," New York, N.Y.","Sep 9, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/749970940?accountid=14496,,,, A.1,," Offshore drilling , Massacres , Health care policy , United States--US , United Kingdom--UK",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World-Wide&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-09-09&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
From Zombie Banks to Zombie Mortgages? Japan misallocated capital during its lost decade. How the U.S. can avoid its mistakes.,"Supply depends on three things: population, the source of labor; capital, the source of investment; and ideas, the means by which capital and labor are recombined to make new or better products. Because of a low birth rate, an aging population and virtually nonexistent immigration, Japan's working-age population has shrunk 0.4% per year since 1994; America's has grown 1.2%.",750085060,Newspapers,,,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2134359231 , 54280011 , 117310 , WSJO , WSJOWSJOCD3C925332CEA63F1A7F9D9B77E72BA9SB10001424052748704358904575478072373684644", News," Sep 9, 2010",, English, English, n/a," New York, N.Y.","Sep 9, 2010",Wall Street Journal (Online),2010,https://search.proquest.com/docview/750085060?accountid=14496,,,, n/a,," Recessions , Banks , Studies , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=From+Zombie+Banks+to+Zombie+Mortgages%3F+Japan+misallocated+capital+during+its+lost+decade.+How+the+U.S.+can+avoid+its+mistakes.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2010-09-09&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Federal probe looks at fees in Bell; U.S. will investigate whether excessive towing and other levies violated civil rights of residents.,"The U.S. Justice Department has launched an investigation into possible civil rights violations in Bell, focusing in part on allegations that the city improperly used towing fees and other city fines to generate revenues.",750097581,Newspapers," Winton, Richard
Richard
Richard Winton
Winton
Richard Winton , Esquivel, Paloma
Paloma
Paloma Esquivel
Esquivel
Paloma Esquivel , Vives, Ruben
Ruben
Ruben Vives
Vives
Ruben Vives",," Department of Justice
922130", (Copyright (c) 2010 Los Angeles Times)," 2134485911 , 54298091 , 7683 , ANGE , LATM100033788", News," Sep 10, 2010",0458-3035, English, English, A.1," Los Angeles, Calif.","Sep 10, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/750097581?accountid=14496,,,, A.1,," Violations , Investigations , Fees & charges , Civil rights , Public finance -- Bell California , Bell California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Federal+probe+looks+at+fees+in+Bell%3B+U.S.+will+investigate+whether+excessive+towing+and+other+levies+violated+civil+rights+of+residents.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-09-10&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Winton%2C+Richard%3BEsquivel%2C+Paloma%3BVives%2C+Ruben&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
German banking official to resign; Comments about Jews and Muslims led to calls for his dismissal from the central bank.,"A member of Germany's central bank who made disparaging remarks about Muslims and Jews in a disputed book has agreed to quit his position on the board, the Bundesbank said in a statement Thursday.",750097868,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,, (Copyright (c) 2010 Los Angeles Times)," 2134485991 , 54298091 , 7683 , ANGE , LATM100033780", News," Sep 10, 2010",0458-3035, English, English, A.6," Los Angeles, Calif.","Sep 10, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/750097868?accountid=14496,,,, A.6,, Central banks,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=German+banking+official+to+resign%3B+Comments+about+Jews+and+Muslims+led+to+calls+for+his+dismissal+from+the+central+bank.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-09-10&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Anonymous&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
"Muslim mayor sticks to the basics; In Jersey, Mohammed Hameeduddin focuses on the economy, not religion.","[...] Hameeduddin, in office since July, is no doubt the only Muslim mayor who on a recent Sunday could be found in a bagel shop crowded with Jewish constituents chatting about Islam and the Teaneck mosque's expansion, as touchy a topic as anyone -- much less a politician in a New York City suburb -- could tackle nowadays. [...] Teaneck might as well be across the world, not across the Hudson River, from Manhattan, where plans for an Islamic center near the World Trade Center site have fueled national debate and set the stage for a tense day Saturday as New Yorkers mark the ninth anniversary of the terrorist attacks.",750098289,Newspapers," Susman, Tina
Tina
Tina Susman
Susman
Tina Susman",,, (Copyright (c) 2010 Los Angeles Times)," 2134486171 , 54298091 , 7683 , ANGE , LATM100033767", News," Sep 10, 2010",0458-3035, English, English, A.14," Los Angeles, Calif.","Sep 10, 2010",Los Angeles Times,2010,https://search.proquest.com/docview/750098289?accountid=14496,,,, A.14,," Muslim Americans , Mayors , Teaneck New Jersey , Hameeduddin, Mohammed",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Muslim+mayor+sticks+to+the+basics%3B+In+Jersey%2C+Mohammed+Hameeduddin+focuses+on+the+economy%2C+not+religion.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2010-09-10&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Susman%2C+Tina&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
"Race for Richmond Mayor Focuses on Jobs, Casino and Class","[...] with the city's unemployment rate near 20 percent, Mr. Bates is seen as a formidable candidate to unseat Ms. McLaughlin, whose environmental activism is suddenly viewed as a potential liability during hard economic times. The city is essentially divided between outlying neighborhoods like Richmond Annex and Point Richmond -- home to a mostly white population, including many recent transplants seeking relief from the Bay Area's dizzying real estate prices -- and blacks and Hispanics spread across a gritty urban grid where most of the crime occurs.",750102031,Newspapers," Shih, Gerry
Gerry
Gerry Shih
Shih
Gerry Shih", NYTIAO,," Copyright New York Times Company Sep 10, 2010"," 2134525421 , 54298521 , 7818 , NYTIAO , NYT , 997048-20100910", NEWSPAPER," Sep 10, 2010",0362-4331, English, English, A.21A," New York, N.Y.","Sep 10, 2010",New York Times,2010,https://search.proquest.com/docview/750102031?accountid=14496,,,, A.21A,," Unemployment , Elections , Candidates , Cities",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Race+for+Richmond+Mayor+Focuses+on+Jobs%2C+Casino+and+Class%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2010-09-10&amp;volume=&amp;issue=&amp;spage=A.21A&amp;au=Shih%2C+Gerry&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
