Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
"Loud and Colorful, With Total Recall","  Ms. Ventura, taking a note from her drag mentors, quickly renamed herself Penny Arcade and by the 1990s had become a prominent performance artist downtown, presenting shows that, souped up by a troupe of burlesque dancers, mixed her vivid personal biography with passionate and sarcastic monologues about the AIDS epidemic, the women's and gay rights movements, and, above all else, her own right to flaunt her body and her mind.",1447991903,Newspapers," Murphy, Tim
Tim
Tim Murphy
Murphy
Tim Murphy", NYTIAO,," Copyright New York Times Company Nov 3, 2013"," 3115805081 , 82690742 , 7818 , NYTIAO , NYT , 237582-20131103", Feature," Nov 3, 2013",0362-4331, English, English, AR.7," New York, N.Y.","Nov 3, 2013",New York Times,2013,https://search.proquest.com/docview/1447991903?accountid=14496,,,, AR.7,," Theater , Performance art , Arcade, Penny (pseud)",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Loud+and+Colorful%2C+With+Total+Recall%3A+%5BArts+and+Leisure+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2013-11-03&amp;volume=&amp;issue=&amp;spage=AR.7&amp;au=Murphy%2C+Tim&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
The Tilt Toward Queens,"  With rents and real estate prices on the rise in Manhattan and Brooklyn, young professionals and families in particular have gradually been following the subway lines east of Manhattan and beyond Long Island City to Astoria, Jackson Heights and other traditionally working-class enclaves in northwest Queens.",1447992089,Newspapers," Higgins, Michelle
Michelle
Michelle Higgins
Higgins
Michelle Higgins", NYTIAO,," Copyright New York Times Company Nov 3, 2013"," 3115804441 , 82690742 , 7818 , NYTIAO , NYT , 283088-20131103", Feature," Nov 3, 2013",0362-4331, English, English, RE.1," New York, N.Y.","Nov 3, 2013",New York Times,2013,https://search.proquest.com/docview/1447992089?accountid=14496,,,, RE.1,," Houses , Real estate sales , Housing prices , Real estate , Long Island New York , Queens New York , Manhattan New York , Brooklyn New York",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=The+Tilt+Toward+Queens%3A+%5BReal+Estate+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2013-11-03&amp;volume=&amp;issue=&amp;spage=RE.1&amp;au=Higgins%2C+Michelle&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
G.O.P. Pursues Hispanic Votes With Abortion Stance,"  The abortion issue is sure to come up often in the top 2014 Texas race, the face-off for governor. Since announcing his candidacy for governor, Attorney General Greg Abbott has repeatedly linked Hispanic ideals on family values to the Republican Party's position against abortion while courting the Hispanic vote.\n",1447993572,Newspapers," Ura, Alexa
Alexa
Alexa Ura
Ura
Alexa Ura", NYTIAO," Democratic Party
813940 , Republican National Committee
813940 , Pew Hispanic Center
541720"," Copyright New York Times Company Nov 3, 2013"," 3115820531 , 82690742 , 7818 , NYTIAO , NYT , 308749-20131103", NEWSPAPER," Nov 3, 2013",0362-4331, English, English, A.27A," New York, N.Y.","Nov 3, 2013",New York Times,2013,https://search.proquest.com/docview/1447993572?accountid=14496,,,, A.27A,," Abortion , Hispanic Americans , Political activism , Polls & surveys",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=G.O.P.+Pursues+Hispanic+Votes+With+Abortion+Stance%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2013-11-03&amp;volume=&amp;issue=&amp;spage=A.27A&amp;au=Ura%2C+Alexa&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
End of Casino Partnership Leaves Fate of East Boston Racetrack in Doubt,"  Suffolk Downs, a famed but fading thoroughbred racetrack in the neighborhood of East Boston, had dreams of a major revitalization, and when the state approved casinos in 2011, it partnered with the Caesars Entertainment Corporation to apply for the sole casino license that would be awarded in the greater Boston area. In a lengthy report, it cited Caesars' $24 billion debt, alleged ties of an associate to organized crime in Russia and a scandal involving a high-roller named Terrance Watanabe, who racked up millions of dollars in unpaid debt at Caesars casinos and in turn claimed that the company encouraged him to gamble while he was intoxicated.",1448199730,Newspapers," Seelye, Katharine Q
Katharine
Katharine Q Seelye
Seelye
Q
Katharine Q. Seelye", NYTIAO," Wynn Resorts Ltd
721120 , Suffolk Downs
711212 , Gaming Commission-Massachusetts
926150 , Logan International Airport
488119 , Caesars Entertainment Corp
721120 , Foxwoods High Stakes Bingo & Casino
713210"," Copyright New York Times Company Nov 4, 2013"," 3116368791 , 82712582 , 7818 , NYTIAO , NYT , 329584-20131104", News," Nov 4, 2013",0362-4331, English, English, A.15," New York, N.Y.","Nov 4, 2013",New York Times,2013,https://search.proquest.com/docview/1448199730?accountid=14496,,,, A.15,," Resorts & spas , Casinos , Referendums , Licenses , East Boston-Boston MA , Menino, Thomas M",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=End+of+Casino+Partnership+Leaves+Fate+of+East+Boston+Racetrack+in+Doubt%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2013-11-04&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Seelye%2C+Katharine+Q&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Boat Sinks as Muslims Try to Flee Myanmar; 50 Are Feared Dead,,1448199813,Newspapers," Reuters
Reuters", NYTIAO,," Copyright New York Times Company Nov 4, 2013"," 3116368581 , 82712582 , 7818 , NYTIAO , NYT , 330426-20131104", NEWSPAPER," Nov 4, 2013",0362-4331, English, English, A.10," New York, N.Y.","Nov 4, 2013",New York Times,2013,https://search.proquest.com/docview/1448199813?accountid=14496,,,, A.10,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Boat+Sinks+as+Muslims+Try+to+Flee+Myanmar%3B+50+Are+Feared+Dead%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2013-11-04&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Reuters&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Norway Bus Attack Suspect Was Set to Be Deported; South Sudanese Man Failed to Win Asylum,"  At a news conference in Oslo, Prime Minister Erna Solberg said officials need to review the police operation and look at how immigration officials work with asylum seekers and if there needs to be improvement.",1448412571,Newspapers," Ellen Emmerentze Jervell
Ellen Emmerentze Jervell , Kjetil Malkenes Hovland
Kjetil Malkenes Hovland",,," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3117394291 , 82725952 , 117310 , WSJO , WSJOWSJO20131105000020131105e9b5004ed", News," Nov 5, 2013",, English, English, n/a," New York, N.Y.","Nov 5, 2013",Wall Street Journal (Online),2013,https://search.proquest.com/docview/1448412571?accountid=14496,,,, n/a,," Murders & murder attempts , Norway , South Sudan , Breivik, Anders Behring , Solberg, Erna",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Norway+Bus+Attack+Suspect+Was+Set+to+Be+Deported%3B+South+Sudanese+Man+Failed+to+Win+Asylum&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2013-11-05&amp;volume=&amp;issue=&amp;spage=&amp;au=Ellen+Emmerentze+Jervell%3BKjetil+Malkenes+Hovland&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
The Portents of Election 2013; Republicans beat themselves in Virginia. Is Christie a model?,"  The major political parties split Tuesday's pair of Governor's races, as Democrat Terry McAuliffe won a close race for an open seat in the swing state of Virginia while Republican Chris Christie romped to a second term in New Jersey.",1448592797,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",," Republican Party
813940"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3118249071 , 82725952 , 117310 , WSJO , WSJOWSJO20131105000020131106e9b500209", News," Nov 5, 2013",, English, English, n/a," New York, N.Y.","Nov 5, 2013",Wall Street Journal (Online),2013,https://search.proquest.com/docview/1448592797?accountid=14496,,,, n/a,," Governors , Political parties , Presidential elections , Political campaigns , Virginia , California , New Jersey , Romney, W Mitt",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Portents+of+Election+2013%3B+Republicans+beat+themselves+in+Virginia.+Is+Christie+a+model%3F&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2013-11-05&amp;volume=&amp;issue=&amp;spage=&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
The Portents of 2013,"  (WSJ November 7, 2013) The major political parties split Tuesday's pair of Governor's races, as Democrat Terry McAuliffe won a close race for an open seat in the swing state of Virginia while Republican Chris Christie romped to a second term in New Jersey.",1448692474,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",," Republican Party
813940"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3118379441 , 82759632 , 7510 , WSJ , DWJNJ000000020131106e9b600025", Editorial," Nov 6, 2013",0099-9660, English, English, A.14," New York, N.Y.","Nov 6, 2013",Wall Street Journal,2013,https://search.proquest.com/docview/1448692474?accountid=14496,,,, A.14,," Governors , Candidates , Polls & surveys , Election results , State elections , Editorials -- State elections , Virginia , New Jersey , McAuliffe, Terence R , Christie, Christopher J",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Portents+of+2013&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2013-11-06&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
The Portents of Election 2013; Republicans beat themselves in Virginia. Is Christie a model?,"  The major political parties split Tuesday's pair of Governor's races, as Democrat Terry McAuliffe won a close race for an open seat in the swing state of Virginia while Republican Chris Christie romped to a second term in New Jersey.",1448696348,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",," Republican Party
813940"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3118404021 , 82749082 , 117310 , WSJO , WSJOWSJO20131106000020131106e9b500209", News," Nov 6, 2013",, English, English, n/a," New York, N.Y.","Nov 6, 2013",Wall Street Journal (Online),2013,https://search.proquest.com/docview/1448696348?accountid=14496,,,, n/a,," Governors , Candidates , Political parties , Political campaigns , Presidential elections , Virginia , California , New Jersey , Romney, W Mitt",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Portents+of+Election+2013%3B+Republicans+beat+themselves+in+Virginia.+Is+Christie+a+model%3F&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2013-11-06&amp;volume=&amp;issue=&amp;spage=&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
"ObamaCare Goes Hollywood for Hispanics; The story line involves crony capitalism, big government, liberal media and the academy selling the health-care law.","  To promote ObamaCare among Hollywood types, the California Endowment will give funds to the University of Southern California's Norman Lear Center, which will use the money to meet with scriptwriters and coach them on how to weave plotlines promoting ObamaCare into television shows that appear on Spanish-language networks. Martin Kaplan, the dean of USC's Annenberg School for Communication, where the Norman Lear Center is based, was nothing if not explicit about the initiative's goal: ""We know from research that when people watch entertainment television, even if they know it's fiction, they tend to believe that the [information] is actually factual.""",1448880516,Newspapers," Gonzalez, Mike
Mike
Mike Gonzalez
Gonzalez
Mike Gonzalez",," Covered California
923120 , California Endowment
813212
813219 , Associated Press
519110 , Blue Cross of California
524114"," (c) 2013 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 3119288701 , 82749082 , 117310 , WSJO , WSJOWSJO20131106000020131107e9b60002u", News," Nov 6, 2013",, English, English, n/a," New York, N.Y.","Nov 6, 2013",Wall Street Journal (Online),2013,https://search.proquest.com/docview/1448880516?accountid=14496,,,, n/a,," Television programs , Radio programming , Endowment , Food stamps , Spanish language , United States--US , Arthur, Bea",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=ObamaCare+Goes+Hollywood+for+Hispanics%3B+The+story+line+involves+crony+capitalism%2C+big+government%2C+liberal+media+and+the+academy+selling+the+health-care+law.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2013-11-06&amp;volume=&amp;issue=&amp;spage=&amp;au=Gonzalez%2C+Mike&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
