Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
"Really, We're Better Than That","  [...]on this upcoming Independence Day, at a time when Trump's response to our better angels is to go small, mean and tribal, an American ideal is in peril. Look at the Pittsburgh area, where Trump chose this week to stand in front of a wall of compacted garbage to make his case for a trade war that could cost Americans at least three million jobs.",1800883551,Newspapers," Egan, Timothy
Timothy
Timothy Egan
Egan
Timothy Egan , Egan, Timothy
Timothy
Timothy Egan
Egan
Timothy Egan", NYTIAO," European Union
926110
928120"," Copyright New York Times Company Jul 2, 2016"," 4106030631 , 106196712 , 7818 , NYTIAO , NYT , 045756-20160702", Commentary," Jul 2, 2016",0362-4331, English, English, A.17," New York, N.Y.","Jul 2, 2016",New York Times,2016,https://search.proquest.com/docview/1800883551?accountid=14496,,,, A.17,," Political campaigns , Free trade , Immigration policy , Isolationism , Demographics , United Kingdom--UK , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Really%2C+We%27re+Better+Than+That%3A+%5BOp-Ed%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-07-02&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Egan%2C+Timothy&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
LETTERS; A gentler time,,1801313003,Newspapers,,,, (Copyright (c) 2016 Los Angeles Times)," 4106525341 , 106209932 , 7683 , ANGE , LATM2016070318032", News," Jul 3, 2016",0458-3035, English, English, A.19," Los Angeles, Calif.","Jul 3, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1801313003?accountid=14496,,,, A.19,,, Letters to the editor,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=LETTERS%3B+A+gentler+time&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-07-03&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
In Cleveland,"  Happy Dog is a good spot for one of the roughly 20 beers on tap (from $2), a hot dog with a few of the 50 toppings on the menu including Froot Loops and chorizo chili ($6), and a round or two on its old-fashioned pinball machines. 3 8 p.m. Pit Master The chef Michael Symon is synonymous with Cleveland's culinary prowess via his popular Lola restaurant, as well as his hosting appearances on the television show ""The Chew.""",1801313333,Newspapers," Glusac, Elaine
Elaine
Elaine Glusac
Glusac
Elaine Glusac , Glusac, Elaine
Elaine
Elaine Glusac
Glusac
Elaine Glusac", NYTIAO," Rock & Roll Hall of Fame & Museum
712110"," Copyright New York Times Company Jul 3, 2016"," 4106525571 , 106209432 , 7818 , NYTIAO , NYT , 825425-20160703", Commentary," Jul 3, 2016",0362-4331, English, English, TR.9," New York, N.Y.","Jul 3, 2016",New York Times,2016,https://search.proquest.com/docview/1801313333?accountid=14496,,,, TR.9,," Restaurants , Museums , Tourism , Cultural heritage , Public tours , Shopping , Art exhibits , Political conventions , Cleveland Ohio , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=In+Cleveland%3A+%5BTravel+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-07-03&amp;volume=&amp;issue=&amp;spage=TR.9&amp;au=Glusac%2C+Elaine&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
"Going, Going, Going to Rio","  The International Olympic Committee said that it did not track siblings but that ""various trusted sources reported it will be the first time that triplets compete at the Games."" Two hundred sets of twins have competed at the Games, Mallon said, almost always in the same events, including the canoeists Pavol and Peter Hochschorner of Slovakia, who won gold medals in doubles slalom in 2000, 2004 and 2008.",1801313379,Newspapers," Longman, Jere
Jere
Jere Longman
Longman
Jere Longman , Longman, Jere
Jere
Jere Longman
Longman
Jere Longman", NYTIAO,," Copyright New York Times Company Jul 3, 2016"," 4106525881 , 106209432 , 7818 , NYTIAO , NYT , 019739-20160703", Feature," Jul 3, 2016",0362-4331, English, English, SP.1," New York, N.Y.","Jul 3, 2016",New York Times,2016,https://search.proquest.com/docview/1801313379?accountid=14496,,,, SP.1,," Olympic games , Marathons , Triplets , Track & field , Estonia , Rio de Janeiro Brazil",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Going%2C+Going%2C+Going+to+Rio%3A+%5BSports+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-07-03&amp;volume=&amp;issue=&amp;spage=SP.1&amp;au=Longman%2C+Jere&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
"Outsourcing puts squeeze on the middle class; An estimated 1 in 6 U.S. jobs are farmed out; for some, pay has taken a significant hit.","  Globalization and the offshoring of U.S. manufacturing jobs to China and other cheap-labor countries are commonly blamed for driving down the wages and living standards of ordinary American workers, but there is another, less-known factor behind the shrinking middle class: domestic outsourcing.",1801385338,Newspapers," Lee, Don
Don
Don Lee
Lee
Don Lee , Lee, Don
Don
Don Lee
Lee
Don Lee",," Verizon Communications Inc
517110
517210", (Copyright (c) 2016 Los Angeles Times)," 4106987781 , 106223392 , 7683 , ANGE , LATM2016070418172", News," Jul 4, 2016",0458-3035, English, English, A.1," Los Angeles, Calif.","Jul 4, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1801385338?accountid=14496,,,, A.1,," Outsourcing , Research , Wages & salaries , Customer services , Retirement benefits , Strikes , United States--US , El Salvador"," UNITED STATES , MIDDLE CLASS , OUTSOURCING , ECONOMY , LABOR , EMPLOYMENT",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Outsourcing+puts+squeeze+on+the+middle+class%3B+An+estimated+1+in+6+U.S.+jobs+are+farmed+out%3B+for+some%2C+pay+has+taken+a+significant+hit.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-07-04&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Lee%2C+Don&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
"Immigration hawks come in from fringe; Long ignored by Republican leaders, hard-liners now help candidate Donald Trump shape policy.","  [...]NumbersUSA, long on the fringes of Washington lobbying groups with its stance that legal immigration should be reduced, now crows that all those powerful consultants had it wrong when they insisted that the GOP needed to compromise on raising immigration levels to win a presidential election. [...]the political argument has been proved only in Republi- can primaries, meaning Trump's allies in the immigration policy community could lose their influence if he is defeated in the general election, in which a large Latino turnout favoring presumptive Democratic nom- inee Hillary Clinton could doom the GOP candidate.",1801385465,Newspapers," Bierman, Noah
Noah
Noah Bierman
Bierman
Noah Bierman , Bennett, Brian
Brian
Brian Bennett
Bennett
Brian Bennett , Bierman, Noah
Noah
Noah Bierman
Bierman
Noah Bierman , Bennett, Brian
Brian
Brian Bennett
Bennett
Brian Bennett",," NumbersUSA
541720 , Congress
921120 , Republican Party
813940", (Copyright (c) 2016 Los Angeles Times)," 4106987801 , 106223392 , 7683 , ANGE , LATM2016070418170", News," Jul 4, 2016",0458-3035, English, English, A.1," Los Angeles, Calif.","Jul 4, 2016",Los Angeles Times,2016,https://search.proquest.com/docview/1801385465?accountid=14496,,,, A.1,," Presidential elections , Political campaigns , Candidates , Immigration policy , Voter behavior"," Lead story , TRUMP, DONALD J , PRESIDENTIAL ELECTIONS (2016) , PRESIDENTIAL CANDIDATES , IMMIGRATION , CONSERVATIVES",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Immigration+hawks+come+in+from+fringe%3B+Long+ignored+by+Republican+leaders%2C+hard-liners+now+help+candidate+Donald+Trump+shape+policy.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2016-07-04&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Bierman%2C+Noah%3BBennett%2C+Brian&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
"Why So Many Missed the Nationalist Surge; Politicians and young, educated urbanites live in an economic and cultural bubble.","  Many in my line of work have been writing for years about wage stagnation, income decline and the disappearance of manufacturing jobs.",1801724731,Newspapers," Galston, William A
William
William A Galston
Galston
A
William A. Galston , Galston, William A
William
William A Galston
Galston
A
William A. Galston",,," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4108378691 , 106233082 , 117310 , WSJO , WSJOWSJO20160705000020160705ec7500ckw", News," Jul 5, 2016",, English, English, n/a," New York, N.Y.","Jul 5, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1801724731?accountid=14496,,,, n/a,," Education , Demography , United Kingdom--UK , Europe , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Why+So+Many+Missed+the+Nationalist+Surge%3B+Politicians+and+young%2C+educated+urbanites+live+in+an+economic+and+cultural+bubble.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-07-05&amp;volume=&amp;issue=&amp;spage=&amp;au=Galston%2C+William+A&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Why So Many Missed the Nationalist Surge,"  Many in my line of work have been writing for years about wage stagnation, income decline and the disappearance of manufacturing jobs.",1801724465,Newspapers," Galston, William A
William
William A Galston
Galston
A
William A. Galston , Galston, William A
William
William A Galston
Galston
A
William A. Galston",," European Union
926110
928120"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4108372361 , 106261002 , 7510 , WSJ , DWJNJ000000020160705ec76004bo", Commentary," Jul 6, 2016",0099-9660, English, English, A.9," New York, N.Y.","Jul 6, 2016",Wall Street Journal,2016,https://search.proquest.com/docview/1801724465?accountid=14496,,,, A.9,," Educational attainment , Demographics , Freedom of movement , Immigration policy , Social classes , Globalization , Nationalism , Multiculturalism & pluralism , United Kingdom--UK",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Why+So+Many+Missed+the+Nationalist+Surge&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2016-07-06&amp;volume=&amp;issue=&amp;spage=A.9&amp;au=Galston%2C+William+A&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Brazil Confronts an Epidemic of Anti-Gay Violence,"  While Americans have fiercely debated how to respond to the massacre last month at a gay nightclub in Orlando, Fla., Brazilians have been confronting their own epidemic of anti-gay violence -- one that, by some counts, has earned Brazil the ignominious ranking of the world's deadliest place for lesbians, gays, bisexuals and transgender people.",1801814994,Newspapers," Jacobs, Andrew
Andrew
Andrew Jacobs
Jacobs
Andrew Jacobs , Jacobs, Andrew
Andrew
Andrew Jacobs
Jacobs
Andrew Jacobs", NYTIAO," Congress-Brazil
921120"," Copyright New York Times Company Jul 6, 2016"," 4108610941 , 106266052 , 7818 , NYTIAO , NYT , 920770-20160706", News," Jul 6, 2016",0362-4331, English, English, A.4," New York, N.Y.","Jul 6, 2016",New York Times,2016,https://search.proquest.com/docview/1801814994?accountid=14496,,,, A.4,," Gays & lesbians , Murders & murder attempts , Same sex marriage , Transgender persons , Homophobia , Brazil",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Brazil+Confronts+an+Epidemic+of+Anti-Gay+Violence%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-07-06&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Jacobs%2C+Andrew&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Muslims Stung by Indifference to Their Losses,"  The global mood increasingly feels like one of atavism, of retreat into narrower identities of nation, politics or sect, with Britain voting to leave the European Union and many Americans supporting the nativist presidential campaign of Donald J. Trump.",1801815730,Newspapers," Barnard, Anne
Anne
Anne Barnard
Barnard
Anne Barnard , Barnard, Anne
Anne
Anne Barnard
Barnard
Anne Barnard", NYTIAO," European Union
926110
928120 , Islamic State of Iraq & the Levant--ISIS
813940"," Copyright New York Times Company Jul 6, 2016"," 4108611921 , 106266052 , 7818 , NYTIAO , NYT , 116289-20160706", News," Jul 6, 2016",0362-4331, English, English, A.1," New York, N.Y.","Jul 6, 2016",New York Times,2016,https://search.proquest.com/docview/1801815730?accountid=14496,,,, A.1,," Social networks , Muslims , Terrorism , Empathy , Baghdad Iraq , Istanbul Turkey , Saudi Arabia , Bangladesh , Syria",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Muslims+Stung+by+Indifference+to+Their+Losses%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2016-07-06&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Barnard%2C+Anne&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
