Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,documentFeatures,startPage,subjectTerms,subjects,FindACopy,Database
A Surprising Salve for New York's Beleaguered Cities: Refugees,"Local businesses have found cheap, willing labor in the rolling stocks of refugees, while resettlement agencies have used federal funding to assist with their assimilation, creating work for everyone from refrigerator sellers to house painters. Other critics, while less hyperbolic, note the new arrivals often cost the government money in the form of food stamps, cash assistance and Medicaid benefits, as many begin new lives here below the poverty line. Long a jumping-off point for immigrants, the neighborhood has more than 500 previously empty homes occupied by refugee families, according to State Assemblyman Sean Ryan, a Democrat who represents the area. The West Side Bazaar, ""an international small-business incubator"" teeming with food stands, does a healthy business, as does a local grocery offering fruits, vegetables and ""worldwide money transfer."" Groups say donations and volunteerism are up.) Eva M. Hassett, the executive director of the International Institute of Buffalo, another resettlement agency, says she fears that the changes proposed by the new administration would imperil the city's longstanding reputation for welcoming newcomers, something that dates back to waves of Italian, Irish and Eastern European immigrants who followed the trains and canals west in the 19th and 20th centuries. Mohsen Daghooghi, an Iranian postdoctoral fellow researching computational fluid mechanics at the University at Buffalo, found himself suddenly separated from his wife and 6-month-old son when they were recently denied re-entry to the United States after a trip to visit family in Iran. Reassuring refugees and immigrants that they are wanted here was...",1870178105,Newspapers," McKINLEY, JESSE
JESSE
JESSE McKINLEY
McKINLEY
JESSE McKINLEY",," Copyright New York Times Company Feb 21, 2017"," 250732-20170221 , 250732-20170221 , 7818 , PQ_7818_Feb212017", News," Feb 21, 2017",0362-4331, English, English, A.19," New York, N.Y.","Feb 21, 2017",New York Times,2017,https://search.proquest.com/docview/1870178105?accountid=14496,, A.19," Refugees , Presidents , Students , Colleges & universities , Neighborhoods , Employment , Aliens , Cities , School districts , Iran , New York",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=A+Surprising+Salve+for+New+York%27s+Beleaguered+Cities%3A+Refugees%3A+%5BMetropolitan+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=McKINLEY%2C+JESSE&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Finding the 'Trusted Traveler' Program That Is Right for You,"The number of airline passengers at United States airports hit a high of 895.5 million in 2015 and is on track to surpass that in 2016, according to the latest data available from the Transportation Department's Bureau of Transportation Statistics. Domestic air travelers who lack a passport What you get: A special indicator on your boarding pass that allows you to use expedited security lines and keep on your shoes, belt and light jacket as well as leave your laptop and clear, quart-size toiletry kit in your bag at more than 180 airports nationwide with 30 airlines. (No passport required -- a driver's license and birth certificate will suffice for identification.) Within about a week or two, approved applicants receive a ""known traveler number,"" which must be entered when booking your flight to ensure a T.S.A. PreCheck indicator shows up on your boarding pass. International travelers What you get: A fast track through United States immigration, and T.S.A. PreCheck Global Entry is a United States Customs and Border Protection program that allows preapproved travelers to skip the paperwork and processing lines when returning from international trips. Members go straight to a kiosk to make any customs declarations and have their passport and fingerprint scanned before receiving a receipt and heading to baggage claim and the exit. Baseball fans, and frequent fliers who fly out of one of Clear's airport locations What you get: A quick cut to the front of the security line Clear is a private trusted-traveler program, sanctioned...",1870178419,Newspapers," Higgins, Michelle
Michelle
Michelle Higgins
Higgins
Michelle Higgins"," Bureau of Transportation Statistics
923110"," Copyright New York Times Company Feb 21, 2017"," 947482-20170221 , 947482-20170221 , 7818 , PQ_7818_Feb212017", News," Feb 21, 2017",0362-4331, English, English, B.5," New York, N.Y.","Feb 21, 2017",New York Times,2017,https://search.proquest.com/docview/1870178419?accountid=14496,, B.5," Enrollments , Airline security , Equity stake , Airports , Frequent flier programs , Business travel , Biometrics , Passenger screening , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Finding+the+%27Trusted+Traveler%27+Program+That+Is+Right+for+You%3A+%5BBusiness%2FFinancial+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=B.5&amp;au=Higgins%2C+Michelle&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
H.I.V. Stalks Cambodian Prostitutes and Babies,"The study, by investigators at Global Health Promise, a nonprofit based in Portland, Ore., that researches prostitution in poor countries, was an attempt to shed light on a little-studied corner of the AIDS epidemic. Despite crackdowns by Cambodian police and American immigration authorities, the country remains a destination for child sex tourism. Human Rights Watch has detailed abuse of sex workers by police even when they are released to social work agencies rather than imprisoned.",1870178665,Newspapers," McNEIL, DONALD G, Jr
DONALD
DONALD G McNEIL Jr
Jr
McNEIL
G
DONALD G. McNEIL Jr."," Human Rights Watch
813311"," Copyright New York Times Company Feb 21, 2017"," 399779-20170221 , 399779-20170221 , 7818 , PQ_7818_Feb212017", News," Feb 21, 2017",0362-4331, English, English, D.6," New York, N.Y.","Feb 21, 2017",New York Times,2017,https://search.proquest.com/docview/1870178665?accountid=14496,, D.6," Human immunodeficiency virus--HIV , Children & youth , Acquired immune deficiency syndrome--AIDS , Abortion , Sex industry , Studies , Workers , Babies , Cambodia",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=H.I.V.+Stalks+Cambodian+Prostitutes+and+Babies%3A+%5BScience+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=D.6&amp;au=McNEIL%2C+DONALD+G%2C+Jr&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
A Slice of Denver Stands to Pay a Price for a Boom,"[...]children living by the highway have asthma hospitalization rates 40 percent higher than Denver as a whole, and residents die of heart disease at a rate 13 percent greater than the rest of the city, according to city data. Sidewalks are broken, residents have no full-service grocery store, and motorists toss trash and even diapers onto the neighborhood from the highway. A spokeswoman for the Colorado Transportation Department, Rebecca White, said pollution in the area would generally remain the same after the expansion, despite more cars on the road, because new vehicles emit lower levels of pollutants, the road would be less congested and the park would block some of the vehicle exhaust. [...]a federal lawsuit associated with the expansion, filed against the Environmental Protection Agency by the Sierra Club, claims the agency illegally weakened its air standards recently, allowing Colorado to determine that the highway project would not violate air quality rules. Kyle Shelton, who studies the social impact of transportation projects, said the expansion looked far better than the highways of the 1960s, which made few concessions to neighbors. Yadira Sanchez, Above, at Her Home in the Elyria-Swansea Neighborhood. Since Moving in, More Than a Decade Ago, She...",1870178672,Newspapers," Turkewitz, Julie
Julie
Julie Turkewitz
Turkewitz
Julie Turkewitz",," Copyright New York Times Company Feb 21, 2017"," 916340-20170221 , 916340-20170221 , 7818 , PQ_7818_Feb212017", News," Feb 21, 2017",0362-4331, English, English, A.11," New York, N.Y.","Feb 21, 2017",New York Times,2017,https://search.proquest.com/docview/1870178672?accountid=14496,, A.11," Transportation planning , Asthma , Neighborhoods , Low income groups , Roads & highways , Federal aid , Highway construction , Infrastructure , Traffic , Public works , Colorado , Denver Colorado",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=A+Slice+of+Denver+Stands+to+Pay+a+Price+for+a+Boom%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=Turkewitz%2C+Julie&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
"TV Blares, Trump Repeats and Sweden Gasps","Just like that, without white papers, intelligence reports, an interagency meeting or, presumably, the advice of his secretary of state, the president started a dispute with a longtime American friend that resented his characterization and called it false. While aides sought to clarify that Mr. Trump's remarks were about a rising tide of crime in general, rather than any particular event or attack, the president chose to escalate. NOT!"" Sweden's prime minister, Stefan Lofven, responded hours later at a news conference, noting that Sweden ranks highly on international comparisons of economic competitiveness and human development. Mr. Trump reportedly lit into Australia's prime minister over refugees in a telephone call that was said to have ended abruptly. The Fox News segment featured an interview with Mr. Horowitz, whose short film, ""Stockholm Syndrome,"" depicted Sweden as a place where rape and violence have been on the rise since it began accepting more refugees from Muslim countries. Critics of Sweden's migration policies have pointed to a Facebook post on Feb. 3 by a police officer, Peter Springare, who said that migrants were taxing Sweden's pension, education and health systems and that they were the principal culprits in assaults.",1870178702,Newspapers," Baker, Peter
Peter
Peter Baker
Baker
Peter Baker , Sewell, Chan
Chan
Chan Sewell
Sewell
Sewell Chan"," Fox News Channel
515120"," Copyright New York Times Company Feb 21, 2017"," 439851-20170221 , 439851-20170221 , 7818 , PQ_7818_Feb212017", News," Feb 21, 2017",0362-4331, English, English, A.1," New York, N.Y.","Feb 21, 2017",New York Times,2017,https://search.proquest.com/docview/1870178702?accountid=14496,, A.1," Presidents , Migration , Aliens , Diplomatic & consular services , Terrorism , International relations-US , Diplomacy , Refugees , News media , Muslims , Television news , Immigration policy , Sweden , United States--US , Lofven, Stefan , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=TV+Blares%2C+Trump+Repeats+and+Sweden+Gasps%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Baker%2C+Peter%3BSewell%2C+Chan&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
U.S. News: Trump's Virginia Faithful --- Residents in Fauquier County are hopeful president will keep his campaign promises,"  Elsewhere, voters angry at Mr. Trump have been flooding into town-hall meetings to tell Republican lawmakers to back away from the new president and to fight his agenda.",1870184895,Newspapers," Chinni, Dante
Dante
Dante Chinni
Chinni
Dante Chinni , Chinni, Dante
Dante
Dante Chinni
Chinni
Dante Chinni", Republican Party," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4315833141 , 111179242 , 7510 , WSJ , DWJNJ000000020170221ed2l0001p", News," Feb 21, 2017",0099-9660, English, English, A.6," New York, N.Y.","Feb 21, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1870184895?accountid=14496,, A.6," Political campaigns , Immigration policy , Voters , Political behavior , Political leadership , Fauquier County Virginia , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Trump%27s+Virginia+Faithful+---+Residents+in+Fauquier+County+are+hopeful+president+will+keep+his+campaign+promises&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Chinni%2C+Dante&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
A Military Strategist for Trump's NSC,"  The general could work with the next director of national intelligence, former Senator Dan Coats, to streamline the DNI into a lean staff of analysts who make sure that consensus doesn't become a default for status-quo CIA or FBI thinking.",1870186209,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous , Anonymous
Anonymous
Anonymous
Anonymous"," National Security Council
928110"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4315832861 , 111179242 , 7510 , WSJ , DWJNJ000000020170221ed2l0001b", Editorial," Feb 21, 2017",0099-9660, English, English, A.18," New York, N.Y.","Feb 21, 2017",Wall Street Journal,2017,https://search.proquest.com/docview/1870186209?accountid=14496,, A.18," Military strategy , Decision making , National security , Intelligence gathering , Leadership , Editorials , United States--US , McMaster, Herbert Raymond",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=A+Military+Strategist+for+Trump%27s+NSC&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=A.18&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
Flynn's Early Departure; A transcript of the weekend's program on FOX News Channel.,"A shake-up in the Trump White House this week with National Security Advisor Michael Flynn resigning after reports of the transcripts of his December phone calls with Russia's ambassador were leaked and contradicted his claims made to White House officials, including Vice President Mike Pence, that sanctions were not discussed. President Trump reacted to Flynn's ouster at a wild and wide-ranging press conference Thursday, defending his former national security advisor and condemning the leaks that led to his resignation. Gigot: Joining the panel this week, Wall Street Journal columnist and Deputy Editor, Dan Henninger; Editorial Board Member, Mary Kissel; and Assistant Editorial Page Editor, James Freeman. James Freeman: Well, I would say no based on the information we have to date. 70 years ago, President Truman signed the National Security Act preventing intelligence agencies from spying on Americans. Vice President Pence went on national television and told the nation that the issue of sanctions was not discussed between Gen. Flynn and the Russian ambassador and it's embarrassing to the vice president. [...]if you get to the point where your presidency is always being pushed back by anonymous stories and the sort of undulating wave of negativity like this, then your presidency starts to get into trouble. Kissel: Well, Paul, I am giving a hit to the Trump administration for reversing President Obama's policy of indulgence towards that criminal state to our south, Venezuela, and putting the vice president of Venezuela on the blacklist and bringing the wife of jailed opposition...",1870269695,Newspapers,,," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170221000020170221ed2l004s9 , WSJOWSJO20170221000020170221ed2l004s9 , 117310 , PQ_117310_Feb212017", News," Feb 21, 2017",, English, English, n/a," New York, N.Y.","Feb 21, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1870269695?accountid=14496,, n/a," Press conferences , Resignations , Editorials , Political campaigns , Vice Presidents , Sanctions , Advisors , National security , Classified information , Russia , Pence, Mike",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Flynn%27s+Early+Departure%3B+A+transcript+of+the+weekend%27s+program+on+FOX+News+Channel.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
A Military Strategist for Trump's NSC; H.R. McMaster wrote a book about the duty to challenge a President.,"In the Iraq war he adapted to the al Qaeda terror campaign in the city of Tal Afar with counterinsurgency tactics that sought to win over the local population. With former Marine General Jim Mattis at Defense and retired Marine General John Kelly at Homeland Security, the Trump security team is top-heavy with distinguished Pentagon brass. The general could work with the next director of national intelligence, former Senator Dan Coats, to streamline the DNI...",1870356712,Newspapers,," Central Intelligence Agency--CIA
928110
928120"," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170221000020170220ed2k00691 , WSJOWSJO20170221000020170220ed2k00691 , 117310 , PQ_117310_Feb212017", News," Feb 21, 2017",, English, English, n/a," New York, N.Y.","Feb 21, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1870356712?accountid=14496,, n/a," Decision making , Intelligence gathering , Military strategy , Middle East , Russia , United States--US , Crimea , Vietnam , Afghanistan , Iraq , China , Syria , Asia , Tal Afar Iraq , Putin, Vladimir , Europe , Obama, Barack , McMaster, Herbert Raymond",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=A+Military+Strategist+for+Trump%27s+NSC%3B+H.R.+McMaster+wrote+a+book+about+the+duty+to+challenge+a+President.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
"Transcript: Fed's Neel Kashkari Speaks in Golden Valley, Minn. Minneapolis Fed chief discusses 'too big to fail' banks, watching for asset bubbles and sluggish productivity growth","Federal Reserve Bank of Minneapolis President Neel Kashkari spoke to the Financial Planning Association of Minnesota in Golden Valley, Minn., on Tuesday, Feb. 21, 2017. [...]if you go back in our country's history, our country hated the idea of having a central bank because it seemed mysterious and it seemed like all this power was concentrated in these select few individuals. [...]that's why we have a Board of Governors in Washington, D.C., with seven representatives that are appointed by the president of the United States, and we have 12 regional Federal Reserve Banks scattered around the country and the presidents of those Reserve Banks - I'm one of them - are appointed by a local board of directors, and we report to that board of directors. [...]together, the 12 presidents and the seven governors in Washington ultimately set monetary policy for the country. [...]let me just talk - a couple of the big policy issues that I've been focused on since I joined the Minneapolis Fed, and then we'll open it up to you and we'll hear what's on your mind, what questions are most interesting to you, and I'll do my best to try to answer them. The problem was, if we had allowed the financial system to collapse, instead of the Great Recession, we would have been looking at the Great Depression. [...]when I got to the Minneapolis Fed, one of the things I found was that this bank has done work for the last several decades on...",1870367884,Newspapers,,," (c) 2017 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," WSJOWSJO20170221000020170221ed2l009hp , WSJOWSJO20170221000020170221ed2l009hp , 117310 , PQ_117310_Feb212017", News," Feb 21, 2017",, English, English, n/a," New York, N.Y.","Feb 21, 2017",Wall Street Journal (Online),2017,https://search.proquest.com/docview/1870367884?accountid=14496,, n/a," Central banks , Regulation of financial institutions , Presidents , Boards of directors , Compliance , Banking industry , United States--US , Washington DC , Minnesota",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Transcript%3A+Fed%27s+Neel+Kashkari+Speaks+in+Golden+Valley%2C+Minn.+Minneapolis+Fed+chief+discusses+%27too+big+to+fail%27+banks%2C+watching+for+asset+bubbles+and+sluggish+productivity+growth&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2017-02-21&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
