date_adj,pres,sentiment
2016-07-29,Obama,-144
2016-07-29,Trump,-152
2016-07-30,Obama,-235
2016-07-30,Trump,-89
2016-07-31,Obama,-198
2016-07-31,Trump,-147
2016-08-01,Obama,-92
2016-08-01,Trump,-67
2016-08-02,Obama,-91
2016-08-02,Trump,-431
2016-08-03,Obama,-132
2016-08-03,Trump,-154
2016-08-04,Obama,17
2016-08-04,Trump,-281
2016-08-05,Obama,-30
2016-08-05,Trump,-110
2016-08-06,Obama,-78
2016-08-06,Trump,22
2016-08-07,Obama,-11
2016-08-07,Trump,-143
2016-08-08,Obama,-153
2016-08-08,Trump,-66
2016-08-09,Obama,-18
2016-08-09,Trump,-45
2016-08-10,Obama,-86
2016-08-10,Trump,-25
2016-08-11,Obama,-8
2016-08-11,Trump,-98
2016-08-12,Obama,-131
2016-08-12,Trump,-108
2016-08-13,Obama,-212
2016-08-13,Trump,-52
2016-08-14,Obama,61
2016-08-14,Trump,-63
2016-08-15,Obama,-216
2016-08-15,Trump,-191
2016-08-16,Obama,-4
2016-08-16,Trump,-249
2016-08-17,Obama,-106
2016-08-17,Trump,48
2016-08-18,Obama,-36
2016-08-18,Trump,-114
2016-08-19,Obama,-4
2016-08-19,Trump,-91
2016-08-20,Obama,52
2016-08-20,Trump,-52
2016-08-21,Obama,-14
2016-08-21,Trump,22
2016-08-22,Obama,-120
2016-08-22,Trump,-98
2016-08-23,Obama,-91
2016-08-23,Trump,-129
2016-08-24,Obama,-38
2016-08-24,Trump,-260
2016-08-25,Obama,-119
2016-08-25,Trump,-224
2016-08-26,Obama,-142
2016-08-26,Trump,32
2016-08-27,Obama,-59
2016-08-27,Trump,-71
2016-08-28,Obama,-100
2016-08-28,Trump,-241
2016-08-29,Obama,25
2016-08-29,Trump,-144
2016-08-30,Obama,0
2016-08-30,Trump,-208
2016-08-31,Obama,6
2016-08-31,Trump,-250
2016-09-01,Obama,-77
2016-09-01,Trump,-266
2016-09-02,Obama,-48
2016-09-02,Trump,-290
2016-09-03,Obama,-33
2016-09-03,Trump,-122
2016-09-04,Obama,-177
2016-09-04,Trump,-197
2016-09-05,Obama,34
2016-09-05,Trump,63
2016-09-06,Obama,29
2016-09-06,Trump,-151
2016-09-07,Obama,-160
2016-09-07,Trump,-58
2016-09-08,Obama,-17
2016-09-08,Trump,13
2016-09-09,Obama,-42
2016-09-09,Trump,60
2016-09-10,Obama,-99
2016-09-10,Trump,-97
2016-09-11,Obama,-11
2016-09-11,Trump,-73
2016-09-12,Obama,-19
2016-09-12,Trump,10
2016-09-13,Obama,-1
2016-09-13,Trump,75
2016-09-14,Obama,2
2016-09-14,Trump,52
2016-09-15,Obama,8
2016-09-15,Trump,-63
2016-09-16,Obama,-13
2016-09-16,Trump,-191
2016-09-17,Obama,-37
2016-09-17,Trump,-18
2016-09-18,Obama,-53
2016-09-18,Trump,-557
2016-09-19,Obama,59
2016-09-19,Trump,-340
2016-09-20,Obama,39
2016-09-20,Trump,-474
2016-09-21,Obama,-50
2016-09-21,Trump,-378
2016-09-22,Obama,-81
2016-09-22,Trump,-166
2016-09-23,Obama,-7
2016-09-23,Trump,-186
2016-09-24,Obama,-42
2016-09-24,Trump,-360
2016-09-25,Obama,-53
2016-09-25,Trump,-35
2016-09-26,Obama,-37
2016-09-26,Trump,-151
2016-09-27,Obama,64
2016-09-27,Trump,-198
2016-09-28,Obama,-118
2016-09-28,Trump,-134
2016-09-29,Obama,-15
2016-09-29,Trump,-122
2016-09-30,Obama,-111
2016-09-30,Trump,-195
2016-10-01,Obama,-179
2016-10-01,Trump,-83
2016-10-02,Obama,-94
2016-10-02,Trump,-288
2016-10-03,Obama,-151
2016-10-03,Trump,-112
2016-10-04,Obama,9
2016-10-04,Trump,-182
2016-10-05,Obama,-85
2016-10-05,Trump,-225
2016-10-06,Obama,-22
2016-10-06,Trump,-71
2016-10-07,Obama,-36
2016-10-07,Trump,-103
2016-10-08,Obama,-198
2016-10-08,Trump,-170
2016-10-09,Obama,7
2016-10-09,Trump,-261
2016-10-10,Obama,35
2016-10-10,Trump,-448
2016-10-11,Obama,-114
2016-10-11,Trump,-205
2016-10-12,Obama,4
2016-10-12,Trump,-273
2016-10-13,Obama,-144
2016-10-13,Trump,-327
2016-10-14,Obama,-137
2016-10-14,Trump,-216
2016-10-15,Obama,-81
2016-10-15,Trump,-117
2016-10-16,Obama,-68
2016-10-16,Trump,-5
2016-10-17,Obama,78
2016-10-17,Trump,-41
2016-10-18,Obama,-48
2016-10-18,Trump,-118
2016-10-19,Obama,-141
2016-10-19,Trump,-201
2016-10-20,Obama,-45
2016-10-20,Trump,-353
2016-10-21,Obama,-49
2016-10-21,Trump,26
2016-10-22,Obama,-87
2016-10-22,Trump,-192
2016-10-23,Obama,-45
2016-10-23,Trump,-145
2016-10-24,Obama,-68
2016-10-24,Trump,-445
2016-10-25,Obama,4
2016-10-25,Trump,-86
2016-10-26,Obama,30
2016-10-26,Trump,-213
2016-10-27,Obama,-32
2016-10-27,Trump,-165
2016-10-28,Obama,-65
2016-10-28,Trump,-169
2016-10-29,Obama,36
2016-10-29,Trump,-90
2016-10-30,Obama,-145
2016-10-30,Trump,-117
2016-10-31,Obama,-63
2016-10-31,Trump,-118
2016-11-01,Obama,-8
2016-11-01,Trump,-127
2016-11-02,Obama,19
2016-11-02,Trump,-108
2016-11-03,Obama,-52
2016-11-03,Trump,30
2016-11-04,Obama,-88
2016-11-04,Trump,3
2016-11-05,Obama,-17
2016-11-05,Trump,3
2016-11-06,Obama,-24
2016-11-06,Trump,-69
2016-11-07,Obama,13
2016-11-07,Trump,55
2016-11-08,Obama,18
2016-11-08,Trump,-88
2016-11-09,Obama,-110
2016-11-09,Trump,113
2016-11-10,Obama,67
2016-11-10,Trump,-191
2016-11-11,Obama,-74
2016-11-11,Trump,-227
2016-11-12,Obama,-49
2016-11-12,Trump,-99
2016-11-13,Obama,85
2016-11-13,Trump,-178
2016-11-14,Obama,-55
2016-11-14,Trump,-54
2016-11-15,Obama,-34
2016-11-15,Trump,-227
2016-11-16,Obama,-77
2016-11-16,Trump,-161
2016-11-17,Obama,-59
2016-11-17,Trump,-154
2016-11-18,Obama,-5
2016-11-18,Trump,-277
2016-11-19,Obama,-68
2016-11-19,Trump,-224
2016-11-20,Obama,-49
2016-11-20,Trump,-332
2016-11-21,Obama,20
2016-11-21,Trump,81
2016-11-22,Obama,-46
2016-11-22,Trump,-106
2016-11-23,Obama,-25
2016-11-23,Trump,-80
2016-11-24,Obama,-20
2016-11-24,Trump,54
2016-11-25,Obama,25
2016-11-25,Trump,-7
2016-11-26,Obama,-59
2016-11-26,Trump,-92
2016-11-27,Obama,-78
2016-11-27,Trump,-211
2016-11-28,Obama,16
2016-11-28,Trump,-173
