document,topic,gamma,document_number,year,StoreId,Title,Abstract,subjectTerms
1731,1,0.9991825486878857,1731,2010,375561013,New York Charter Schools Lag in Enrolling Hispanics,"(Excluding high schools, blacks make up 62 percent of the charter schools' enrollment.) Lillian Rodriguez Lopez, the president of the Hispanic Federation, a network of social service organizations, has been supportive of Mayor Michael R. Bloomberg's changes in school governance, but she said the low enrollment of Latino students was a worrisome sign, particularly because the mayor and Chancellor Joel I. Klein praise the charter schools as beacons of success.","Hispanic students , Black students , Enrollments , Demographics , Charter schools , New York City New York"
3313,1,0.9991166081413155,3313,2012,920764180,Suburban Schools Lag as Bilingual Needs Grow,"52 percent -- now live in Chicago's suburbs, the 2010 Census showed, while 38 percent live in the city. Since 2005, about 25 percent of suburban school districts have seen the number of English-language learners double -- in Plainfield School District 202, they have more than tripled, to about 2,082 in 2011 from about 674 in 2005.","School districts , School boards , Hispanics , Learning , Teaching , Reading , Multicultural education , School superintendents , Bilingualism , Statistical data"
1417,1,0.9988913022600446,1417,2010,422449600,"More Latinos are leaving home for college; Some find it hard to break from tradition, but they and their families see benefits.","Since 1975, the share of Latino freshmen at four-year colleges who choose schools more than 50 miles from home has risen to nearly 59% from about 46%, and the share who attend such colleges within 10 miles of home dropped to 15% from 30%, according to a study by UCLA's Higher Education Research Institute.","Hispanic Americans , Community colleges , College students , Hispanic students"
347,1,0.9986683351924845,347,2008,433869798,Report Takes Aim at 'Model Minority' Stereotype of Asian-American Students,"The report, based on federal education, immigration and census data, as well as statistics from the College Board, noted that the federally defined categories of Asian-American and Pacific Islander included dozens of groups, each with its own language and culture, as varied as the Hmong, Samoans, Bengalis and Sri Lankans.","Minority & ethnic groups , Stereotypes , Asian Americans"
1693,1,0.9985606264105821,1693,2010,356469906,"Intermarriage Slows Among Hispanics, Asians; Changing Attitudes and Immigration Patterns Prompt a Break From the Overall Trend of More Unions Between Ethnic Groups","[...] new research concludes that intermarriage rates between Hispanics and non-hispanic whites and between Asians and whites have declined or stagnated over the past two decades, due in part to a surge in immigration that has expanded the pool of people of marrying age in those groups.","Minority & ethnic groups , Colleges & universities , Whites , United States--US"
1692,1,0.998556979042876,1692,2010,356535487,"Marriage Study Raises Assimilation Questions; Hispanics and Asians Retreat From Intermarriage Amid New Attitudes About Cultural Identity, Influx of Immigration","[...] new research concludes that intermarriage rates between Hispanics and whites and between Asians and whites have declined or stagnated over the past two decades, due in part to a surge in immigration that has expanded the pool of people of marrying age in those groups.","Minority & ethnic groups , Colleges & universities , Cultural identity , United States--US"
4392,1,0.9985459248375496,4392,2013,1317816086,"U.S. News: Hispanics Extend Reach Beyond Enclaves --- Groups From Central, South America Live in More Integrated Areas Than Mexicans, Study of Latino Demographics Finds","  To be sure, lumping the fast-growing group into one bloc has helped Latinos emerge as a political force. Since eclipsing African-Americans to become the nation's largest minority around 2000, the group has kept expanding, more than doubling in size since 1990.","Segregation , Censuses , Studies , Hispanic Americans , Social integration , Demographics , United States--US"
4390,1,0.9985347003035371,4390,2013,1317747077,"Smaller Hispanic Groups Arrive, Spread Out; South Americans and Others Are Shown to Be Less Segregated Than Mexicans in Study of Groups' Varied Demographics","  To be sure, lumping the fast-growing group into one bloc has helped Latinos emerge as a political force. Since eclipsing African-Americans to become the nation's largest minority around 2000, the group has kept expanding, more than doubling in size since 1990.","Hispanic Americans , Segregation , Censuses , United States--US"
4391,1,0.9985347003035371,4391,2013,1317749790,Hispanics Extend Reach Beyond Enclaves; South Americans and Others Found to Live in More Integrated Areas Than Mexicans in a Study of Latinos' Demographics,"  To be sure, lumping the fast-growing group into one bloc has helped Latinos emerge as a political force. Since eclipsing African-Americans to become the nation's largest minority around 2000, the group has kept expanding, more than doubling in size since 1990.","Hispanic Americans , Segregation , Censuses , United States--US"
2835,1,0.9985271210622579,2835,2011,879668694,Slower Racial Change Found in Census of City,"Compared with the 1990s, the numbers of Hispanic and Asian New Yorkers grew more slowly; blacks recorded their first population loss since the Civil War; and non-Hispanic whites, who registered their smallest population loss in decades, also logged the biggest gains of any group among young children.","Whites , African Americans , Couples , Census of Population , Race , New York City New York"
