document,topic,gamma,document_number,year,StoreId,Title,Abstract,subjectTerms
20654,1,0.9996091505003917,20654,2010,365406973,Primaries to Watch From Coast to Coast,"In Nevada, Republican voters may reject a mainstream GOP candidate and instead back a conservative firebrand to challenge Senate Majority Leader Harry Reid. Ms. Boxer's campaign says she has supported sanctions on Iran and allowing pilots to have guns in the cockpit, and attacked Ms. Fiorina for favoring letting people on the government's no-fly list buy guns.","Aliens , Voter behavior , Primaries & caucuses , Political advertising , Endorsements , Inglis, Bob , Fiorina, Carleton S , Reid, Harry"
20656,1,0.9995644714717528,20656,2010,365467332,Campaign 2010: Primaries to Watch From Coast to Coast,"In Nevada, Republican voters may reject a mainstream GOP candidate and instead back a conservative firebrand to challenge Senate Majority Leader Harry Reid. Ms. Boxer's campaign says she has supported sanctions on Iran and allowing pilots to have guns in the cockpit, and attacked Ms. Fiorina for favoring letting people on the government's no-fly list buy guns.","Aliens , Voter behavior , Primaries & caucuses , Political advertising , Endorsements , Candidates , Political campaigns , Elections -- United States--US , United States--US , Inglis, Bob , Fiorina, Carleton S , Reid, Harry"
20320,1,0.9995430413049288,20320,2010,276634784,Election 2010: Primary Season: Primary Clashes Reflect Voter Unrest --- Races to Watch in a Combative Electoral Season That Has Already Cost Two Long-Serving Incumbents Their Seats,"Conservative Democrat DC Morrison, a political novice, could win just enough votes to keep both front-runners below the 50% mark, forcing a June runoff. -- Bowling Green ophthalmologist Rand Paul, the son of iconoclast Texas GOP Rep. Ron Paul and a self-described tea-party leader, has jumped to a consistent lead in the polls over Secretary of State Trey Grayson.","Candidates , TARP funds , Health care policy , Primaries & caucuses , Congressional elections , United States--US"
20295,1,0.9995421025190377,20295,2010,238001914,Primary Clashes Reflect Voter Unrest; Races to Watch in a Combative Electoral Season That Has Already Cost Two Long-Serving Incumbents Their Seats,"Republicans seem ready to punish GOP lawmakers who helped bail out Wall Street. Bowling Green ophthalmologist Rand Paul, the son of iconoclast Texas GOP Rep. Ron Paul and a self-described tea-party leader, has jumped to a consistent lead in the polls over Secretary of State Trey Grayson.","Presidential elections , Candidates , TARP funds , Health care policy"
21655,1,0.9995240115211476,21655,2008,399031869,"McCain Vows End to 'Rancor,' Betting on Maverick Appeal","The pledge, in a speech delivered to the closing night of his party's national convention here, was designed to help him launch the fall campaign by reclaiming the image of an agent of change in a year when voters are clamoring for one -- and at a time when his image as a maverick has been questioned.","Nominations , Tax increases , Speech , Middle class , Job creation , Global economy , McCain, John"
22134,1,0.9995235028634558,22134,2008,410264030,"The State Of the Races; Polls Show Obama Leading in States Whose Electoral Votes Total Nearly 300, and the Democrats Heading Toward Expanded House and Senate Majorities","Barack Obama and the Democrats hold a commanding position two days before Tuesday's election, with the senator from Illinois leading in states whose electoral votes total nearly 300 and with his party counting on significantly expanded majorities in the House and Senate.","Polls & surveys , Debates , Presidential elections , McCain, John"
21657,1,0.9995204269177501,21657,2008,399100846,"McCain Vows End to 'Rancor,' Betting on Maverick Appeal","The pledge, in a speech delivered to the closing night of his party's national convention here, was designed to help him launch the fall campaign by reclaiming the image of an agent of change in a year when voters are clamoring for one -- and at a time when his image as a maverick has been questioned.","Speeches , Political conventions , McCain, John"
20678,1,0.9994837723101313,20678,2010,503066809,Lincoln Bucks Wave Against Incumbents,NA,NA
20673,1,0.9994734049476007,20673,2010,365973712,CALIFORNIA ELECTIONS; Whitman and Fiorina roll to wins; Republicans choose wealthy businesswomen to oppose Democrats Brown and Boxer.,"California Republicans reached for history in Tuesday's primary elections, as Meg Whitman claimed the party's nomination for governor and Carly Fiorina won the GOP race for the U.S. Senate, results that gave women the Republican nominations for the two most powerful statewide political offices for the first time. The two wealthy businesswomen, who powered their first electoral bids with millions of dollars of their own money, swept into election day as the front-runners and rode the momentum of an angry electorate that spurned the appeals of veteran politicians competing against them on the ballot.","Primaries & caucuses , Candidates , Governors , Nominations , Congressional elections -- California , California , Whitman, Meg , Fiorina, Carleton S"
19130,1,0.9994520438057134,19130,2010,237930492,Ford's Focus: Don't Allow a Bay State Repeat; The centrist Democrat thinks that his party needs to take a page from Bill Clinton's playbook.,NA,NA
