document,topic,gamma,document_number,year,StoreId,Title,Abstract,subjectTerms
13507,1,0.9987295227657267,13507,2018,2028620711,Malaysia Seeks Killers of Palestinian Engineer; Father blames Israeli intelligence; Israeli defense chief points to 'settling of scores' among terrorist groups,NA,"Muslims , Unmanned aerial vehicles , Drones , Assassinations & assassination attempts , Middle East , United States--US , Kuala Lumpur Malaysia , Israel , Tunisia , Malaysia , Africa , Gaza Strip , Tel Aviv Israel"
13509,1,0.9987295227657267,13509,2018,2028724634,"Palestinian Engineer, Gunned Down in Malaysia, Published Drone Research; Father blames Israeli intelligence; Israeli defense chief points to 'settling of scores' among terrorist groups",NA,"Muslims , Unmanned aerial vehicles , Drones , Assassinations & assassination attempts , Middle East , United States--US , Kuala Lumpur Malaysia , Israel , Tunisia , Africa , Malaysia , Gaza Strip , Tel Aviv Israel"
3889,1,0.9907359091954756,3889,2017,1865773677,Our Articles on the Attacks Trump Says the Media Didn't Cover,NA,"Suicide bombings , News media , Terrorism , Police , Shootings , Muslims , Civilians , Immigration policy , Trump, Donald J , United States--US"
2011,1,0.9895791001347711,2011,2016,1848380392,3 Operatives From ISIS Are Killed in U.S. Strike,"  [...]his reported death by drone strike in August, Abu Muhammad al-Adnani, the Islamic State's spokesman, led its external operations branch, and he in turn relied on two lieutenants.","Military air strikes , Iraq , Syria , Europe , United States--US , al-Adnani, Abu Muhammad"
7799,1,0.9891573342742501,7799,2017,1909555793,"World News: ISIS Sinks Teeth Into Philippines --- Amid Mideast losses, militants expand focus; conflict in south is now jihadist 'cause celebre'","  The standoff with the Philippine military so far has claimed the lives of at least 58 security forces, nearly 200 rebels and dozens of civilians. Since the May 23 attack, Islamic State has taken a stronger interest in the Philippines, profiling some of the militants in its propaganda magazine Rumiyah and falsely claiming responsibility for the burning of a Manila casino that left 37 people dead; police say it was in fact a botched robbery.","Paramilitary groups , Hostages , Muslims , Militancy , Philippines , Bin Laden, Osama , Duterte, Rodrigo R"
11067,1,0.9875954379050007,11067,2017,1981625750,East Is East: Bangladesh Exports a New Generation of Jihadists,NA,"Extremism , Terrorism , Transnationalism , Bangladesh"
11059,1,0.98418417175408,11059,2017,1981241719,Bangladesh Exports a New Generation of Jihadists; A botched New York bombing was only the latest in a series of attacks from Dhaka to London.,NA,"Extremism , Bakeries , Islamism , Fatalities , Terrorism , Prime ministers , Transnationalism"
7788,1,0.9797225485443621,7788,2017,1909120545,"Islamic State Sinks Its Teeth Into the Philippines; Battle for southern city, ISIS propaganda show new focus for foreign extremists",NA,"Paramilitary groups , Muslims , Extremism , Propaganda , Militancy , Robbery , Militia groups , Armed forces , Southeast Asia , Middle East , United States--US , Saudi Arabia , Philippines , Iraq , Australia , Malaysia , Yemen , Bin Laden, Osama , Syria , Indonesia"
14268,1,0.977091431647684,14268,2018,2050908649,Islamic State's Attacks Raise Threat of Southeast Asia Hub; Neighbors intensify cooperation to prevent regional growth of militant group,NA,"Radicalism , Terrorism , Counterterrorism , Rohingya , Militancy , Armed forces , Local elections , Cooperation , Muslims , Radical groups , Blasphemy , Bangladesh , Somalia , Thailand , Middle East , Iraq , Malaysia , Syria , Sulawesi , Indonesia , Southeast Asia , Sulu Sea , United States--US , Saudi Arabia , Sumatra , Philippines , Singapore , Jakarta Indonesia , Myanmar (Burma) , Andaman Sea"
13530,1,0.9753933942999773,13530,2018,2029401083,"World News: Driver Plows Van Into Toronto Pedestrians --- Police arrest suspect after vehicle jumps curb on busy street, killing at least 10",NA,"Mass murders , Pedestrians , Goodale, Ralph , Canada"
