subjects_source,Freq,source,prop
United States--US,638,Wall Street Journal,0.06752037252619325
Immigration policy,310,Wall Street Journal,0.03280770451899672
Aliens,260,Wall Street Journal,0.027516139273997247
Presidential elections,172,Wall Street Journal,0.01820298444279818
"Obama, Barack",139,Wall Street Journal,0.014710551381098528
Political campaigns,117,Wall Street Journal,0.012382262673298762
Hispanic Americans,106,Wall Street Journal,0.011218118319398878
"Trump, Donald J",105,Wall Street Journal,0.011112287014498888
Immigration,97,Wall Street Journal,0.010265636575298973
Recessions,73,Wall Street Journal,0.007725685257699228
Candidates,58,Wall Street Journal,0.006138215684199386
Europe,58,Wall Street Journal,0.006138215684199386
Refugees,56,Wall Street Journal,0.005926553074399407
Economic conditions,55,Wall Street Journal,0.005820721769499418
California,52,Wall Street Journal,0.005503227854799449
Muslims,51,Wall Street Journal,0.005397396549899461
Polls & surveys,50,Wall Street Journal,0.005291565244999471
Political parties,49,Wall Street Journal,0.005185733940099481
Economic growth,46,Wall Street Journal,0.0048682400253995135
Germany,46,Wall Street Journal,0.0048682400253995135
Demographics,45,Wall Street Journal,0.004762408720499524
Voter behavior,45,Wall Street Journal,0.004762408720499524
Citizenship,44,Wall Street Journal,0.004656577415599534
Primaries & caucuses,43,Wall Street Journal,0.004550746110699545
New York,42,Wall Street Journal,0.004444914805799556
United Kingdom--UK,42,Wall Street Journal,0.004444914805799556
China,41,Wall Street Journal,0.004339083500899566
"Clinton, Hillary",41,Wall Street Journal,0.004339083500899566
France,41,Wall Street Journal,0.004339083500899566
Japan,41,Wall Street Journal,0.004339083500899566
Census of Population,40,Wall Street Journal,0.004233252195999577
New York City New York,40,Wall Street Journal,0.004233252195999577
Politics,39,Wall Street Journal,0.004127420891099587
Cities,37,Wall Street Journal,0.003915758281299609
Population growth,36,Wall Street Journal,0.003809926976399619
Unemployment,36,Wall Street Journal,0.003809926976399619
Population,34,Wall Street Journal,0.0035982643665996403
Mexico,33,Wall Street Journal,0.0034924330616996507
Neighborhoods,32,Wall Street Journal,0.0033866017567996615
Texas,32,Wall Street Journal,0.0033866017567996615
Foreign labor,31,Wall Street Journal,0.003280770451899672
Minority & ethnic groups,30,Wall Street Journal,0.0031749391469996827
Passports & visas,30,Wall Street Journal,0.0031749391469996827
Deportation,28,Wall Street Journal,0.0029632765371997035
Hispanics,28,Wall Street Journal,0.0029632765371997035
Studies,28,Wall Street Journal,0.0029632765371997035
Syria,28,Wall Street Journal,0.0029632765371997035
Election results,27,Wall Street Journal,0.0028574452322997143
"Romney, W Mitt",27,Wall Street Journal,0.0028574452322997143
Terrorism,27,Wall Street Journal,0.0028574452322997143
Migration,26,Wall Street Journal,0.0027516139273997247
Series & special reports,26,Wall Street Journal,0.0027516139273997247
Economic policy,25,Wall Street Journal,0.0026457826224997355
Israel,24,Wall Street Journal,0.002539951317599746
Conservatism,23,Wall Street Journal,0.0024341200126997567
Political asylum,23,Wall Street Journal,0.0024341200126997567
Bills,22,Wall Street Journal,0.002328288707799767
Economic impact,22,Wall Street Journal,0.002328288707799767
Islam,22,Wall Street Journal,0.002328288707799767
"McCain, John",21,Wall Street Journal,0.002222457402899778
Murders & murder attempts,21,Wall Street Journal,0.002222457402899778
Asian Americans,20,Wall Street Journal,0.0021166260979997883
Presidents,20,Wall Street Journal,0.0021166260979997883
African Americans,19,Wall Street Journal,0.0020107947930997987
Colleges & universities,19,Wall Street Journal,0.0020107947930997987
Gross Domestic Product--GDP,19,Wall Street Journal,0.0020107947930997987
Health care policy,19,Wall Street Journal,0.0020107947930997987
Religion,19,Wall Street Journal,0.0020107947930997987
Employment,18,Wall Street Journal,0.0019049634881998095
Labor force,18,Wall Street Journal,0.0019049634881998095
Middle East,18,Wall Street Journal,0.0019049634881998095
Multiculturalism & pluralism,18,Wall Street Journal,0.0019049634881998095
Canada,17,Wall Street Journal,0.0017991321832998201
Jews,17,Wall Street Journal,0.0017991321832998201
Patient Protection & Affordable Care Act 2010-US,17,Wall Street Journal,0.0017991321832998201
Real estate sales,17,Wall Street Journal,0.0017991321832998201
Referendums,17,Wall Street Journal,0.0017991321832998201
Arizona,16,Wall Street Journal,0.0016933008783998308
Florida,16,Wall Street Journal,0.0016933008783998308
Housing,16,Wall Street Journal,0.0016933008783998308
Housing prices,16,Wall Street Journal,0.0016933008783998308
Iraq,16,Wall Street Journal,0.0016933008783998308
Litigation,16,Wall Street Journal,0.0016933008783998308
Nominations,16,Wall Street Journal,0.0016933008783998308
"Rubio, Marco",16,Wall Street Journal,0.0016933008783998308
State laws,16,Wall Street Journal,0.0016933008783998308
Violence,16,Wall Street Journal,0.0016933008783998308
Apportionment,15,Wall Street Journal,0.0015874695734998414
Border patrol,15,Wall Street Journal,0.0015874695734998414
Congressional elections,15,Wall Street Journal,0.0015874695734998414
"Merkel, Angela",15,Wall Street Journal,0.0015874695734998414
National security,15,Wall Street Journal,0.0015874695734998414
Restaurants,15,Wall Street Journal,0.0015874695734998414
Workers,15,Wall Street Journal,0.0015874695734998414
Anti-Semitism,14,Wall Street Journal,0.0014816382685998517
"Bush, George W",14,Wall Street Journal,0.0014816382685998517
"Bush, Jeb",14,Wall Street Journal,0.0014816382685998517
Los Angeles California,14,Wall Street Journal,0.0014816382685998517
New Jersey,14,Wall Street Journal,0.0014816382685998517
Political advertising,14,Wall Street Journal,0.0014816382685998517
Real estate,14,Wall Street Journal,0.0014816382685998517
"Sanders, Bernard",14,Wall Street Journal,0.0014816382685998517
Social conditions & trends,14,Wall Street Journal,0.0014816382685998517
Wages & salaries,14,Wall Street Journal,0.0014816382685998517
"Abe, Shinzo",13,Wall Street Journal,0.0013758069636998623
Australia,13,Wall Street Journal,0.0013758069636998623
Budget deficits,13,Wall Street Journal,0.0013758069636998623
Catholicism,13,Wall Street Journal,0.0013758069636998623
Children & youth,13,Wall Street Journal,0.0013758069636998623
Detroit Michigan,13,Wall Street Journal,0.0013758069636998623
Islamism,13,Wall Street Journal,0.0013758069636998623
Mayors,13,Wall Street Journal,0.0013758069636998623
Switzerland,13,Wall Street Journal,0.0013758069636998623
Central banks,12,Wall Street Journal,0.001269975658799873
"de Blasio, Bill",12,Wall Street Journal,0.001269975658799873
Economic conditions -- United States--US,12,Wall Street Journal,0.001269975658799873
Economic development,12,Wall Street Journal,0.001269975658799873
Families & family life,12,Wall Street Journal,0.001269975658799873
Identification documents,12,Wall Street Journal,0.001269975658799873
India,12,Wall Street Journal,0.001269975658799873
Latin America,12,Wall Street Journal,0.001269975658799873
Populism,12,Wall Street Journal,0.001269975658799873
Russia,12,Wall Street Journal,0.001269975658799873
San Francisco California,12,Wall Street Journal,0.001269975658799873
Shortages,12,Wall Street Journal,0.001269975658799873
Sweden,12,Wall Street Journal,0.001269975658799873
Christianity,11,Wall Street Journal,0.0011641443538998836
Criminal investigations,11,Wall Street Journal,0.0011641443538998836
Demonstrations & protests,11,Wall Street Journal,0.0011641443538998836
Economic crisis,11,Wall Street Journal,0.0011641443538998836
Editorials,11,Wall Street Journal,0.0011641443538998836
Foreign students,11,Wall Street Journal,0.0011641443538998836
Governors,11,Wall Street Journal,0.0011641443538998836
Law enforcement,11,Wall Street Journal,0.0011641443538998836
Pennsylvania,11,Wall Street Journal,0.0011641443538998836
"Perry, Rick",11,Wall Street Journal,0.0011641443538998836
Prisons,11,Wall Street Journal,0.0011641443538998836
Tax increases,11,Wall Street Journal,0.0011641443538998836
Violent crime,11,Wall Street Journal,0.0011641443538998836
Whites,11,Wall Street Journal,0.0011641443538998836
Chicago Illinois,10,Wall Street Journal,0.0010583130489998942
Christians,10,Wall Street Journal,0.0010583130489998942
Criminal sentences,10,Wall Street Journal,0.0010583130489998942
Economic recovery,10,Wall Street Journal,0.0010583130489998942
Editorials -- Immigration policy,10,Wall Street Journal,0.0010583130489998942
Federal court decisions,10,Wall Street Journal,0.0010583130489998942
Federal legislation,10,Wall Street Journal,0.0010583130489998942
Fertility,10,Wall Street Journal,0.0010583130489998942
Francis (Pope),10,Wall Street Journal,0.0010583130489998942
Global economy,10,Wall Street Journal,0.0010583130489998942
Italy,10,Wall Street Journal,0.0010583130489998942
Labor market,10,Wall Street Journal,0.0010583130489998942
Mosques & temples,10,Wall Street Journal,0.0010583130489998942
Nationalism,10,Wall Street Journal,0.0010583130489998942
Older people,10,Wall Street Journal,0.0010583130489998942
Political leadership,10,Wall Street Journal,0.0010583130489998942
Prisoners,10,Wall Street Journal,0.0010583130489998942
Public schools,10,Wall Street Journal,0.0010583130489998942
Riots,10,Wall Street Journal,0.0010583130489998942
State elections,10,Wall Street Journal,0.0010583130489998942
State government,10,Wall Street Journal,0.0010583130489998942
Uninsured people,10,Wall Street Journal,0.0010583130489998942
Age,9,Wall Street Journal,9.524817440999048e-4
Amnesties,9,Wall Street Journal,9.524817440999048e-4
Asia,9,Wall Street Journal,9.524817440999048e-4
Brazil,9,Wall Street Journal,9.524817440999048e-4
Budgets,9,Wall Street Journal,9.524817440999048e-4
"Cameron, David",9,Wall Street Journal,9.524817440999048e-4
Christian Islamic relations,9,Wall Street Journal,9.524817440999048e-4
Councils,9,Wall Street Journal,9.524817440999048e-4
Eurozone,9,Wall Street Journal,9.524817440999048e-4
Free trade,9,Wall Street Journal,9.524817440999048e-4
Government spending,9,Wall Street Journal,9.524817440999048e-4
Greece,9,Wall Street Journal,9.524817440999048e-4
"Hollande, Francois",9,Wall Street Journal,9.524817440999048e-4
Interest rates,9,Wall Street Journal,9.524817440999048e-4
International relations,9,Wall Street Journal,9.524817440999048e-4
Labor shortages,9,Wall Street Journal,9.524817440999048e-4
Legislators,9,Wall Street Journal,9.524817440999048e-4
Local elections,9,Wall Street Journal,9.524817440999048e-4
Long Island New York,9,Wall Street Journal,9.524817440999048e-4
Monetary policy,9,Wall Street Journal,9.524817440999048e-4
Race,9,Wall Street Journal,9.524817440999048e-4
Remittances,9,Wall Street Journal,9.524817440999048e-4
"Sarkozy, Nicolas",9,Wall Street Journal,9.524817440999048e-4
Social conditions & trends -- United States--US,9,Wall Street Journal,9.524817440999048e-4
Spain,9,Wall Street Journal,9.524817440999048e-4
Statistical data,9,Wall Street Journal,9.524817440999048e-4
Supreme Court decisions,9,Wall Street Journal,9.524817440999048e-4
Voter registration,9,Wall Street Journal,9.524817440999048e-4
Women,9,Wall Street Journal,9.524817440999048e-4
