subjects_year,Freq,year,prop
United States--US,150,2008,0.03574833174451859
Presidential elections,122,2008,0.029075309818875118
Aliens,93,2008,0.022163965681601526
Immigration,87,2008,0.020734032411820782
Political campaigns,80,2008,0.019065776930409915
Immigration policy,72,2008,0.017159199237368923
"Obama, Barack",65,2008,0.015490943755958055
"McCain, John",39,2008,0.009294566253574834
Candidates,38,2008,0.00905624404194471
Hispanics,34,2008,0.008102955195424213
Minority & ethnic groups,34,2008,0.008102955195424213
Hispanic Americans,33,2008,0.00786463298379409
Politics,33,2008,0.00786463298379409
Primaries & caucuses,33,2008,0.00786463298379409
Voter behavior,33,2008,0.00786463298379409
California,29,2008,0.006911344137273594
Los Angeles California,26,2008,0.006196377502383222
New York City New York,26,2008,0.006196377502383222
"Clinton, Hillary",25,2008,0.005958055290753098
Municipal government,21,2008,0.005004766444232603
Asian Americans,20,2008,0.004766444232602479
Economic conditions,20,2008,0.004766444232602479
Cities,18,2008,0.004289799809342231
Neighborhoods,18,2008,0.004289799809342231
Political parties,18,2008,0.004289799809342231
Religion,18,2008,0.004289799809342231
African Americans,16,2008,0.0038131553860819827
Demographics,16,2008,0.0038131553860819827
Mexico,15,2008,0.003574833174451859
Studies,15,2008,0.003574833174451859
Deportation,14,2008,0.003336510962821735
Local elections,14,2008,0.003336510962821735
Muslims,14,2008,0.003336510962821735
State government,14,2008,0.003336510962821735
Terrorism,14,2008,0.003336510962821735
United States,14,2008,0.003336510962821735
US,14,2008,0.003336510962821735
Citizenship,13,2008,0.003098188751191611
Iraq War-2003,13,2008,0.003098188751191611
New York,13,2008,0.003098188751191611
Restaurants,13,2008,0.003098188751191611
Suburban areas,13,2008,0.003098188751191611
Voter registration,13,2008,0.003098188751191611
China,12,2008,0.002859866539561487
Detention centers,12,2008,0.002859866539561487
Hospitals,12,2008,0.002859866539561487
Housing prices,12,2008,0.002859866539561487
Law enforcement,12,2008,0.002859866539561487
Polls & surveys,12,2008,0.002859866539561487
Population growth,12,2008,0.002859866539561487
Economic policy,11,2008,0.002621544327931363
Political advertising,11,2008,0.002621544327931363
Recessions,11,2008,0.002621544327931363
Catholicism,10,2008,0.0023832221163012394
Criminal investigations,10,2008,0.0023832221163012394
France,10,2008,0.0023832221163012394
Italy,10,2008,0.0023832221163012394
Nominations,10,2008,0.0023832221163012394
Race relations,10,2008,0.0023832221163012394
Series & special reports,10,2008,0.0023832221163012394
Tourism,10,2008,0.0023832221163012394
Arizona,9,2008,0.0021448999046711154
Census of Population,9,2008,0.0021448999046711154
Election results,9,2008,0.0021448999046711154
Families & family life,9,2008,0.0021448999046711154
Florida,9,2008,0.0021448999046711154
Foreign labor,9,2008,0.0021448999046711154
Jews,9,2008,0.0021448999046711154
Papal visits,9,2008,0.0021448999046711154
Real estate,9,2008,0.0021448999046711154
Secondary school students,9,2008,0.0021448999046711154
Spain,9,2008,0.0021448999046711154
Benedict XVI (Pope),8,2008,0.0019065776930409914
"Bush, George W",8,2008,0.0019065776930409914
Christianity,8,2008,0.0019065776930409914
Colleges & universities,8,2008,0.0019065776930409914
Europe,8,2008,0.0019065776930409914
Hate crimes,8,2008,0.0019065776930409914
Human rights,8,2008,0.0019065776930409914
Los Angeles County California,8,2008,0.0019065776930409914
Murders & murder attempts,8,2008,0.0019065776930409914
Museums,8,2008,0.0019065776930409914
